en_sentence	fa_sentence	translation	variety	county	orthography	translator
hoping to make something good enough to print.	به امید این که چیزی از آب در بیاید که شاید قابل چاپ باشد.	ایشاله اتا چی ازش درانه که قابل چاپ باشه	Central Mazani	Babol	Farsi	Vol_2	
but the milk can was a perfect masterpiece.	قوطی شیر خشک هم که دیگر شاهکار واقعی بود.	شیر خشک حلب که دیگه شاهکار واقعی بییه	Central Mazani	Babol	Farsi	Vol_2	
grieving the more since he had put forward his own opinion with little confidence	به ویژه برای آنکه عقیدهٔ خود را بدون اعتماد کامل اظهار داشته بود	به ویطه اونای واسه که شه نظر ره بدون اعتماد کامل بوتنه	Central Mazani	Babol	Farsi	Vol_2	
jerks at her skirt to make the old lady sit down on the brick wall.	سعی داشتند او را روی آجرها بنشانند.	سعی داشتنه وره آجر رو هشنن	Central Mazani	Babol	Farsi	Vol_2	
you needn't tell that.	اما این حرف و به کسی نزن.	ولی این حرف ره هیچ کس ره نوو	Central Mazani	Babol	Farsi	Vol_2	
how sparklingly blue was the sky.	آسمان چه رنگ زیبای درخشانی دارد.	آسمون عجب قشنگ رنگی دارنه	Central Mazani	Babol	Farsi	Vol_2	
but make no treaty you understand me?	اما گفتگوی دیگری نکنید.	ولی دیگه گپ نزنین	Central Mazani	Babol	Farsi	Vol_2	
ears on her head, which had real hair and enamel eyes.	سرش به موهای واقعی مزین و چشمانش از مینا بود.	ونه سر راست راستی می دیه و ونه چش مینای جا بیه	Central Mazani	Babol	Farsi	Vol_2	
when the sailors began chanting	هنگامی که ملوانان یک صدا خواندند	وقتی ملوانان یک صدا بخونسنه	Central Mazani	Babol	Farsi	Vol_2	
but it's rotten nonsense.	اما پرت و پل ای محض است.	ولی درست پرت و پلا هسه	Central Mazani	Babol	Farsi	Vol_2	
which is only another sort of benevolence.	که این خود نیکوکاری دیگری است.	خود وه شه اتا کار خیر دیگه ایی هسه	Central Mazani	Babol	Farsi	Vol_2	
there was the more need for scrupulous watching lest the office should be perverted into a mere question of salary.	باید مراقب بود که مسئله به ابتذال کشانده نشود و تنها حقوق صرف مطرح نباشد.	ونه مواظب بوشن که کار به ابتذال بکشی نووه و فقط حق و حقوق صرف بووت نووه	Central Mazani	Babol	Farsi	Vol_2	
I felt a pang of unease.	ناگهان احساس ناراحتی کردم.	یکدفه احساس نارتی هکردمه	Central Mazani	Babol	Farsi	Vol_2	
if thou wert not my full niece, being daughter of my own sister	اگر تو خواهرزاده بلافصل من یعنی دختر خواهر تنی من نبودی	اگه تو مه تنی خرزا نباش بویی	Central Mazani	Babol	Farsi	Vol_2	
but his moral machinery was still out of gear.	ولی دستگاه روحی همچنان بیمار بود.	ولی هنوز دستکه روحی نخار بیه	Central Mazani	Babol	Farsi	Vol_2	
for I will satisfy thee and answer all thou requirest.	من حاضرم منظور ترا برآورم.	من حاضرمه ته منظور ره ادا هکنم	Central Mazani	Babol	Farsi	Vol_2	
he seemed about to cry, but this did not last long.	چنانکه پنداشتی آماده گریستن است اما این وضع مدت مدیدی طول نکشید	فکر کردی آماده ی برمه بکردنه ولی خله طول نکشیه	Central Mazani	Babol	Farsi	Vol_2	
I wasn't embarrassed.	اصلا خجالت نکشیدم.	اصلا خجالت نکشیمه	Central Mazani	Babol	Farsi	Vol_2	
I'll leave in the morning.	فردا صبح عازم آنجا خواهم شد.	فردا صوایی اونجه شومه	Central Mazani	Babol	Farsi	Vol_2	
limber, portentous, black mass of something hovering in the centre of the picture over three blue, dim, perpendicular lines floating in a nameless yeast.	توده دراز و خمیده و وزین و سیاه چیزی بود که در وسط تصویر روی سه خط آبی تیره عمود در کف درهم و آمیخته نامعلومی خیمه زده بود.	اتا چی دراز و ول و سنگین و سیو بیه که عکس وسط سه تا آبی خط رو راست به راست بنه کش درهم برهم خیمه بزه بییه	Central Mazani	Babol	Farsi	Vol_2	
turned in upon itself, and totally disappeared.	در جاستین نمایان شد و رنگ باخت.	جاستین دله نشون هدا و رنگ بباخته	Central Mazani	Babol	Farsi	Vol_2	
the scenes of happiness with him she had so often repeated in her imagination	تصویر زندگی سعادتمند خود را با او برای چندین مرتبه در نظر مجسم ساخت	تصویر شه خار زندگی ره ونه همراه شه نظر چند بار مجسم هکرده	Central Mazani	Babol	Farsi	Vol_2	
but here too was the same intolerable silence.	اما در اینجا نیز سکوت غیرقابل تحملی حکمفرما بود.	ولی اینجه هم سکوت غیر قابل تحملی دییه	Central Mazani	Babol	Farsi	Vol_2	
I was there.	من آنجا بودم.	من اونجه دیمه	Central Mazani	Babol	Farsi	Vol_2	
he said to himself in despair	نومیدانه از خود پرسید	نا امیدانه شه جا بپرسیه	Central Mazani	Babol	Farsi	Vol_2	
but it was the last house at the bottom of a narrow street	این آخرین بنایی بود که در انتهای خیابانی قرار داشت	این تا آخرین ساختمونی بیه که آخر خیابون دییه	Central Mazani	Babol	Farsi	Vol_2	
but her husband wasn't with her, and he didn't come in by plane or ferry.	اما شوهرش همراهش نبوده است. و شوهر با هواپیما یا قایق به جزیره نیامده است.	ولی ونه مردی ونه همراه دنی بیه. و مردی هواپیما یا قایق جا جزیره نمو	Central Mazani	Babol	Farsi	Vol_2	
reads law and all stuff like that.	حقوق و کلی از این چیزها میدونه.	حقوق و اتا خله ازین چیزا دوننه	Central Mazani	Babol	Farsi	Vol_2	
I considered the location, and decided she must have tripped.	با توجه به محل خراشیدگی فکر کردم حتماً زمین خورده است.	با توجه به جایی که هخراشیه فکر هکردمه حتما بنه بخرده	Central Mazani	Babol	Farsi	Vol_2	
he shuddered all over with a cold shiver.	تکان جانکاهی تمام بدنش را بحر کت درآورد.	تکون جانکاهی ونه تن همه ره تکون بدا	Central Mazani	Babol	Farsi	Vol_2	
went about three miles into the country	قریب به یک فرسنگ در داخل روستا راندیم.	نزیذک اتا فرسنگ محل دله راه بوردمی	Central Mazani	Babol	Farsi	Vol_2	
met with a variety of adventures	طی راه با ماجراهای بسیاری روبه رو شدند	راه دله خله ماجرای جا رو به رو بینه	Central Mazani	Babol	Farsi	Vol_2	
as if the contact stung.	انگار که تماس با او گزنده است.	انگار تماس با وه گز زننه	Central Mazani	Babol	Farsi	Vol_2	
the conversation ended at a point as far from the beginning as some recent sparring between the brothers in law at a vestry meeting.	گفتگویشان همان قدر از نقطه آغازش تفاوت داشت که مشاجره لفظی آقای بولست رود و برادرانش در یکی از جلسات کلیسا در چند روز پیش از این.	وشون گپ اتنه از اولش فرق داشته که لفظی آاقای بولست رود و ونه برارون اتا زا جلسه های کلیسا ی دله چند روز قبل داشته	Central Mazani	Babol	Farsi	Vol_2	
I guess that's all.	به گمونم از این بیشتر نخ وندم.	مه گمون بیشتر ازین نخونم	Central Mazani	Babol	Farsi	Vol_2	
I'll owe you more than ever I can hope to pay.	آن وقت تا آخر عمر مدیونت خواهم بود.	اون موقع تا آخر عمر ته مدیون بومه	Central Mazani	Babol	Farsi	Vol_2	
then she lit a cigarette	سیگاری از جاسیگاری برداشت و آتش زد	جاسیگاری جا اتا سیگار بیته و تش بزو	Central Mazani	Babol	Farsi	Vol_2	
so they built a waiter trap	به همین دلیل برای او دامی درست کردند.	همین واسه وننسه اتا دوم درست هکردنه	Central Mazani	Babol	Farsi	Vol_2	
he asked him to stay to dinner.	دعوت کرده بود آقای مارتین برای ناهار بماند.	آقای مارتین ره دعوت هکردنه ناهار بمونه	Central Mazani	Babol	Farsi	Vol_2	
his inspection finished, he placed the key in the lock.	چون تفتیش کامل به عمل آورد کلید را در قفل فرو برد.	وقتی کامل تفتیش هکرده کلی ره کلی ماره دله فرو هکره	Central Mazani	Babol	Farsi	Vol_2	
but it was enough.	اما همین کافی نبود.	ولی همین اتنه کافی نیه	Central Mazani	Babol	Farsi	Vol_2	
shortly entered one on the same plan, but superior in length and breadth.	کمی وارد این راهرو شدند که هم طولش بیشتر بود و هم عرضش.	اتا کمه اینتا راهرو دله بوردنه که هم ونه درازی بیشتر بیه و هم ونه وری	Central Mazani	Babol	Farsi	Vol_2	
cold chicken maybe	مثلا یک مرغ پخته	مثلا اتا بپت مرغنه	Central Mazani	Babol	Farsi	Vol_2	
I should like cabbage soup and porridge better than anything	من سوپ کلم و کاشا را بیشتر از هر چیز دوست دارم	من سوپ کلم و کاشا ره از هر چیزی بیشتر دوس دارمه	Central Mazani	Babol	Farsi	Vol_2	
as a means of ridding her of a guardianship which	تا اینکه خلاصی یابد از نگهبانی	تا اینکه از نگهبان خلاص بووه	Central Mazani	Babol	Farsi	Vol_2	
but he adopted the people.	اما ملت را به فرزندی پذیرفت.	اما ملت ره به فرزندی قبول هکرده	Central Mazani	Babol	Farsi	Vol_2	
yet she did not abandon what she had planned to do.	با این همه آنچه را که طرح ریخته بود انجام داد.	با این همه هر چی که طرح دله دیه ره انجلم هدا	Central Mazani	Babol	Farsi	Vol_2	
I called in my dream to the lodge keeper	چند بار در عالم خواب دریان را صدا کردم	چند بار خوی دله دریان ره ونگ هدامه	Central Mazani	Babol	Farsi	Vol_2	
I reckon it's wrong	این کار حتماً بده.	اینتا کار حتما نخشه	Central Mazani	Babol	Farsi	Vol_2	
I have not a penny.	ولی من که یک شاهی پول ندارم.	ولی من اتا شاهی پول نارمه	Central Mazani	Babol	Farsi	Vol_2	
they came forward to raise the father and daughter from the ground.	دو مرد قدم پیش نهادند تا پدر و دختر را از زمین بلند کنند.	د تا مردی پیشی بمونه تا پر و کیجا ره بنه جا راست هکنن	Central Mazani	Babol	Farsi	Vol_2	
yet could hardly leave her easel	اما مایل نبود سه پایه را ترک کند	ولی نخاسه سه پایه ره ترک هکنه	Central Mazani	Babol	Farsi	Vol_2	
I shall have to take the pupils into the hills, as usual, and see them settled there.	طبق معمول شاگردان را به ییلاق ببرم و مراقبت کنم که در آنجا مستقر شوند.	طبق معمول شاگردون ره یلاق بورم و مواظب باشم تا اونجه بنه هیرن	Central Mazani	Babol	Farsi	Vol_2	
the last sound I heard of him	آخرین صدایی که از او شنیدم	آخرین صدایی که ونجا بشتونسمه	Central Mazani	Babol	Farsi	Vol_2	
I gave him the other	دست چپم را به او دادم.	شه چپ دس ره هدامه وره	Central Mazani	Babol	Farsi	Vol_2	
but what's got into your head?	ولی تو چت شده.	ولی تره چی بیه	Central Mazani	Babol	Farsi	Vol_2	
I assured his honour, that the law was a science in which I had not much conversed	پس به عالی جناب اطمینان دادم که قانون علمی است که من چندان با آن سروکار ندارم	پس جنابعالی ره اطمینان هدامه که قانون علمی هسه که من ونه جا سروکار ندارمه	Central Mazani	Babol	Farsi	Vol_2	
his beam of wandlight hit an extraordinary creature	نور ضعیف چوبدستیش روی موجود عجیبی افتاده	دست چوی کچک نور ره اتا عجیب چی سر دکته	Central Mazani	Babol	Farsi	Vol_2	
looked attentively at her and assumed an extremely dignified	با دقت به او نگریست و یکباره حالتی بسیار موقر	خله خار وره هارشیه و اتا جوری خله موقر	Central Mazani	Babol	Farsi	Vol_2	
I think I'm going to last at least five years longer.	من فکر کنم ۵ سال دی گه دووم بیارم.	من فکر کمه 5 سال دیگه دووم بیارم	Central Mazani	Babol	Farsi	Vol_2	
maybe that's why I'm here for terms.	شاید برای این است که من به اینجا آمدم.	شاید همین واسه هسه مه بمومه اینجه	Central Mazani	Babol	Farsi	Vol_2	
rusty, spiked instruments hung from the ceiling.	وسایل کهنه و میخ دار از سقف آویزان بودند.	پیت وسایل و میخ دار سقف جا آویزون بیه	Central Mazani	Babol	Farsi	Vol_2	
so they took him too.	بنابراین او را هم گیر انداختند	همینه واسه وره اونجه گیر دم هدا	Central Mazani	Babol	Farsi	Vol_2	
he with that broke off	سپس حرفش را قطع کرد.	بعدش ونه گپ ره قطع هکرده	Central Mazani	Babol	Farsi	Vol_2	
he finally disappeared, extinguished by paralysis.	در نهایت فلج و زمین گیر شده و برای همیشه ناپدید گردید.	آخر سر فلج و زمین گیر بیه و تا همیشه گم بیه	Central Mazani	Babol	Farsi	Vol_2	
I looked with him.	با او نگاه کردم.	وره هارشیمه	Central Mazani	Babol	Farsi	Vol_2	
she took his arm in a clinging, snuggling embrace and measured her stride to his.	دخترک با او همگام شد و با حالتی گرم و مهرآمیز به بازویش آویخت.	کچیک کیجا ونه جا همراه بیه و خله گرم و دل وس ونه بازوی جا آویزون بیه	Central Mazani	Babol	Farsi	Vol_2	
were carried down and dumped in the courtyard at the back.	به پائین حمل گردید و به حیاط پشتی برده شد.	پایین حمل هکردنه و بوردنه حیاط پشتی	Central Mazani	Babol	Farsi	Vol_2	
a glimmering of light in chaos.	سوسوی چندی است میان تودهٔ عناصر در هم ریخته.	کور کور سویی هسه بین عناصر در هم ریخته	Central Mazani	Babol	Farsi	Vol_2	
no one else was looking.	تنها من شاهد این منظره بودم و کسی ملتفت نشد.	فقط من شاهد این منظره بیمه و هیچکی متوجه نییه	Central Mazani	Babol	Farsi	Vol_2	
he flung it off, and muttered, if she did not give over, he would break her neck.	ولی هیرتن با خشم و عصبانیت کتاب را به سویی پرتاب کرد و گفت اگر دست از سرش برندارد گردن وی را خرد خواهد کرد.	ولی هیرتن کتاب ره با عصبانیت و خشم اتا ور دم هدا و و بوته اگر دس از سرش نیره ونه گردن ره رز کنه	Central Mazani	Babol	Farsi	Vol_2	
for the rich among them are for the most part corrupted already, and much of that is due to our carelessness and indifference.	زیرا ثروتمندان مردمی فاسدند لیکن گناه آن بیشتر ناشی از غفلت و بی قیدی ماست.	چون پولدارون فاسد هسنه ولی ونه گناه بیشتر از نادونی و بی قیدی اما هسه	Central Mazani	Babol	Farsi	Vol_2	
on seeing which	وقتی ایشان را دید	وقتی وشون ره بدیه	Central Mazani	Babol	Farsi	Vol_2	
I've gone through life like a bat out of hell	مثل یک خفّاش جهنمی خودمو انداختم توی غوغای این زندگی .	مثل اتا شوپر جهنمی شه خد ره دم هدامه این زندگی دله	Central Mazani	Babol	Farsi	Vol_2	
he saw her home	او را تا منزل همراهی کرد.	وره تا ونه سره همراهی هکردمه	Central Mazani	Babol	Farsi	Vol_2	
I used to be the responsible one.	من قبلاً فرد مسئولی بودم.	قبلنا فرد مسئولی بیمه	Central Mazani	Babol	Farsi	Vol_2	
I'll run get my drum.	میرم طبلم رو بیارم.	شومه شه طبل ره بیارم	Central Mazani	Babol	Farsi	Vol_2	
my secret ambition is to rid the world of evil	آرزوی قلبی من ای نه که دنیا از بدی و پلیدی پاک به شه	مه دل آرزوئه که دنیا از بدی و پلیدی پاک بواشه	Central Mazani	Babol	Farsi	Vol_2	
tears came as he spoke.	هنگام ادای این جمله اشک از چشمانش سرازیر شد.	اشک ونه چش جا راه دکته داشته اینتا جمله ره گته	Central Mazani	Babol	Farsi	Vol_2	
when you might have fainted and had a miscarriage.	ممکن بود برات خطرناک با شه.	ممکن بیه تواسه خطرناک بوشه	Central Mazani	Babol	Farsi	Vol_2	
or it might relate to public affairs, or possibly to family concerns.	یا به جریان کلی جنگ ارتباط داشت و یا به اوضاع خانوادگی مربوط بود.	یا به جریان کلی جنگ ارتباط داشته و یا به وضع خانوادگیش مربوط بیه	Central Mazani	Babol	Farsi	Vol_2	
then whenever he rises again, he will be sure to have his seventy breaths over again, to a minute.	آنگاه هر بار دیگر که از زیر آب بیرون بیاید بدون یک دقیقه کم و زیاد همان هفتاد بار نفس خواهد کشید.	اون موقع هردفه او بن جا بیرون بیه بدون اتا دقیقه کم و زیاد هفتاد بار نفس کشنه	Central Mazani	Babol	Farsi	Vol_2	
a tiny little dicky bird told me you just might want it.	کلاغه برایم خبر آورده که ممکن است تو بخواهی آن را بازی کنی.	کلاچ مه واسه خور بیارده که ممکنه تو بخوای وره بازی هکنی	Central Mazani	Babol	Farsi	Vol_2	
had triumphed in the end.	البته در نهایت به شادمانی منتهی شد.	البته آخرش به شادی ختم بیه	Central Mazani	Babol	Farsi	Vol_2	
get it out of your head entirely that this can be settled in any way but marriage.	این هوا را از سرت بیرون کن که غیر از ازدواج راه دیگری وجود دارد.	این هوا ره شه سر جا بیرون هکن که غیر از ازدواج راه دیگه ایی وجود ندارنه	Central Mazani	Babol	Farsi	Vol_2	
I'm not angry anymore.	من دی گه عصبانی نیستم	من دیگه عصبانی نیمه	Central Mazani	Babol	Farsi	Vol_2	
that was the state of the case!	این حقیقت داشت!	وه راست بییه	Central Mazani	Babol	Farsi	Vol_2	
he will not be wanted any more.	دیگر وجودش ضرورت نداشت.	دیگه ونه دیین ضرورت نداشته	Central Mazani	Babol	Farsi	Vol_2	
therefore we should have been mutually guilty in any case.	باری ما هر دو بر اثر سوء ظن بیک دیگر اشتباه کردیم	خلاصه هر د تا بر اثر اتا سوء ظن دیر جا اشتباه هکردمی	Central Mazani	Babol	Farsi	Vol_2	
there is bad literature	ادبیات بد وجود دارد!	ادبیات بد وجود دارنه	Central Mazani	Babol	Farsi	Vol_2	
he should be glad to hear of any thing that might deserve imitation.	پس اگر چیزی به گوش او برسد که در خور تقلید باشد بسیار مایه خوشنودی او خواهد شد.	پس اگه چیزی ونه گوش برسه که قابل تقدیر باشه خله خله باعث ونه خشحالی بونه	Central Mazani	Babol	Farsi	Vol_2	
I have had an idea, ever since you have been better, of simply planting her at your bedside	همین که تو قدری بهتر شدی من درست و حسابی به فکر افتادم که او را با کمال صفا ببال ین تو بکشانم	همینکه تو اتا کمه بهتر بیی من درست و حسابی فکر هکردمه که وره خله باصفا بکشنم ته بالین	Central Mazani	Babol	Farsi	Vol_2	
stairs which before this he had seen from the jail!	مثلا به اون در باریکی که از پنجره زندان پیداست!	مثلا اونتا دراز دری که زندون پنجره جا پیدائه	Central Mazani	Babol	Farsi	Vol_2	
but it required quite an effort for him to find his voice.	اما کوشش بسیار کرده بود تا صدایش بازآید.	ولی خله تلاش هکرده تا ونه صدا در بیه	Central Mazani	Babol	Farsi	Vol_2	
the day when, trying to comfort her, he had said that if he were not himself	در یک لحظه آن زمانی را در نظر مجسم ساخت که برای تسلی ناتاشا به وی گفته بود	تو اون لحظه اون موقعی ره شه نظر مجسم هکرده که تسلیت واسه ناتاشا ره بوته	Central Mazani	Babol	Farsi	Vol_2	
but in my love that was I.	اما محبتم به شما همان است.	اما مه محبت به شما همون هسه	Central Mazani	Babol	Farsi	Vol_2	
I seen forty two cars a you fellas go by yesterday.	دیروز چل و دو تا ماشین قراضه مثل ماشین شما از اینجا رد شد	دیروز چهل و د تا قراضه ماشیین ته ماشین جور اینجه جا رد بیه	Central Mazani	Babol	Farsi	Vol_2	
its nurse, and her maid	پرستار و یک کلفت	پرستار و اتا کلفت	Central Mazani	Babol	Farsi	Vol_2	
you went out in the hall and shouted for her.	آدم باید برود توی سر سرا و با فریاد او را صدا بزند.	آدم ونه بوره و سرسرای دله و با داد وره ونگ هکنه	Central Mazani	Babol	Farsi	Vol_2	
it struck sharp on the inn door	ضربه سختی به در مهمانخانه خورد	گت ضربه میمون خنه در ره بخرده	Central Mazani	Babol	Farsi	Vol_2	
something had happened to the ignition.	استارت آن عیب پیدا کرده بود.	ونه استارت عیب پیدا هکرده	Central Mazani	Babol	Farsi	Vol_2	
I scarcely know how we got through that day.	خوب به خاطر ندارم که آن روز را چگونه به سر آوردیم.	خار مه یاد ننه که اون روز ره چجوری سر هکردمی	Central Mazani	Babol	Farsi	Vol_2	
he all but fell over on to the chest	چیزی نماند که روی یخدان بیفتد.	چیزی نمونسه یخدون رو دکفه	Central Mazani	Babol	Farsi	Vol_2	
embroiled by factions among themselves.	بر اثر دودستگی به جان هم افتادند	بخاطر د دیتگی به جان هم دکتنه	Central Mazani	Babol	Farsi	Vol_2	
I understand thee still less now	باز چیزی از حرف تو نفهمیدم.	ای هیچی ته حرف جا نفهمسمه	Central Mazani	Babol	Farsi	Vol_2	
the fire which followed	آتشی که در پی آن برپا شد	تشی که ونه پشت راس بیه	Central Mazani	Babol	Farsi	Vol_2	
without reproaching him	بدون این که وی را برای این کارهای بی فایده سرزنش کند.	بدون اینکه وره برا اون کارای بی فایده منت هکنه	Central Mazani	Babol	Farsi	Vol_2	
that will take her life the first time he detects her in an impropriety?	در همان بار اول که خطای او برملا شود جانش را بر سر این کار خواهد گذاشت	همون اولین بار که ونه خطا بر ملا بووه شه جان ره ونه سر النه	Central Mazani	Babol	Farsi	Vol_2	
the price would be nice, very nice indeed.	قیمت این فلز صعود خواهد کرد.	این تا فلز قیمت با لا شونه	Central Mazani	Babol	Farsi	Vol_2	
which was indeed a prodigious leap.	راستی که او توانسته بود از مانعی عظیم پرش کند.	راست راستی بتونسه از گت مانع بپره	Central Mazani	Babol	Farsi	Vol_2	
that my vengeance will fetch a great premium here	که انتقام من فایده عظیمی برای اینجا دارد!	که مه انتقام خله فایده اینجه سه دارنه	Central Mazani	Babol	Farsi	Vol_2	
shiver my timbers	بر شیطان لعنت	لعنت بر شیطون	Central Mazani	Babol	Farsi	Vol_2	
letting the car come almost to a standstill.	تقریباً گذاشت اتومبیل بایستد.	تقریبا بشته ماشین اس هکنه	Central Mazani	Babol	Farsi	Vol_2	
he thought, and again he felt something terrible and monstrous rising in his soul.	او با این افکار دوباره احساس کرد که دیو زشت غضب در جانش به جنبش آمد.	وه با اون فکرا د باره احساس هکرده که نخش دیب عصبانیت ونه جان دله جنبش در بمو	Central Mazani	Babol	Farsi	Vol_2	
but I am awfully fond of children, too.	من هم کودکان را دوست دارم	من هم وچون ره دوس دارمه	Central Mazani	Babol	Farsi	Vol_2	
I, of course, threw it all on my destiny	البته تمام تقصیرها را من به گردن سرنوشت خود افکندم	البته همه ی تقصیها ره شه سرنوشت گردن دم هدامه	Central Mazani	Babol	Farsi	Vol_2	
being indeed equipped for no other.	چون حقیقتاً قدرت انجام کارهای بزرگ را ندارند.	چون واقعا نتونه گت گت کار ره انجام هده	Central Mazani	Babol	Farsi	Vol_2	
made him fly across the fields towards the village where they were going to hold their festival.	لذا از جا کنده شد و به طرف دهی که بنا بود نمایش در آنجا داده شود پا به فرار گذاشت و مقلد همچنان بر پشت او سوار بود.	همین واسه از جا بپرسه و بورده اون محله ور که قرار بیه اونجه نمایش هدن فرار هکرده و مقلد همینجور ونه پشت سوار بیه	Central Mazani	Babol	Farsi	Vol_2	
over there on the north side of the gulf.	آن جا در شمال خلیج.	اونجه خلیج شمال دله	Central Mazani	Babol	Farsi	Vol_2	
it is not my nature.	من ذاتم این جور نیست.	مه ذات اینجوری نیه	Central Mazani	Babol	Farsi	Vol_2	
I looked down upon the servants, and one or two friends who were in the house	به خدمتکاران و یک دو تن از دوستان که در خانه بودند به حقارت نگریستم	خدمه و اتا د تا از رفقون که خنه دله ینه ره خله رز هارشیمه	Central Mazani	Babol	Farsi	Vol_2	
but when he put his hand back to reach for the matches I saw an enormous revolver strapped to his waist.	اما وقتی با دستش پی کبریت گشت روولور خیلی بزرگی را که به کمرش بسته بود دیدم.	ولی موقع ای که ونه دست کبریت دنبال دیه خله گت روولوری که ونه کمر کش دووس بیه ره بدیمه	Central Mazani	Babol	Farsi	Vol_2	
till the bell rang.	تا وقتی که زنگ خورد.	تا وقتی که زنگ بخرده	Central Mazani	Babol	Farsi	Vol_2	
I didn't even check if I got the right sex.	من موقع خرید ماهی حتی جنسیت ان را در نظر نگرفته بودم.	موقع بخرین ماهی ونه نر یا ماه بودن ره در نظر نیتمه	Central Mazani	Babol	Farsi	Vol_2	
made a mouth at him	به او دهن کجی کرد	وره دهن کجی هکرده	Central Mazani	Babol	Farsi	Vol_2	
but I didn't wait to hear any more.	دیگر منتظر نشدم.	دیگر منتظر نیمه	Central Mazani	Babol	Farsi	Vol_2	
how she had managed to reach a place so far removed from her own home	چگونه گذارش به چنین مکان متروک و دور از زادگاهش افتاده است.	چجوری ونه گذر به همچین جای متروک و دور زا ونه وطن دکته	Central Mazani	Babol	Farsi	Vol_2	
I thought of your face, which from your infancy had the stamp of intelligence	به یاد چهره شما افتادم که از دوران نوزادی نشان از هوشمندی و فراست داشت.	ته دیم یاد دکتمه که از زلقی نشون دا خله باهوش و زیرک هسی	Central Mazani	Babol	Farsi	Vol_2	
then went into the shed and found an old crate and a can of paint.	بعد به انبار رفت و یک صندوق چوبی کهنه و یک قوطی رنگ پیدا کرد.	بعدش بورده انباری و اتا پیت چو صننق و اتا حلب رنگ پیدا هکرده	Central Mazani	Babol	Farsi	Vol_2	
I started out	از آنجا بیرون آمدم.	اونجه جا بیرون بمومه	Central Mazani	Babol	Farsi	Vol_2	
I had no time to try my other pistol	من نه فرصت آزمودن شش لول دیگرم را داشتم	نا وقت امتحان هکردن اتا شیش لول دیگه ره داشتمه	Central Mazani	Babol	Farsi	Vol_2	
the sun still low	خورشید تازه برآمده بود	آفتاب تازه بالا بموئه	Central Mazani	Babol	Farsi	Vol_2	
I pushed the door open	من در را فشار دادم و باز کردم	در ره فشار هدامه و وا هکردمه	Central Mazani	Babol	Farsi	Vol_2	
a sufficiency of cold water	یک مقدار کافی از آب سرد	اتا کمه از یخ او	Central Mazani	Babol	Farsi	Vol_2	
the man, who had entered but a moment before me, and was still unpacking his parcels	آن آقائی که تازه رسیده بود پاکت را بازمی کرد	اون تا مردی که تازه برسیه پاکت ره وا هکرده	Central Mazani	Babol	Farsi	Vol_2	
who shall be the witnesses of my death before they witness my betrothal.	ولی بزودی شاهد مرگ من خواهند بود در اتاق مهمانخانه منتظر منند.	ولی خله زود شاهد مه بمردن بوننی و اتاق میمونخنه مه منتظرننه	Central Mazani	Babol	Farsi	Vol_2	
easing his sword in the scabbard	شمشیرش را تا نیمه از غلاف کشید	شه شمیشیر تا نصفه غلاف جا در بیارده	Central Mazani	Babol	Farsi	Vol_2	
she promised to explain matters, and I departed.	به من قول داد که اگر به قمار بروم برایم توضیح بدهد.	مره قول هدا که اگر بورم قمار مه واسه توضیح هده	Central Mazani	Babol	Farsi	Vol_2	
with one hand leaning on the back of the chair	او دستی به پشت صندلی نهاده و	وه شه دس ره بشته صندلی پشت و	Central Mazani	Babol	Farsi	Vol_2	
asking your pardon.	زیاد حرف زدم و سرتان را درد آوردم.	خله حرف بزومه و شمه سر ره درد بیاردمه	Central Mazani	Babol	Farsi	Vol_2	
and with that he drove on andleft the fellow standing there in the road like a bump on a log!	این را گفت و کالسکه را راه انداخت و یارو را مات و مبهوت تو جاده گذاشت.	این تا ره بووته و کالسکه ره راه دم هدا و یارو ره مات و مبهوت جاده دله بشته	Central Mazani	Babol	Farsi	Vol_2	
another thought struck me.	فکر دیگری به سراغم آمد	اتا فکر دیگه مه سراغ بمو	Central Mazani	Babol	Farsi	Vol_2	
the equally unseasonable impulse to burst into scornful invective.	همزمان سخنان ریشخند آمیز و تندی بر لب آورد.	همزمان گپ تند و مسخره آمیزی شه تک بیارده	Central Mazani	Babol	Farsi	Vol_2	
his head inclined in the direction of new noises.	سرش را به سمت صداهای دیگری برگرداند.	شه سر ره به سمت بقیه ی صداها دگاردنیه	Central Mazani	Babol	Farsi	Vol_2	
she could even make a passably good periwig	او حتی قادر بود کلاه گیس نسب تا خوبی درست کند.	وه حتی تونسه خاره کلا گیس درس هکنه	Central Mazani	Babol	Farsi	Vol_2	
so harshly that the child started up from the floor	طوری که طفل از جای جستنی کرد	جوری که وچه شه جا ی جا بپرسه	Central Mazani	Babol	Farsi	Vol_2	
whereas there was one visit he was most anxious to make without delay.	اما قبل از دیدن ژنرال تصمیم داشت به ملاقات شخصی برود	اما قبل از بدین ژنرال تصمیم داشته اتا نفر دیگه ره بوینه	Central Mazani	Babol	Farsi	Vol_2	
he was young, abstract, and therefore cruel	جوان بود و منتزع از این عوالم و به همین جهت سنگدل.	جوان بیه و	Central Mazani	Babol	Farsi	Vol_2	
jabbing his wand at the list	نوک چوبدستیش را روی فهرست گذاشت	شه دست چوی تک ره فهرست رو بشته	Central Mazani	Babol	Farsi	Vol_2	
