en_sentence	fa_sentence	translation	variety	county	orthography	translator
so harshly that the child started up from the floor	طوری که طفل از جای جستنی کرد	ئەخکە سەخت ک ئایلە ڤە مل زەمین هێز گرت	Kakavandi	Harsin	Southern Kurdish	MRY	
whereas there was one visit he was most anxious to make without delay.	اما قبل از دیدن ژنرال تصمیم داشت به ملاقات شخصی برود	دەرهاڵێ ک ی سەردانێ بی ک ئەو فرە دەربەن بی ک بی دوما ئاشتن بکێەوڕێ	Kakavandi	Harsin	Southern Kurdish	MRY	
he was young, abstract, and therefore cruel	جوان بود و منتزع از این عوالم و به همین جهت سنگدل.	ئەو جاڵ، ئنتزائی و سە دەڕەندە بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
jabbing his wand at the list	نوک چوبدستیش را روی فهرست گذاشت	تەرکەکەی میائەر لیستە	Kakavandi	Harsin	Southern Kurdish	MRY	
but suddenly he didn't seem to have any insides at all.	ولی در آن لحظه به نظرش رسید که درونش ناگهان خالی شده است.	بڵەم یگلی ڤە نەزەر ڕەسی ک ئەو ئەسڵەن نام نێرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I am not particularly interested in anyone's opinion,	من که علاقه به دانستن نظر کسی ندارم	م ڤە نەزەر هۊچ کەس ڤە تایبەتیا خوەشم نمای.	Kakavandi	Harsin	Southern Kurdish	MRY	
they would remember him.	به یادشان خواهد ماند.	ئەوێنە ئەوان ئە ڤیرە مارن.	Kakavandi	Harsin	Southern Kurdish	MRY	
turned to walk to the house.	پشت به او کرد تا سمت خانه برود.	گل ئاوردێ تا ڤیرێ ماڵ بچوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
so she resolved to stay and get out of the scrape as she could.	بنابراین تصمیم گرفت که همان جا بایستد و اگر بتواند صدایی شبیه سلام از خود دربیاورد!	سە ئەو تەسمیم گرتێ بمینێ و تا جای ک مەتۏنەێ ڤە مشکلە بچووئەو دەر.	Kakavandi	Harsin	Southern Kurdish	MRY	
I only wish I could thank you for it.	آرزو دارم بتوانم جبران این محبت شما را بنمایم.	هەر خوەزگاڵ درم ک مەتۊنستم ڤە هومە ئەڕا ئەڤە تەشەکر بکەم.	Kakavandi	Harsin	Southern Kurdish	MRY	
I had no one to write to.	برای که نامه بنویسم	مە هۊچکەسم نیاشت تا ئەڕان بنۊسمەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
there was another loud BANG	صدای بنگ دیگری به گوش رسید	دەنگ کەڵنگترەێ ڕەسیەو گووش	Kakavandi	Harsin	Southern Kurdish	MRY	
the men were courteous and tender	مردان هنوز مو دب و نرم بودند	پێالە با ئەدەو و مێرەبان بین	Kakavandi	Harsin	Southern Kurdish	MRY	
he's not a critic at all.	اصلاً منتقد نیست	ئەسڵەن منتەقد نیە	Kakavandi	Harsin	Southern Kurdish	MRY	
to join this assembly	که به مجلس بیایید.	ئەڕا بەشداری کردن ڤە ئی مجلێسە.	Kakavandi	Harsin	Southern Kurdish	MRY	
gave him a good blow with the flat side of it	با لبه پهن آن ضربتی محکم بر او زدم	ڤە لا سافەیا مۏکەم دایەرن	Kakavandi	Harsin	Southern Kurdish	MRY	
waiting for the cold to shake her into another form.	منتظر بود تا سرما او را به قالب دیگری تبدیل کند.	ئەو هووساوی تا سەرما بگەورنتێە شێڤێترا.	Kakavandi	Harsin	Southern Kurdish	MRY	
I'll learn you.	خودم یادت می دم.	م نیشانتە مەم.	Kakavandi	Harsin	Southern Kurdish	MRY	
he paused, than to have a good sleep.	خواب راحت و خوشی داشته باشیم.	ئەو هووسا، دومار ئەڕا داشتن خاو خاسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I haven't seen it all afternoon.	از بعدازظهر دی گه ندید مش.	ڤە دوما نیمەروو ڕا نیمە.	Kakavandi	Harsin	Southern Kurdish	MRY	
he must be a man by this time.	بچه آن روز حالا باید مردی باشد.	ئەو باس تا ئەلان بۊئە پێای.	Kakavandi	Harsin	Southern Kurdish	MRY	
about half way out of the sea, so that it might yet in great part be buoyed up by its native element.	درد حدود نیمی از آن از دریا بیرون بود به طوری که ممکن بود باز هم قسمت بیشتر آن به واسطه عنصر که از آن تشکیل یافته بود روی آب قرار بگیرد.	نزیکە نیمەێ ئەژن ڤە دەریا ئەودەر بیتەێ، ڤە تەرێ ک هالیم مەتۊنستەێ تا بەش فرەێ ڤە ئونسور بوومی وژ شناوەر بمینەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I'm trying to stay outside the loop.	سعی من این است که از حلقه بیرون بمانم.	تڵاشم یەسە ک ڤە هەڵقەکە دەر بمینم.	Kakavandi	Harsin	Southern Kurdish	MRY	
I don't think I could stand it.	ولی تاثیری ندا ره.	فکر نمەکەم بتۊنم تەهەمڵ بکەم.	Kakavandi	Harsin	Southern Kurdish	MRY	
to what temptations he will be exposed!	تا چه اندازه در معرض وسوسه نفس قرار گیرد.	ڤە تۊش چ ڤەسڤەسەڵەێ مای.	Kakavandi	Harsin	Southern Kurdish	MRY	
I flung myself on my face.	خودم را با صورت روی زمین انداختم.	وژمە دەموڕۊا ئاشتە مل زەمین.	Kakavandi	Harsin	Southern Kurdish	MRY	
the searing, destroying power of such a thought as that	گیرم که طوری دیگری شهادت داده باشد.	تۏن سووزان و ڤێران کەر هانە فکرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
his wounded arm forgotten, thoughts of suicide forgotten.	حالا دیگر دست مجروح و فکر خودکشی را از یاد برده بود.	بازوو زەم دارەی ئەێ ڤیرا چی، فکرەل وژکوشتن ئەێ ڤیرا چی.	Kakavandi	Harsin	Southern Kurdish	MRY	
after which he went to my master	سپس آن اسب نزد ارباب رفته بود	دوما ئەڤە ئەو چێە لا ئەربابەم	Kakavandi	Harsin	Southern Kurdish	MRY	
a feeling akin to remorse fretted him.	احساسی شبیه بیزاری او را در برگرفته بود.	ئساسێ جوور پەشیمانی ئەو ئازارە میای.	Kakavandi	Harsin	Southern Kurdish	MRY	
I thought I would sail about a little and see the watery part of the world.	اندیشیدم اندکی به کشتی بنشینم و آن قسمت جهان را که آب گرفته به تماشا گیرم	فکرمە مەکرد کەمێ قایقرانی بکەم و بەش پڕ ئاو دونیا سەێر بکەم	Kakavandi	Harsin	Southern Kurdish	MRY	
I don't suppose I should have done so had I not known this legend.	من هم اگر از این داستان خبر نداشتم بعید بود اهمیت بدهم.	ئەر ئی ئەفسانەمە نمەزانست فکر نمەکەم ئی کارمە مەکرد.	Kakavandi	Harsin	Southern Kurdish	MRY	
I'm running a fever.	تبم بالا رفته.	م تەو درم	Kakavandi	Harsin	Southern Kurdish	MRY	
but when he heard that the cardinal was going to pay him a visit this very evening	اما بالاخره چون شنید که کاردینال از وی دیدن خواهد کرد خوشحال و مسرور شد.	بڵەم هەنێ شنەفتەێ ک کاردینال قرارە هەر ئیمشەو بای بۊنتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
begged her to proceed.	خواهش کرد که به حرف خود ادامه دهد.	تەمەنا کردەێ ک ئدامە بەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I had put my chair away, and was going out of the room	صندلی خود را کنار میز به جای اول گذاشتم و آماده رفتن شدم.	سەندەلیەم ناویە لا و داشتمێ ئووتاق مەچیامەو دەر.	Kakavandi	Harsin	Southern Kurdish	MRY	
flounced out of the shop.	عجولانه از دکان بیرون رفت.	ڤە تونێکا ڤە دوکان دایەو دەر.	Kakavandi	Harsin	Southern Kurdish	MRY	
on purpose, so as to destroy your faith in me completely.	مخصوصا همان داستانی را که تو فراموش کرده بودی نقل کردم تا تو بتوانی کام لا به من ایمان آوری.	ڤە خوسە، تا ئیمان تو ئەێ م هرە کولیا ڤە بن بێرێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
he liked continuity	تداوم را دوست داشت	ئەو ئدامە داین دووس داشتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I want to go to the bathroom.	ولی من باید بروم دست شویی.	م م بچمەو هەمام.	Kakavandi	Harsin	Southern Kurdish	MRY	
until at last, one night, came the end.	تا اینکه شبی پایان کار فرارسید.	تا یەکێ ئاخرێ، شەوێ، پایان هەت.	Kakavandi	Harsin	Southern Kurdish	MRY	
I wanted him dead.	من خواهان مرگ او بودم.	م مەگستم بمرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I do not say	من به شما نگفتم	م نمووشم	Kakavandi	Harsin	Southern Kurdish	MRY	
I hope you find a chair.	بفرمایید بنشیند روی صندلی.	هومێدوارم ی سەنەلیئێ پێا کەین.	Kakavandi	Harsin	Southern Kurdish	MRY	
I don't have that much imagination.	من اونقدرا قوهی تخیلم قوی نیست	م ئەخکە خەێاڵ نێرەێم	Kakavandi	Harsin	Southern Kurdish	MRY	
while she toured all the way around him, taking her time and looking.	مری کار سن دور او چرخید و سر فرصت اندامش را برانداز کرد.	هەنێ ک ئەو ڤە تەمام ڕێ ئەر دەور ئەوە مەگێردیا، ڤەختە مەگرتەێ و سەێرە مەکردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
making peace before it could turn into a fight.	قبل از اینکه صلح تبدیل به دعوا شود	ئاشتیکردن ڤەرئەژ یە ک بووئە جەنگ	Kakavandi	Harsin	Southern Kurdish	MRY	
but as a man now fully devoted to him	بلکه با وی مانند خدمت گذار وفادار خود و کسانی	بڵەم تەر پێای ک ئێسە ڤە کولیا ئەرن ڤەفا دارەسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
of which there may be more than two thousand	که شاید بیش از دو هزار تا باشند	ک هایتێر بێشتر ئەژ دو هزار بوو	Kakavandi	Harsin	Southern Kurdish	MRY	
I must hurry you, so that	به هر حال باید تعجیل در این کار کرد	باس هومە زۊا کەم، ئەڕا یە کەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
of course, one has to say thank you.	معلوم است که آدم باید بیاید و تشکر کند.	بێگومان، ئایم باس سپاسگوزاری بکەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I'm busy now.	حالا کار دارم.	ئێسە کار درم.	Kakavandi	Harsin	Southern Kurdish	MRY	
but now sure of what she must do.	ولی حالا میدانست چه باید بکند.	بڵەم ئێسە دڵنیایە ک چە باد بکەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I am a clown, but not so much of one but that I know how to behave to men and to beasts.	من مردی خشنم ولی نه چندان که ندانم با انسان و حیوان چگونه باید رفتار کرد.	م دەڵقەکێکم، بڵەم نە ئەخکە ک نەزانم چۊ ڤە گەر ئایمەل و هەێوانەل ڕەفتار بکەم.	Kakavandi	Harsin	Southern Kurdish	MRY	
her eyes filling with tears	اشک چشمانش را پر کرد	چەمەل پڕ بینێە گێرێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I will write, what I enjoy writing	خواهم نوشت آنچه را که دوست دارم بنویسم	چێ ک ڤە نۊساینەی لەزەتە مەێرێم، مەنۊسمەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but you can't expect me to have any manners	ولی نباید از یک هم چین دختری توقع ادب داشته باشید.	بڵەم نمەتۊنین چەمەڕێ بۊن ک م خاس ڕەفتار کردن بزانم.	Kakavandi	Harsin	Southern Kurdish	MRY	
the power I had.	چه قدرتی داشتم.	تۏنەێ ک م داشتم	Kakavandi	Harsin	Southern Kurdish	MRY	
but things seemed to have stopped.	اما گویی همه چیز متوقف شده بود.	بڵەم بگر چێلە هووساوینا.	Kakavandi	Harsin	Southern Kurdish	MRY	
with him give vent to his joy over the precious pearl he had gained in having established his wife's purity	تا هر دو متفقاً از جواهری که آنسلم در آزمایش شرافت زنش یافته بود به هم تبریک بگویند.	ڤە گەرد ئەو شادی وژ ئەژ مروارید ئەرزش دارەێ ک ڤە ئسبات پاکی ژنەی ئاوردۊتێە دەس، نیشان دای.	Kakavandi	Harsin	Southern Kurdish	MRY	
I'll kick you!	در غیراینصورت لگد خواهی خورد.	م لەخەتە مەمەرن	Kakavandi	Harsin	Southern Kurdish	MRY	
they're wavering enough already.	خودشان به اندازه کافی سردرگم هستند.	وژان ئیسە بەش چێ دودڵ هەسن.	Kakavandi	Harsin	Southern Kurdish	MRY	
but these did not impress him.	اما این صداها او را متعجب نساخت	بڵەم یەونە ئەر مل کارساز نەوینەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
course of treachery and deception	بچه برای تغذیه خود به شیر گاو احتیاج داشت	دەورە خیانەت و فەرێب	Kakavandi	Harsin	Southern Kurdish	MRY	
I hope to heaven that he has gone	خدا کند رفته باشد	هومێدەوارم چۊ ئەێ بهشت.	Kakavandi	Harsin	Southern Kurdish	MRY	
he staggered towards the door	به طرف در رفته	تڵو تڵو چێ ئەێرەێ لا درە	Kakavandi	Harsin	Southern Kurdish	MRY	
I haven't the faintest idea whether he would make good ornot.	ابدا نمی دونم که امتحان خوبی پس می ده یا نه.	هۊچ نمەزانم ک ئایا ئەو مئەفەق ماو یا نە.	Kakavandi	Harsin	Southern Kurdish	MRY	
even decent boys need reminding sometimes.	حتی به پسرهای معقول هم گاهی باید تذکر داد.	هەر کوڕەل خاسیژ گلگلەێ باس باجینە ڤیران.	Kakavandi	Harsin	Southern Kurdish	MRY	
to enjoy excellent health herself.	کاملاً سالم و قبراق بود.	ڤە تەندورسی فرە خاس وژ لەزەتە مێرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
struck at its straining head and slashed at its moving feet.	با پنجه به سر برآمده و پاهای متحرکش زد و او را زخمی کرد.	زەربە دایەر نام کەپووڵک کیشێریاکەی و قولەل متهەڕک بڕیتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I don't know.	نمی دونم.	نمەزانم.	Kakavandi	Harsin	Southern Kurdish	MRY	
the officers and men would be paid the same.	سربازان و فرماندهان حقوق یکسان دریافت خواهند کرد!	ئەفسرەل و سەربازەل جوور یەک هوقووقانە مەگرت.	Kakavandi	Harsin	Southern Kurdish	MRY	
you will then need to come here	احتیاج خواهد بود که به اینجا بیائید	دومار باس باینە ئیرە	Kakavandi	Harsin	Southern Kurdish	MRY	
the very summit of glory was reached.	دیگر به اوج افتخار رسیدند.	قولە ئفتخار هەتەو دەس.	Kakavandi	Harsin	Southern Kurdish	MRY	
which treated the tranquillity of the capital and its patriotic fervor as not merely secondary	بدان مناسبت مسأله آرامش و نظم پایتخت و حفظ روح وطن پرستی اهالی مسکو نه فقط در عداد مسائل درجه دوم و فرعی قرار گرفت	ک ئارامی پایتەخت و شوور نیشتمانپەرڤەریەی نە تەنیا جوور کارەێ دومارێنەێ سەێرە مەکرد	Kakavandi	Harsin	Southern Kurdish	MRY	
in the room opposite the old lady stared straight at her!	در اتاقِ رو به رو بانوی سالخورده صاف به او خیره شده بود!	ڤە ئوتاق ڕۊئەورۊئە، پیرەژنە مستەقیم سەێرە مەکردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
it returned to the stammer of acharter.	آنگاه با زبانی الکن به تقریر یک قانون اساسی پرداخت.	ڤە منەمن ی مەنشوورەێ هەتا.	Kakavandi	Harsin	Southern Kurdish	MRY	
from the earliest days of the revolt he had careully worked	از همان روزهای نخست کوشیده بود	ڤە یەکمین ڕووژەل شوورشا ئەو ڤە دخەت کار کردۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
where in little more than a month and a half he translated the whole just as it is set down here.	او در ظرف مدتی بالغ بر شش هفته تمام داستان را به شرحی که در این کتاب آمده است برای من ترجمه کرد.	جای ک ڤە کەمەێ بێشتر ئەژ ی مانگ و نیم، هرەر تەرەێ ک ڤە ئێرە نۊسریایە، ئەو کول ئەڤە ڤەرگیرانێەورە.	Kakavandi	Harsin	Southern Kurdish	MRY	
dumplings for supper!	شام و خمیر پخته.	دامپلینگ ئەڕا شام!	Kakavandi	Harsin	Southern Kurdish	MRY	
after what seemed a mighty stretch of time, both awoke out of a dead stupor of sleep	بعد از مدت زیادی هر دو از حال نیمه بیهوش و خواب به خود آمدند	دومار ئەڤە ک بگر ڤەخت فرێ بی، هەر دک ڤە خاو قۏڵی هێز گرتن	Kakavandi	Harsin	Southern Kurdish	MRY	
she asked defiantly.	او با لحن اعتراض آمیزی پرسید	ئەو ڤە سەرپێجیا پڕسی.	Kakavandi	Harsin	Southern Kurdish	MRY	
I think I have served you faithfully.	تا جائی که ممکن بود صادقانه به تو خدمت کردم.	فکرە مەکم ڤە دڵسووزیا خزمەتم کردۊن.	Kakavandi	Harsin	Southern Kurdish	MRY	
but then, prepared as my mind was for horror, shaken as my nerves were by agitation	اما در آن موقع چون آمادگی برای ترسیدن داشتم و افکارم خیلی آشفته بودند	بڵەم دومارکێ، هرەتەرە ک زێنم ئەڕا ئەترەش ئامادە بۊ، هرەتەرە ک ئەسابم ڤە دڵەڕاوکی لەرزۊ	Kakavandi	Harsin	Southern Kurdish	MRY	
he has seen after my simple wants	او احتیاجات ساده مرا برایم فراهم کرده است	ئەو ڤە نیازەل سادە م ڕەسیدگی کردیە.	Kakavandi	Harsin	Southern Kurdish	MRY	
I know just exactly how you feel.	خوب می دونم چه حالی داری.	خاسە مەزانم چ هاڵێ درین	Kakavandi	Harsin	Southern Kurdish	MRY	
then took it out	بعد آن را درآورد	دومار ئەڤە ئاوردئەێر.	Kakavandi	Harsin	Southern Kurdish	MRY	
but it was enough.	اما کافی بود.	بڵەم بەس بی	Kakavandi	Harsin	Southern Kurdish	MRY	
isn't that suffering!	این رنجی الیم نیست!	ئایا یە گوڕاڵاو نیە!	Kakavandi	Harsin	Southern Kurdish	MRY	
that was trailing overboard across the stern bulwarks.	از روی کشتی در دریا افتاده بود.	ک ڤە مل دێوارەئەل پشتێن کەشتی ڤیرەێ درا کیشریاوی.	Kakavandi	Harsin	Southern Kurdish	MRY	
but the sound echoed dismally into the silence, and they stopped fairly quickly.	اما صدایش آن با حالت بدی در سرسرا پیچید و آن دو نیز فورا ساکت شدند.	بڵەم دەنەگە ڤە شێڤە خەمناکەێ دەنگ ئاشتێە بێدەنگیا و ئەون هرە گڕەێ هووسانا.	Kakavandi	Harsin	Southern Kurdish	MRY	
not to stop till	که در هیچ مکانی توقف نکنم	تا هەنێ ک نووسێا	Kakavandi	Harsin	Southern Kurdish	MRY	
sending him reeling backward onto the grass.	او از شدت ضربه به خود پیچید و روی زمین غلتید.	کل کردن ئەو ئەێ دوما ئەر مل چەمەنە	Kakavandi	Harsin	Southern Kurdish	MRY	
she broke the hinges and divided the case	کاترین هراسان شد و لولای قاب را شکست	ئەو لەولاکە شکانەێ و پەرڤەندەکە بەش کردەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
he had lost his only weapon.	تنها سلاحش را از دست داده بود.	ئەو تەنیا سڵاکەی ڤە دەس داویتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I went up to the window and leaned right out of it.	در این هنگام به پنجره نزدیک شدم و به خارج خم شدم.	چمە لا پەنجرەکە و ڤە پەنجرەکە هەول بیم ڤیرئەو دەر.	Kakavandi	Harsin	Southern Kurdish	MRY	
she hastily disengaged herself	کاترین به شتاب خود را کنار کشید	ئەو ڤە تونێکا وژ جیاوا کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
upon which, they all three faced about	بلافاصله هر سه نفر با وحدت نظر کاملی برگشتند	ک ڤە سەر ئەڤە، هەر سنان هەتنا.	Kakavandi	Harsin	Southern Kurdish	MRY	
I was sure of that.	در این مورد اطمینان داشتم.	م ئەژ ئەڤە نڵنیا بیم.	Kakavandi	Harsin	Southern Kurdish	MRY	
more effectively than a rampaging rhino.	بدتر از یک گرگ دن سرکش	کارا تر ئەژ ی کەرگەدەن ڤەشیئێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
it says that, withdrawing a little from the others	باری چنانکه در این تاریخ آمده است همین که مهتران اندکی از اربابان خود دور شدند	مووشێ ک، کەمێ ڤە کەسەلەێ تر دۊرە مەگرەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
but never daring to go beyond her.	اما هرگز جرات جلو رفتن از او را به خود نداد.	بڵەم هۊچ ڤەخت جۏرەت نوا داین ڤە ئەو نەێرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I'm not your assistant and I never will be.	من دستیار تو نیستم و نخواهم بود.	م یارمەتیدەر تو نییم و هەر نماوم.	Kakavandi	Harsin	Southern Kurdish	MRY	
must be absent on the very day.	مجبور بود روز مهمانی در شهر باشد.	باس ڤە ئە ڕووژە ناوتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I popped out to my armpits and blowed the water out of my nose, and puffed a bit.	یک پهلو از آب بیرون جهیدم و از دماغ آب را بیرون ریختم و یک کمی این طرف آن طرف فوت کردم.	تا ژێر هەنگڵم هەتمە درئەێر و ئاوەل نام پتم هالی کرد و کەمەێ هناسیم کیشا.	Kakavandi	Harsin	Southern Kurdish	MRY	
that, in consequence of having worn the regimentals for six weeks past	چون شش هفته تمام لباس کذایی قانونی را در بر داشته	ک ڤە پەێ ئەێڤەر کردن دوڵنگەل نزامی ڤە شەش هەفتەئەێ گوزەریا.	Kakavandi	Harsin	Southern Kurdish	MRY	
I was too amazed and excited and bewildered and happy.	چون بیش از حد مبهوت و هیجان زده و گیج و ذوق زده بودم.	م فرە ڤاقپەڕیا و هەێجان زەدە و سرئەرن شێڤێا و خوەشاڵ بیم.	Kakavandi	Harsin	Southern Kurdish	MRY	
it must be very improper that a young lady should dream of a gentleman	پس خیلی زشت است که خانم جوانی خواب آقایی را به بنید	باس فرە نادورس بوو ک ی ژەن جاڵێ خاو ی پێای بۊنەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
but to prove her wrong would mean irritating her still more and making the rupture greater that was the cause of all his suffering.	اما اثبات اشتباه او به معنی دامن زدن به خشم وی و افزودن بر پهنا و ژرفای شکاف حاصل بود.	بڵەم سابت کردن ئشتبای ئەو ڤە مەنی ئەسەبانی کردن ئەو و کەڵنگ کردن شکافێ بی ک بائس کول گوڕاڵاوەل ئەو بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
held four roosters and upward of forty hens.	چهار خروس و بیش از چهل مرغ داشت.	چوار کڵەشێر و بێشتر ئەژ چل مر داشتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
live to be happy yourself	از برای اینکه سعادتمند شوی	بژین تا وژت خوەشاڵ بۊن	Kakavandi	Harsin	Southern Kurdish	MRY	
I put the phone away in my bag	تلفن همراهم را توی کیف گذاشتم	گووشیەم نیا نام کیفم.	Kakavandi	Harsin	Southern Kurdish	MRY	
for, upon some words he spoke, they went to reap the corn in the field where I lay.	زیرا پس از آنکه وی چند کلمه سخن گفت آمدند که غله کشتزاری را که من در آن دراز کشیده بودم به در وند.	چۊن، ڤە چەن کەلیمەێ ک ئەو ڤتەێ، ئەون چنەر مەزرەئێ ک م ئەر نامێرە درێژ کێشاویمەێ تا زورەتە درئەو کەنەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
asked the visitor	این شخص با کمال ادب گفت	ڤە سەردانکرە پڕسیتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
puts faith in you	به شما اعتماد داریم	ڤە تو ئیمانە مارەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
until he passed a group of them next to the bakers.	اما نزدیک نانوایی با گروه دیگری از این افراد مواجه شد.	تا یە ک ڤە لا بڕەێ ئەژ ئەونە ڤە لا نانکەرێلە ڕەد بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
with his solitary knee fixed in the semi circular depression in the cleat	در حالی که تنها زانوی خود را در فرو رف تگی نیم دایره جای پا قرار داده بود	ڤە زرانی تەنیاکەی ک ڤە ئەێ‌نامچین نیمدایرئەێ‌کەێرە ئەر نام گیرە جاگیر بۊ	Kakavandi	Harsin	Southern Kurdish	MRY	
I'll bet he's got the trains running on time and all his ducks in a row.	اونها هم به جاهایی که بهشون نیاز دارن میرن.	شەرتە مۏئەسم ک ئەو قەتارێلە ڤە سەر ڤەختە ماجێەو ڕێ و کول چێ مرەتەب کردێەسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but he'll be here soon	به زودی اینجا خواهد بود	بڵەم ئەو ڤە زۊا هار ئیرە	Kakavandi	Harsin	Southern Kurdish	MRY	
we're as close as we could be.	جای ما از همه به ورزشگاه نزدیک تره.	ئیمە تا جای ک مەتۊنیمن نزیکیمن.	Kakavandi	Harsin	Southern Kurdish	MRY	
she went to her room and remained alone with her own thoughts.	به اتاق خود خزید و با افکار خویش تنها ماند.	چێە نام ئووتاقەی و ڤە گەرد فکرەل وژ تەنیا مەن.	Kakavandi	Harsin	Southern Kurdish	MRY	
for what journeys you take, your own feet will serve you.	هر جا بخواهی بروی پیاده خواهی رفت.	ئەڕا هەر سەفەرێ ک مەچین، پال وژت ڤە تو خزمەتە مەکەن.	Kakavandi	Harsin	Southern Kurdish	MRY	
I don't think he's ever sold a picture.	یک تابلو هم تا به حال نفروخته.	فکر نمەکەم ئەو تا ئیسە ئەسکەێ فرووتۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
for sure I dare say	گذشته از این من یقین دارم	ڤە دڵنیائیا ڤە جۏرەت مەتۊنم بووشم	Kakavandi	Harsin	Southern Kurdish	MRY	
I wish your heart were independent.	کاش دلت آزاد بود.	خوەزگیا دڵت ئازاد بەویا.	Kakavandi	Harsin	Southern Kurdish	MRY	
jumping, ducking, and breaking through	دوان دوان و جست و خیز کنان	پەڕین، هەولبین و شکێاین	Kakavandi	Harsin	Southern Kurdish	MRY	
the boy had been one of his students last year.	آن پسر جوان سال گذشته شاگرد خود او بود.	ئە کوڕە ساڵ پێش یەکێ ڤە شاگردەل بیتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
striking his head against a stone	سرش به سنگ خورد	سەر وژ کوایەر سانەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I feel like I've suddenly become part of the royal family or something.	ناگهان احساس کردم انگار به خاندان سلطنتی یا مشابه ان تعلق دارم.	ناهەڵمانە ئساسم کرد بگر بیمەسە بەشەێ ڤە بنەماڵ شاهانە یا هانە چێئێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
then borne forward with prodigious speed.	سپس با سرعتی سرسام انگیز به پیش راندند.	دومار ڤە سورەت فرە فرەێ ڤیرێ نوا بریا.	Kakavandi	Harsin	Southern Kurdish	MRY	
may not be said and heard again to morrow.	فردا هم شاید بگوییم و بشنویم.	هایتر سۏ دی نەوەشریا و نەشنەوریا.	Kakavandi	Harsin	Southern Kurdish	MRY	
the real express sent after him	پیک واقعی که به دنبال او آمده بود	پک ڕاسیئێ ک ڤە شوون ئەو کل بی	Kakavandi	Harsin	Southern Kurdish	MRY	
are that thou dost possess a wife that is worthy to be the pattern and crown of all good wives.	تو زنی داری به حق سرمشق و افتخار تمام زنان شرافتمند.	ئایا تو ژەنێ درین ک شایستە ئولگوو بین و تاج کول ژنەل خاس بوو؟	Kakavandi	Harsin	Southern Kurdish	MRY	
the doctor interrupted, and his voice was quite changed	دکتر که لحن صدایش عوض شده بود سخنم را برید	دوکتور قسە ئەو بڕیتێ و دەنگ ڤە کولیا گۏڕیاتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
surprise for you all	یه سورپریز کوچولو برای همتون	سوپرایز ئەڕا کولتان	Kakavandi	Harsin	Southern Kurdish	MRY	
for I was sure	من یقین کردم	ئەڕا یە ک م دڵنیا بیم	Kakavandi	Harsin	Southern Kurdish	MRY	
something they ate at dinner	یک چیزی توی ناهار بوده	چێ ک ئەڕا شام هوردان	Kakavandi	Harsin	Southern Kurdish	MRY	
because swelling had disfigured her legs	زیر پاهایش در اثر ورم از شکل افتاده	چۊن پەشام شکڵ پال شێوانۊتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
about the old days.	راجع به روزهای قدیم.	دەربارە ڕووژەل قەدیم.	Kakavandi	Harsin	Southern Kurdish	MRY	
