en_sentence	kmr_sentence	translation	variety	county	orthography	translator	3332
That…	Ew…	O...	Standard		Kurdish	MO	
I love Warm!	Germî xweş e!	Ez germî ra hes kena!	Standard		Kurdish	MO	
And it is called Granny Pug s Guide to Mini-Beasts!	Navê wê, Rêbera Dapîra Pug ya Aferîdeyên Biçûk e!	Û Nameyê Ey “Rayberîya Dapîra Pugî Yê Heywananê Hurdîyan” o!	Standard		Kurdish	MO	
Pass me the figgy pudding, please.	Ka pudînga hêjîran dirêj bikin.	Ka pudîngê incîran bidê mi.	Standard		Kurdish	MO	
No, it is I who should be sorry Pug. I can t ask others for peace and quiet, then start shouting myself.	Na, divê ez lêborînê bixwazim, Pug. Ez dixwazim ku her kes bêdeng be, lê piştra ez bi xwe diqîrîm.	Ney, ganî ez efê xo biwaza, Pug. Ez nêşena kesanê bînan ra bêvengîye biwaza la ez bi xo dest bi qîrrayîşî bikera.	Standard		Kurdish	MO	
But I have LOTS of drawings I still want to show you. Look...	Lê ez dixwazim hîn gelek wêneyan nîşanî we bikim. Binêrin…	La hema zaf resimî estê ke ez wazena nîşanê şima bidî. Biewnîyê...	Standard		Kurdish	MO	
I can see a red page one!	Ev rûpelê sor yê yekem e!	No rîpelo sûr yê yewin o!	Standard		Kurdish	MO	
We are not, Dog. We thought this game would be fun but - YIP!	Na, me nekir, Seg. Me digot qey ev lîstik dê xweş be, lê – Wîî!	Ma nêkenê, Kutik. Ma vatêne qey no kay do weş bibo la - WÎY!	Standard		Kurdish	MO	
I even have a song about it.	Min jê ra stranek jî çêkir.	Derheqê ey de yew deyîra mi zî est a.	Standard		Kurdish	MO	
This is nice Bookshop Mice.	(kenîn) Mişkên dikanê çi baş in.	Merreyê Kitabxaneyî çi baş ê.	Standard		Kurdish	MO	
You know who d be fun to inviteDog?	Tu dizanî em gazî kê bikin, Seg?	Ti zanî kamî dawet bikerê zaf weş beno Kutik?	Standard		Kurdish	MO	
It looks like we ve both lost our friends in the fog.	Hevalên me her duyan di nav mijê da winda bûne.	Aseno ke ma her di zî embazanê xo dumanî de vîndî kerdî.	Standard		Kurdish	MO	
I'm going to camouflage it!	Ez dê wê kamûfle bikim!	Ez do ey kamûfle bikerî!	Standard		Kurdish	MO	
There s a word - a special word forwhen lots of animals are frightened and begin to run together.	Gotinek hebû – bi taybetî ji bo koma ajelên tirsîyayî yên ku dest bi revê dikirin dihate gotin.	Yew çeku est a - yew çekuya xisusî seba wexto ke heywanî tersenê zaf û pîya dest bi remayîşî kenê.	Standard		Kurdish	MO	
Let's check out the band!	Em herin ba koma muzîkê!	Ma şirê hetê grûba muzîkî!	Standard		Kurdish	MO	
Well, I'm NOT scared!	Lê ez natirsim!	Baş o, ez NÊtersena!	Standard		Kurdish	MO	
Sorry Dog.	Bibore, Seg.	Ef bike Kutik.	Standard		Kurdish	MO	
What kind of a thing Pug?	Te çi veşartibû, Pug?	To çi nimito, Pug?	Standard		Kurdish	MO	
A real Knight!	Şovalyeyekê rastîn!	Yew şovalyeyo raştikên!	Standard		Kurdish	MO	
Let's get to work...	De em bixebitin…	De ma dest bi karî bikerê...	Standard		Kurdish	MO	
...I love books that help me relax with a nice calming...	… ez ji pirtûkên ku min rehet û aram dikin hez dikim…	… ez kitabanê ke mi rehet û aram kenê, înan ra hes kena…	Standard		Kurdish	MO	
(giggling) Oh! Oh That tickles!	(kenîn) Oo! Oo! Ez qidqidim!	(huyayîş) Oh! Oh Ez qijqijîyena!	Standard		Kurdish	MO	
I can t wait to meet the hero whois going to ask Dog the Wise and Pug the Pointy to join them on their quest.	Ez pir dixwazim lehengekî bibînim ku bixwaze beşdarî lêgerîna Segê Zana û Pugê Zîrek bibe.	Ez zaf wazena ez qehremanî bivîna ke Kutiko Aqilmend û Pugê zîrekî ra vajo ke ez şima reyde bêra gêrayîşê.	Standard		Kurdish	MO	
It's over there Holmes.	Şewqe li wir e, Holms.	A uca de ya Holmes.	Standard		Kurdish	MO	
Thank goodness you re here! Please hurry!	Baş e ku tu hatî! Ji kerema xwe bilezîne!	Şikir ke şima tîya de yê! Kerem kerê lez bikerê!	Standard		Kurdish	MO	
Imagining pictures in the sky helped people find the stars they were looking for.	Xeyalkirina şeklên li asmanan kirîye ku mirov wan stêran bibînin ku li wan digerin.	Xeyalkerdişê resiman asmên de hetkarî da merdiman ke ê estareyan bivînê ke înan gêrenê,.	Standard		Kurdish	MO	
Bellman, I think we should spilt up to search	Zangoç, em ji hev veqetin û wisa lê bigerin.	Zengilbaz, ma yewbînan ra cîya bibê û wina bigêrê.	Standard		Kurdish	MO	
(giggling) In the rude noise? Ha ha!	(kenîn) Ru de Noys çi ecêb e? Ha ha!	(huyayîş) Rû de Noys çi ecêb o? Ha ha!	Standard		Kurdish	MO	
I can do it! I can do it! Yeah Wohoo.	Ez dikarim!/ez dê bi ser bikevim! Ez dikarim! Yûûûhûûû!	Ez şêna bikerî! Ez şêna bikerî! Yaa Wohooo.	Standard		Kurdish	MO	
These are the Puggle-Wuggles, whohelp me run my factory.	Ev Pagil-Wagil in. Ew di karê fabrîkayê da alî min dikin.	Nê Pagil-Wagil ê. Ê karê fabrîka de hetkarîya mi kenê.	Standard		Kurdish	MO	
OR perhaps we have another thing to find...like numbers in the right order!	Yan jî divê em bi awayekê din wê tê derxin… em dikarin hejmaran rêz bikin!	YAN zî belkî çîyêko bîn est o ke ma bivînê... sey hûmaranê rêza raste de!	Standard		Kurdish	MO	
Because the world may be full of noise and distractions, but we can always find peace within.	Dibe ku dinya bi teqereq û xireciran tijî be, lê em hertim dikarin tê da cihekê aram bibînin.	Çunke belkî dinya pirrê veng û teqûreqan a, la ma hertim şênê zereyê xo de aramîye bivînê.	Standard		Kurdish	MO	
And kind.	Û başîya wî.	Û qenc o.	Standard		Kurdish	MO	
Because Dogstar is alive!	Ji ber ku Segstêr zindî ye!	Çunke Kutikstare ganî yo!	Standard		Kurdish	MO	
I’m going to find you!	Ez dê te bibînim!	Ez do to bivîna! / Ez yena ke to bivîna!	Standard		Kurdish	MO	
Bow-Wowser! I know exactly what I'm going to make next!	Li vê ecêbê! Îcar ez dizanim bê ez dê niha çi çêbikim!	Hela na ecêbe!! Ez rind zanena ke ez do nik çi virazî!	Standard		Kurdish	MO	
How curious.	Li vê ecêbê.	Hela na ecêbe	Standard		Kurdish	MO	
Dog loves Books!	Seg ji pirtûkan hez dike!	Kutik Kitaban ra hes keno!	Standard		Kurdish	MO	
She can only get covered in mud!	Bi tenê dikare xwe bike biherî!	A tena eşkena xo here de pan bikera!	Standard		Kurdish	MO	
By playing my game you re both alittle smarter than you were before.	Bi lîstina lîstika min, hûn her du ji berê hinekî zîrektir bûn.	Bi kaykerdiş kayanê mi, şima her dîyî zî verê cû ra tay zîrekêr ê.	Standard		Kurdish	MO	
To the wheely ladder Dog?	Em herin ser nêrdewanê, Kutik?	Ma şirê nêrdîwane ser o, Kutik?	Standard		Kurdish	MO	
A very good question Dog. Let's find out.	Te pirseka xweş kir, Seg. Werin em hîn bibin.	Yew perso zaf weş o Kutik. bêrê ma bivînê.	Standard		Kurdish	MO	
And the moon enjoyed it too. It slooking much better now!	Heyv jî pir kêfxweş bûye. Ew niha bêhtir ronîyê dide!	Aşme zî zaf keyf kerdo. A nika hîna weş asena!	Standard		Kurdish	MO	
You see, living here on my ownisn t so bad.	Hûn dibînin, li vir jîyana bi tena serê xwe ne xerab e.	Ti vînenî, tîya de tena ciwîyayîş hende xirab nîyo.	Standard		Kurdish	MO	
Bow-wowzer!	Li vê ecêbê!	Hela na ecêbe!	Standard		Kurdish	MO	
Or else that sneaky gang of picnic pilferers hiding out in the...old abandoned lighthouse! Come on boys, it's another job for The Thrilling Three!	Yan jî dizên seyranê yên ku xwe di fenera deryayê ya kavil da… vedişêrin hatine vê derê! De werin hevalino, ji Koma Kelecanê ra karekê din derket!	Yan zî a grûba dizdê seyranî ya xirabine ke mîyanê... fenerê deryayî yê keheno de yê! Hadê embazêne, Grûba Hîrê Heyecaninan karêkê bîn vejîya!	Standard		Kurdish	MO	
Did you just go yip Pug?	Te niha got erê, Pug?	To reyna va eya, Pug?	Standard		Kurdish	MO	
...it doesn t say. I haven t finished writing what happened yet!!!!!	…ew nabêje. Min hîn hemû tiştên ku qewimîne nenivîsîne!	...o nêvano. çîyo ke bî nêqedênayo, mi hema nênuştoo!!!!!	Standard		Kurdish	MO	
Mine!	Ya min e!	Yê mi yo!	Standard		Kurdish	MO	
This must be the dog s tummy. Whatnice food he eats!	Nexwe ev der aşika Seg e. Ew çi tiştên xweş dixwe!	No ganî madeyê kutikî bo. O çi werdanê weşî weno!	Standard		Kurdish	MO	
Do you have many visitors?	Gelek kes tên keştîya te?	Zaf meymanê to benê?	Standard		Kurdish	MO	
This is no time for delicious dairytreats, Pug –	Niha ne dema şîranîyeka xweş e, Pug.	niika wextê şîranîyanê weşan nîyo, Pug -	Standard		Kurdish	MO	
But most of all and best of all...	Lê herî zêde û ji her tiştî bêhtir…	La tewr zaf û her çî ra vêşêr…	Standard		Kurdish	MO	
But most of all and best of all..	Lê herî zêde û ji her tiştî bêhtir…	La tewr zaf û her çî ra zafêr…	Standard		Kurdish	MO	
How marvellous Pug. Speedingthrough space in our own star ship.	Ev der çi xweş e, Pug. Em di nava keştîya xwe da li fezayê digerin.	Çiqas weş o Pug. Ma gemîya xo ya estareyan de feza ra vêrenê.	Standard		Kurdish	MO	
Dog. Loved. Books.	Segî ji Pirtûkan Hez Kir.	Kutik. Kitaban ra. Hes Kerd.	Standard		Kurdish	MO	
If we solve the puzzles will we wina prize Granny?	Ku em tiştanokan tê derxin, em dê xelatê bistînin?	Eke ma çibenokanê vatişî hal bikerê ma do yew xelate bigîrê?	Standard		Kurdish	MO	
Except it was on the top of your head!	A rast ew şewqe li ser serê te bûye!	Yanî eslê xo de a sereyê to ser de bîye!	Standard		Kurdish	MO	
You meddled with my map Max?	Te bi nexşeya min lîst, Meks?	To xerîtaya mi xirabnaye Max?	Standard		Kurdish	MO	
And no one s arguing about who sits next to you, Sire. With this round table, we re all near to you!	Û tu kes ji bo ku li ba te rûne bi yên din ra şer nake. Bi saya vê maseya gilover hemû nêzî te ne!	Û kesêk seba ke nêzdîyê şima de ronişo pêro nêdano, Rêzdar. Na masaya gilovere reyde, ma pêro nêzdîyê şima de yê!	Standard		Kurdish	MO	
And any minute now a young girlcalled Goldilocks will come skipping along.	Piştî demeka kurt keçikeka bi navê Kezîzer dê derkeve pêşberî me.	Badê yew demî kênaya ke nameyê xo Porzerrên a, do vejîya vernîya ma.	Standard		Kurdish	MO	
But it was soooo exciting Dog. Andnow I'm excited too! Can we read another anthology.. please?	Lê ew pirrr kelecanî bû, Seg. Ez jî kelecanî me! Tu dikarî antolojîyeka din jî bixwînî… ji kerema xwe?	La o zaaaaaaf heyecanin bi Kutik. Û nika ez zî heyecanin a! Ma eşkenê yewna antolojî biwanê... keremê xo ra?	Standard		Kurdish	MO	
If we can think of a perfect place Pug. Perhaps we have a book in the shop that can help us?	Erê, lê divê em cihekê baş bibînin Pug. Em li pirtûkxaneyê binêrin bê pirtûkek ji me ra nabe alîkar.	Eke ma cayêko baş bivînê Pug. Belkî kitabxane de yew kitab est o ke şêno ma rê hetkarî bikero?	Standard		Kurdish	MO	
See those swirls? They re galaxies. Stars so close together they look like clouds.	Te gerînek dîtin? Ew galaksî ne. Stêr hingî nêzî hev in, wekî ewran xuya dibin.	Ti ê çerxan vînenî? Ê galaksî yê. Estareyî hende nêzdîyê yewbînan ê ke sey hewran asenê.	Standard		Kurdish	MO	
Then I'm afraid you ll have to wait Pug.	Divê tu li bendê bi ku sar bibe.	Ganî ti paweyê aye vinderî ke honik biba Pug.	Standard		Kurdish	MO	
Here of course.	Em li vê derê ne.	Helbet tîya de.	Standard		Kurdish	MO	
Shall we read on?	Em xwendinê bidomînin?	Ma wendişî dewam bikerê?	Standard		Kurdish	MO	
All the ships will be safe.	Keştî dê di ewlehîyê da bin.	Hemê keştî do biewle bê.	Standard		Kurdish	MO	
Thank-you Granny Pug. That was veryeducational, and only a bit dangerous.	Malî ava, Dapîra Pug. Wê rêwîtîyê pir tişt hînî me kirin, lê piçekî xeternak bû.	Sipas Dapîra Pug. No zaf musnayox bî, la tena biney tehlukeyin bî.	Standard		Kurdish	MO	
It's falling apart! I can t have goats ... or anyone else, trip-trapping over it so it collapses! Someone could do themselves an injury.	Ji hev dikeve! Ez nahêlim kes… here ser pirê û di ser ra derbas bibe, yan na ew dê hilweşe! Dibe ku kesek xwe birîndar bike.	O keweno! Ez nêverdana ke bizî... yan zî kesêko bîn, serê ey ra şiro ke birijîyo! Belkî yew kes xo birîndar bikero.	Standard		Kurdish	MO	
DORIS IS CLEVER!	Doris zîrek e!	DORIS AQILMEND O!	Standard		Kurdish	MO	
Be-cause we have learnt that if you look after your dog your dog will always be your best friend.	Lewra hûn hîn bûn ku eger hûn li hevalê xwe miqate bin, ew dê tim bibe hevalê we yê herî baş.	Çun-ke ma musna ke eke ti kutikêk weye bikê kutikê to do hertim bibo embazê to yo tewr weş.	Standard		Kurdish	MO	
Canis Major and Canis Minor.	Segê Mezin û Segê Biçûk.	Kutiko Gird û Kutukê Şenik.	Standard		Kurdish	MO	
I be giving it a go!	Waa? Ez biceribînim!	Ez do biceribna!	Standard		Kurdish	MO	
Dog! Dog!	Seg! Seg!	Kutik! Kutik!	Standard		Kurdish	MO	
Hey Diddle Diddle is an old English rhyme hundreds of years old, though no one is quite sure how it started	Hey Zengil Zengilê şîîreeka kevin ya îngilîzî ya bi sed salan e û kes nizane bê ew çawa derketîye holê.	Hey Zengil zengilê yew şîîra îngilîzkî ya kehen a ke se serrî ya, la kes tam nêzano ke a senî dest pêkerda	Standard		Kurdish	MO	
There be no free rides on MY ship.They must work or walk the plank!	Gera bi keştîya min ne belaş e. Yan bixebitin, yan li ser dep/text bimeşin!	Keştîya MI de gêrayîş bêheq çin o. Ê ganî ya bixebitîyê yan zî taxteyî ser o şirê!	Standard		Kurdish	MO	
I can do this!	Ez dikarim!	Ez şêna ney bikera!	Standard		Kurdish	MO	
Ah. Listen, Pug. That music. Sotypically French.	Ah. Guh bidê, Pug. Ev tam muzîka frensî ye.	Ah. Goşdarî bike, Pug. O muzîk. Zaf tîpîk yê Fransa yo.	Standard		Kurdish	MO	
That s VERY good.	Erê, pir baş e.	No ZAF weş o.	Standard		Kurdish	MO	
No, but EAT MY DUST!	Na, lê toza min bixwin!	Nê, la TOZÊ MI BIWERE!	Standard		Kurdish	MO	
Err.like a water pipe.	Aaa! Mesela borîya avê.	Err. Sey yew borîya awe.	Standard		Kurdish	MO	
Oops.	Wîîî.	wîî.	Standard		Kurdish	MO	
This is a book about a world whereit's always dark. And it is called...	Ev pirtûk qala dinyayekê dike ku hertim tarî bûye. Navê pirtûkê…	No yew kitab o ke derheqê dinya de yo û hertim tarî yo. Û nameyê ey...	Standard		Kurdish	MO	
I ll catch you Kanga-loser!	Min da pêşîya te, pîsikê!	Ez do to bigîra, Psiîngêê	Standard		Kurdish	MO	
This is a book about a great detective who solved all kindsof mysteries, and it is called..	Ev pirtûk li ser dedektîfekê mezin e ku dikare her cure nepenîyê çareser bike. Navê wê…	No yew kitab o ke derheqê yew dedektîfê girdî de yo ke her tewir sirrî akeno, û nameyê ey...	Standard		Kurdish	MO	
This is a book all about conjuring tricks. And it is called...	Ev pirtûk di derheqê lîstikên sêhrê da ye. Navê wê ev e:	No yew kitab, derheqê pêroyê hîleyanê sêhrî de yo. Û nameyê ey...	Standard		Kurdish	MO	
Now... I'm a clown.	Niha… Ez qirdik im.	Nika... Ez palyaço ya.	Standard		Kurdish	MO	
Perhaps we have a book in the shopthat might tell us?	Belkî li pirtûkxaneye pirtûkek hebe ku vê yekê ji me ra bibêje.	Belkî kitabxane de yew kitab est o ke şêno na mesela ma rê vajo?	Standard		Kurdish	MO	
But how can I ever put all these pages back in the right books? There s so many.	Lê ez dê çawa evqas rûpelan di pirtûkê da rast bi cih bikim? Gelek rûpel hene.	La ez do senî nê heme pelan peyser kitabanê raştan de bi ca bikera? Zaf pelî estê.	Standard		Kurdish	MO	
We ve found bits of it.	Me parçeyek ji wî dît.	Ma parçeyêkê aye dî.	Standard		Kurdish	MO	
RUN!	Birevin!	BIREMÊ!	Standard		Kurdish	MO	
No, that s a ship in the docks.	Na, ew keştîyeka li lîmanê ye.	Ne, a yew gemî ya ke lîman de ya.	Standard		Kurdish	MO	
Like that one Granny Pug?	Mîna vê stêrê, Dapîra Pug?	Sey a estareya Dapîra Pugî?	Standard		Kurdish	MO	
TEST NUMBER ONE! ALL UNICORNS ARE AMAZING, SO YOU MUST FIND YOUR WAY THROUGH THIS MAZE.	Azmûna yekem! Hemû yûnîkorn newaze ne, lewra divê tu di vê labîrentê da rêya xwe bibînî.	TESTO YEWIN! HEMÊ UNICORNÎ QEHREMAN Ê, COKA TI GANÎ NÊ LABIRENTÎ RA RAYÎRÊ XO BIVÎNÎ.	Standard		Kurdish	MO	
Here, naughty bookshop mices!	Werin, mişkên pirtûkxaneyê yên nehs! Hû hû hûû!	Bêrê, merreyê kitabxaneyî yê xirabinî! Hû hû hûû!	Standard		Kurdish	MO	
I like baths Pug.	Serîşûştin xweş e.	Ez xoşutişî ra hes kena Pug.	Standard		Kurdish	MO	
That s no good. We only eat bamboo.	Ew nabe. Em bi tenê bambûyan dixwin.	No nêbeno. Ma tena bambuyan wenê.	Standard		Kurdish	MO	
Whatever is the matter Pug?	Problema te çi ye, Pug?	Problem çi yo Pug?	Standard		Kurdish	MO	
It's a picture of me mum.	Ew wêneyê dayîka min e.	No resmê maya min o.	Standard		Kurdish	MO	
This is a book called The Wonderful World Of Kites .	Navê vê pirtûkê Cîhana Rengîn ya Vafirokan e.	No yew kitab o ke nameyê xo Dinyaya Ecêbe yê Vafirokan o.	Standard		Kurdish	MO	
I am The Amazing Pugdini!	Ez Pugdînîyê Newaze me!	Ez Pug-dînîyo Ecêb a!	Standard		Kurdish	MO	
And find out what happens next!	Em dê bi hev ra hînî tiştan bibin!	De ma pîya bizanê ke peynî de se beno!	Standard		Kurdish	MO	
First Pug!	Yekem Pug!	Pugo Verên!	Standard		Kurdish	MO	
So lots and lots of happy people could come in and buy his books!	Îcar gelek mirovên bextewar dikarin werin û pirtûkên wî bixwînin!	Wina zaf û zaf merdimê keyweşî şênê bêrê û kitabanê ey biherînê!	Standard		Kurdish	MO	
I already know all my letters Dog.	Ma pirtûkek dê bi kêrî min were?	Ez xora heme herfanê xo zana, Kutik.	Standard		Kurdish	MO	
Yargh!	Yargh!	Yargh!	Standard		Kurdish	MO	
You brought me back safe and sound!	Bi saya we min karî bi hêsanî werim!	Şima bi ewlehî ez reyna arda tîya!	Standard		Kurdish	MO	
Hello Brrrr,fancy coming to aparty in a tropical forest.	Silav Penguenê, were şahîya li daristana tropîkal.	Merheba Brrrr, ti wazenî bêra partîya daristan a tropîkalî?	Standard		Kurdish	MO	
I can see of the line.	Dawîya xêzikê xuya bû.	Ez eşkena peynîya xeze bivînî.	Standard		Kurdish	MO	
Hooray!	Bijîîî!	Biciwîî!	Standard		Kurdish	MO	
Will you be my friends too?	Hûn dê jî bibin hevalên min?	Şima zî do bibê embazê mi?	Standard		Kurdish	MO	
Aye aye captain!	Ser seran, Kaptan!	Çiman ser, Kaptan!	Standard		Kurdish	MO	
We re very high in the sky Dog!	Em pir hatine jor, Seg!	Ma zaf ameyê corê asmênî Kutik!	Standard		Kurdish	MO	
Backwards... Backwards...	Berepaşkî… Berepaşkî…	Peyser... Peyser...	Standard		Kurdish	MO	
A fox who loves books?	Rovîyekê pirtûkhez?	Lûyêka ke kitaban ra hes kena?	Standard		Kurdish	MO	
And this is my recipe room where wecook up amazing new flavours.	Û li vê odeya xwe ya tarîfan jî ez tamên nû û xweş çêdikim.	Û na odaya tarîfanê min a ke tede ez tamanê newe û ecêban virazena.	Standard		Kurdish	MO	
Pug, your nose is amazing!	Pug, pozê te newaze ye!	Pug, pirnika to zaf ecêb a!	Standard		Kurdish	MO	
And a flag especially for dogs.	Ala wê bi taybetî ji bo segan e.	Beyreqa aye zî xususen seba kutikano.	Standard		Kurdish	MO	
I love books!	Ez ji pirtûkan hez dikim!	Ez kitaban ra hes kena!	Standard		Kurdish	MO	
Oh oh Wait Pug!	Oo oo Raweste Pug!	Oh oh Vinde Pug!	Standard		Kurdish	MO	
Give us a lift to the other side and it's all yours.	Me bibin alîyê din yê pirê û bila ew ji we ra bin.	Ma berê hetê bînî yê pirdî wa pêro şima rê bo.	Standard		Kurdish	MO	
And now we can.....	Îcar em dikarin…	Û nika ma şênê.....	Standard		Kurdish	MO	
Can I stick this feather in your diary Dog?	Ez vî perîkî bixim nav rojnivîska te, Seg?	Ez eşkena nê purtî rojaneyê to ra girê bida Kutik?	Standard		Kurdish	MO	
Dog loves…	Seg ji..	Kutik ê çîyan ra…	Standard		Kurdish	MO	
I just waved the magic wand and now I don t know how to stop them.	Min bi tenê darikê bisêhr hejand, lê ez nizanim wan çawa rawestînim.	Mi tena çuwayêka sêhrêne hejnaye û nika ez nêzana senî înan vindarnî.	Standard		Kurdish	MO	
It is good to see again old friend, and just in time to help me solve my most baffling mystery. Where did I put my hat?	Ez bi dîtina te kêfxweş bûm, Watsin. De ji bo safîkirina vê nepenîya dijwar alî min bike. Min şewqeya xwe danî ku?	Weş bî ke mi ti dîyî embazê min o kan, û ti tam wextê xo de resayî ke ti mi rê sirrê min o tewr zehmetî eşkera bikê. Mi şewqa xo kotî de ronaya?	Standard		Kurdish	MO	
Right. Sit still while I paint yourportrait. And no fidgeting.	Baş e. Rûne. Ez dê portreyê te xêz bikim. Xwe nelebitîne.	Temam. Ronişe û xo têwmede ez portreyê to birazena. Û xo têw mede.	Standard		Kurdish	MO	
That is my new favourite book!	Min ji wê pirtûkê pir hez kir.	No kitabê min favorî yo newe yo.	Standard		Kurdish	MO	
I was attempting a new world record Dog. Balancing the most dog biscuits on my nose.	Min dikir ku rekoreka nû bişikînim, Seg. Ez dixwazim pirtirîn biskiwît deynim ser pozê xwe.	Mi waştêne ke yew rekoro newe yê dinya bişiknî Kutik. Tewr zaf biskuwîtê kutikan pirnika xo ser o tepîştene.	Standard		Kurdish	MO	
I don t think biscuits do grow ontrees Pug.	Min ne bawer e ku biskiwît bi daran ve çêbibin.	Ez bawer nêkena ke biskuwîtî daran ra benê Pug.	Standard		Kurdish	MO	
I suppose you couldn t point us in the direction of The North Pole?	Ez dibêjim qey tu nikarî alîyê Cemsera Bakur nîşanî me bidî?	Ez vana qey ti nêşênî hetê Cemserê Vakurî ma rê nîşan bidî?	Standard		Kurdish	MO	
Please don t be upset.	Ewqasî xemgîn nebe.	Keremê xo ra xemgîn mebe.	Standard		Kurdish	MO	
A hill.	Gir.	Yew gir.	Standard		Kurdish	MO	
But it was fun, wasn t it?	Lê pir xweş bû, ne wisa?	La no zaf bikeyf bî, wina ney?	Standard		Kurdish	MO	
Uh... Dog. I'm having a bit of trouble here.	Aah… Seg. Ez di rewşeka dijwar da me.	Uh... Kutik. nika yew problemê mi es to.	Standard		Kurdish	MO	
Building and Fixing Things .	Lêkirin û Tamîrkirina Tiştan e.	Viraştiş û Tamîrkerdişê Çîyan o.	Standard		Kurdish	MO	
What is the problem Pug?	Problema te çi ye, Pug?	Problemê to çi yo, Pug?	Standard		Kurdish	MO	
There is only one way to find out Pug. (calls out) Bookshop mi-ce!	Bi tenê rêyeka hînbûna wê heye, Pug. (qîrîn) Mişkên pirtûkxaneyê!	Tena yew rayîr est o ke ma bizanê Pug. (qîreno) Merreyê kitabxaneyî!	Standard		Kurdish	MO	
This is a history book about howpeople lived in the past. And it is called...	Ev pirtûkeka dîrokê ya li ser awayê jîyana mirovên berê ye. Navê wê jî…	No yew kitabê tarîxî yo ke derheqê cuya merdiman a verêne de yo. Û nameyê ey...	Standard		Kurdish	MO	
Let us count to three, then turnaround together....	De em heta sêyan bihejmêrin û bi hev ra bizivirin…	Ma heta hîrê bihûmarê, dima pîya xo tadê...	Standard		Kurdish	MO	
It's a Factoid Pug. They put new facts in boxes when they arrive at the Wherehouse.	Ew Meselo ye, Pug. Dema ku rastîyên nû tên vir, ew wan rastîyan dixe qutîyan.	No yew Rastîkek o, Pug. Wexto ke rastîyê neweyî yenê tîya, ê înan dekenê qutîyan.	Standard		Kurdish	MO	
And from the icing at the side of your mouth I also deduce that today is your birthday.	Herweha ji wê kremaya li dora devê te ez dikarim tê derxim ku îro rojbûna te ye.	Û sewbîna kremaya ke kinarê fekê to ra ya, ez tira fehm kena ke ewro rojbîyayîşê to yo.	Standard		Kurdish	MO	
What a wonderful idea Pug!	Ev çi fikreka newaze ye, Pug!	No çi fikrêko ecêb o Pug!	Standard		Kurdish	MO	
Dog, there s a man in the shop!	Seg, di dikanê da mirovek heye!	Kutik, dikan de yew merdim esto!	Standard		Kurdish	MO	
All the better for adventure Pug.	Ji bo macerayê weha baştir e.	Seba macera wina hol o Pug.	Standard		Kurdish	MO	
How curious.	Çiqas ecêb e!	Hela na ecêbe!.	Standard		Kurdish	MO	
W-what s a Wumpus Dog?	W-Wumpus çi ye, Seg?	W-Wumpus çi yo, Kutik?	Standard		Kurdish	MO	
And all at sea Pug.	Her der derya ye.	Û her ca derya yo Pug.	Standard		Kurdish	MO	
I could break a hoof trying to get over that.	Qevastina di ser ra belkî sima min bişikîne.	Gama ke ez xo serê ey ra bierza, Ez şêna simê xo bişikna.	Standard		Kurdish	MO	
This is a book about drawing allkinds of things and it is called..	Ev pirtûk li ser xêzkirina her cure tiştî ye û navê vê pirtûkê…	No yew kitab o ke derheqê viraştişê her tewir çîyan de yo û nameyê ey...	Standard		Kurdish	MO	
Yessssss!	(kenîn) Bijî!	EYaaaaa!	Standard		Kurdish	MO	
Naughty Arne Saknussemm.	Arnî Saknusemê nehs.	Arne Saknussemmo xirab.	Standard		Kurdish	MO	
You kept moving, so this is youkeeping moving.	Tu hertim dilebitî, lewra min tu bi vî awayî xêz kirî.	Ti hertim lebîyayêne, coka no, ti yî ke hertim lebîyeno.	Standard		Kurdish	MO	
Did. You. Know... RUN!	Nexwe divê em… Birevin!	To zanayêne... BIREMÊ!	Standard		Kurdish	MO	
I hope they have that camera that takes your picture.	Hêvîdar im kamerayek hebe ku wêneyan digire.	Ez hêvî kena ke a kamera ke resmê to gêna, înan het de bibo.	Standard		Kurdish	MO	
Pug, I think it might be best if you abandoned woodwork and joined me in the shop.	Pug, bi min divê tu dev ji karê xeratîyê berdî û ji bo karê dikanê werî alîkarîya min.	Pug, ez vana belkî hîna weş bibo eke ti karê darî ca verdî û bêrî dikan de mi rê ardim bikerî.	Standard		Kurdish	MO	
I want you to imagine a forest. Amagical forest with a pool, a rainbow and unicorns!	Niha jî daristanekê xeyal bikin. Daristaneka bisêr û bihewz, bikeskesor û bi yûnîkornan!	Ez wazena ke şima daristanêkî xeyal bikerê. daristanêko sihirîn ke tede yew gol, yew keskesûr û yûnîkornî estê!	Standard		Kurdish	MO	
I can see you Pug.	Ez te dibînim, Pug.	Ez to vînena Pug.	Standard		Kurdish	MO	
I love books that ask big questions like...	Ez ji pirtûkên ku pirsên mezin dikin hez…	Ez kitabanê ke persanê girdan kenê, înan ra hes kena...	Standard		Kurdish	MO	
Hello Pug. Hello Dog.	(helkehelk) Silav Pug. Silav Seg.	Merheba Pug. Merheba Kutik.	Standard		Kurdish	MO	
The Emerald Emperor Butterfly isvery rare but it's been spotted round here ... so I need to find it!	Pereperoka Zimrûdî eferîdeyeka pir kêmpeyda ye û ew li van deran tê dîtin… divê ez wê bibînim.	Perperik Împerator Zimrûde zaf nadir a la tîya de ameya dîyayîş... coka ez ganî aye bivîna!	Standard		Kurdish	MO	
