هەرچن من ئامانا پەی ئانەی یارمەتیت دەو ئەگەر تاوو	though I have come only to aid you if I can.	though I came to help you if I could.
بە زەحمەت تاوؽ سەتڵەکؽ بەرز کەرۆوە	she could hardly lift the pail.	I can hardly lift the bench
پەی چیشی شەرابش نەواردەنۆ؟	why did he not take wine?	why had he not drinking a wine?
ڕاشدا تا دەقێ تؽپەڕ بۆ	he allowed a minute to pass	giving the said minister a minute's time.
ئا پیا کە چاگە مەرزیابؽرە هەرمانەکؽشەنە دوور وزیاوە	that the man employed there was dismissed	the man with whom he was disengaged
من گؽل بؽناو کەس حەز مەکەرۆ پیایێ گؽل وینۆ	I was stupid and nobody likes to see a stupid guy wise up.	I was determined that I might not like to be noticed.
واتش کە سەوای بڕیارەکەش ئاگادارش کەرۆوە	he said that tomorrow he would let her know his decision.	he informed her that he must go andget off tomorrow.
بە وەدی چا سەعاتێنە کە شەوەی وەڵینە نامؽش نریا	precisely at the hour named the night before	or at least has been called on the night before.
دلؽ ژوورو سەماکەردەکەینە پەی ژووری وەڵؽنؽ و قاتوو واریۆ پەی حەوشەکؽ	through the ballroom to the anteroom and downstairs into the yard.	he moved up to the room planned as the conjugal bedroom on the upper floor.
تۆ ئؽسە فرە زیاتەرەنی چاڵی	you're much more her now	you're a lot more dignified than you are now.
گوماناوی بؽ کە ئایا گۆشش جە پەیوەندیەکەیشا بیەن یا نا	that it was doubtful whether she had even heard their calls.	or whether she had heard him or not.
جە تەرسو ئانەی کە نەکا قوربانی کە کۆتەن لێ دامی جە دەسش بەرشۆ بە هێزو وێش لوا پێ مەیانو شەڕی.	afraid of letting a ready victim escape	in his horror of the victims which had culminated the bad deeds and bad reputation of the old family house
وەلێ بە حەمدو خوای کە نەشناساو.	but you did,	but not with the intention of finding him at all.
حیچ کەس حەقش نەوێ ئێعترازیە کەرۆ	one not to be bothered with at this time.	in law, had arranged to be free to pass himself off as a bachelor.
خەم و ڕەنجو یەک ساڵ چێوەڵی نتاوابێش زۆرو پاڵەوانیش مارۆ یا بە ئوستخان بەنی قەویش ئازاریە یاونۆ	not in one year's space, by any sorrow, could his athletic strength be quelled or his vigorous prime blighted.	the longer he stood, the plainer his reflections revealed their blackness through the features of his mother's wives.
هیچ هێزیوی جادویش نییا.	but hasn't got any magic powers.	that there is no enchantment
بەداخۆ هیچشا نییا.	I'm afraid there are none.	but sadder, without importance.
کفنیوی سیاوی پەژم کە پێ هامنی قورس بی.	but in ablack shroud, of woollen, which was heavy in summer	I found a black jacket, and a hard, hard world to measure.
چونکە نەوەشەبی.	because she had been ill	partly because it had been a disorder.
تەرسینی گنا وار پێ قوڵاییەکێ ئەگور تەماشاو واریشا کەردێ.	there was the danger of falling over if you looked down into the abyss.	fearful lest the throat should sound.
چون بڕیارو ویش دابی.	for he had made up his mind	as he had made up his mind
تا ئیسە بریان.	the ever got jacked	so far as it is straining through the house
پێ ئانەی نەجاتش بو چەنەشا.	to get rid of them!	that saved them
وەرەبەرەکەرەکی دەستشا پەنەکەرد.	the racers started.	the preacher began.
ئاخیر قسێ لا ئییۆن.	has the last featuring blow at events.	he finally spoke to them
هەر کاتی و گەرەکش بوو متاوو وازش چەنە بارۆ بە ئارەزوو ویش.	while he who is so of his own accord can leave off being one whenever he likes.	that if anything be needed and should be realised in him, he would venture to do anything he wanted.
دووە گەنجەکێ ئا بابەتەشا ئیهمال کەرد.	was passed by the two young people in schemes on the subject.	on which two young men were buoyed up as though upon an anchored balloon.
تاریکیەنێ چا یاگەنێ مدرابێ و خەیاڵ کەری کە چن سەعاتیو وەڵتەر وەشەویسەکەش لوابێ سەرو جادەکەیرێ.	where he had paused in the dark not many hours before to picture to himself on which of the rough stones of the street her feet had trodden	possession of the black mass, and the fancy that he had been waiting for the next moment, on the road.
پاسە بەرگنی دلیوە چیویو بەرکۆتەن ڕۆحشەنێ، قەسەم و ویشدان کە وەرگەو ئی تاقیکەردنەوێ گیرۆ.	but it appeared that something new had come to birth in his soul as though he were vowing to himself that he would bear this trial.	with the expression of one, and the expression of his soul, he declared his intention to make this demand
پەنەم واتی کەرۆش.	I told you he would.	I suppressed a sigh.
دەستکۆتەو سامانیو.	drawing a fortune a title	a stockbroker with a position of respectability.
کەشتیوانەکێ چەمەڕوابی بەرۆش ئۆدیمو کەنداوەکێ.	where a ferryman was waiting to take him across the moat.	the captain was impatiently waiting for the portrait hole to open.
وزیشەرێ.	do you shut it.	to widen it
یاوابی ئەخیرو ڕاڕەوە دورەکێ.	he had reached the end of the farther corridor, and	when he came to the attention of the driveway.
چن تو چینە بەرمشوو.	I'll have this out with you.	how I'll look out for you.
گومانم هەن ئینە دوور یاوابوو هەڵای، من دڵنیانا.	I doubt if he's gotten that far yet in fact, I'm sure of it.	I am sure it is further than I can tell.I feel certain of it.
ئەجیام متاوو باڵندەکە وینو بە باڵە زەریفەکیشۆ.	thought I could make out the bird by her bright plumage	I thought I could see the birds in the form of his cage
لوا پێ هەرمان تا شعرەکاش بارۆوێ..	went to work to get his verses	went to work to publish his sonnets.
پسو هاوبەشیو جە چارەسەرەکەنێ نیشان دریوو.	be represented as a partner in his own cure.	which remained obstinately closed during the whole of the novel
تواناو هێزم نەمەنەن.	I am out of spirits.	I'm LONGING to go.
ئازیزا ئارام بیدێ.	you, gentlemen, bring yourselves to!	so they thought it best to allow themselves to be pacified
پێ ویپاراستەی جە خیانەتی، کە زانی کناچەکی خەریکەنێ.	to avoid betraying that he knew she was about.	to invent an easy justification for the betrayal of his country or their prince
فرە ڕازییا.	he is so very agreeable.	perfectly satisfied.
ئەگەر جە بەرژەوەندی ئای بیە.	if it had been favourable to the boy.	if it had been for his benefit
زەریو چیوش نەفاڕیابی.	had not so much as altered one angle of his vest.	nothing around them seemed changed
ئیتر نەلاوە لا هەرمانی بازرگانیەنە.	said he to himself, and after that he did not meddle in business affairs.	so different from the man he used to be.
یاردیم مۆو.	it would help me	I'll bring it in.
تا ئا یاگەی کاریگەریش سەروتوە بوو.	so far as it will affect you.	or whether she will have the property of that kind.
بە دزیۆ لوانی باڕە تایبەتەکێ، تا یەک دوی پێک وەروێ وەڵی نانو وێرەگا.	I sneaked off to the private bar to have a pint or two before dinner.	I crept forward and touched the glass with my particular attention, to a couple of hours before dinner.
هەر بە سڵامەتی دوورکۆتۆ بە زووی پەنەت ماچوو.	I'll tell you as soon as she's safely away,	I'll say that when you're out of danger I'll run ya in.
نەلانی سەر بە مەبەستو کوشتەییش.	I didn't go upthere with her with any intention of killing her.	I didn't altogether see why it was of course
ئیشەو وەش نیا پێ مەلەکەردەی دلی دەریانێ.	not a pleasant night for a dip in the sea	not a leap is easy to get over the sea.
تەرسانی چن وارانیی ژەنگە گیرۆ یا سەردا بۆش وەنە.	I thought it might get rusty with the rain, or catch cold	fear of how the rain had gone on, or the cold had swelled.
ورلوشتێنێ.	became absorbed in it.	were an ignorant people.
فرە هۆڵی مۆو کە پسو بەڕێوبەریوی بازرگانی ئارام بەرگنو.	I'm trying very hard to look like a relaxed business class top marketing executive.	I will try to perform them as gentlemen
بەش و قەنەفیوی هەن.	we'll have enough of it to stuff a sofa!	they have enough of that sort of covering.
موو نەمەنەبی چروچەمشۆ.	all the hair had gone from her face	I hate to see his face
چونکە کەس فێرش نەکەردەبی.	because nobody had taught him.	for nobody had taught him.
هەرگیز پەنج پیا زیاتەر نەبینی کە یەکترشا ئەژناسان.	there were never more than five men who knew each other.	not more than five men who had ever been friends.
متاویی ئینە دڵ ڕەق بی کە من پاسێ ئازار چیژو.	you could be so hard hearted as to let me suffer so.	you may have had the persistence, the faith it took me to do.
سەعات دوانزە خەریکە تەمامیو.	twelve coming on to pass away.	I've finished writing at twelve o'clock.
کاتیو هەژدە ساڵەنا.	when I am eighteen!	when I was nearly eleven
باندە ئاسنینەکێ بە بێ پڕچیا چیلا پێ ئۆلای جوڵیێ.	the iron bandstraversed it from side to side without any break.	then had the iron part placed directly over my head and touched it on the other side of the movement.
ژوورەکەنێ مدرناش و هۆڵشدا دەمانچەکەش چەنە ورگیرۆ.	stopped him in the vestibule and tried to take the pistol from him.	remained in the room, trying to get his gun down from him.
ڵاڵیانیوە چەنەش ئارامش بوو تا چیرۆکەکەم گیڵنوە.	I begged his patience to hear me tell my story	a pleasant, genial smoke we had, soon thawed it out of my story.
نمایشیوی سەرو وی، کە تموح و هیوای فرەش چەنە بەکار ئارد.	a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	a sight upon which, which from the very wide eyed, he had a longing to see
بەڵام ئیجارێ گردیشا ئامێبینی.	but this time all had come.	but this time he had come.
هەرگیز نەوینابیش.	whom she had never seen	you could never see it.
سەرەش بە قوماشیوی کەتان پسوو باندجی بەسیابی.	his head was bandaged with a linen cloth.	her head with a gesture that tied it to his other side.
بەتایبەت ئەگەر خونەوارەکی تێریبا.	especially if the educated ones have their stomachs full.	especially if the lover is in the possession of the object of his love, and
ئەگەر فرە گەرمم بی، تاراکێ لا بەرونێ.	I shall take off the veil if I get too hot.	if it were too hot in the gloom above.
ئەجوم ئیسە مدرمیو کوچیو شیرینی دروست کەرمێ.	I think we'll stop now and make some fudge.	I think we'll get a bit of milk from now on.
هیوادارەنا بتواو گرد چیوو کەروو پێ سەرنجکیشتەو تو.	I hope I shall do everything to your satisfaction.	I hope I will do anything to make you understand.
هەرگیز چنەش جیا مەبووێ.	I'll never divorce him,	she would never be separated from hiM
چاگە بوو.	there will be.	if it does come, it will be there.
پسو حەفلەو بەرشیەی، من لامۆ گەمژانەن.	like the prom, for exampleseemed silly to me.	I'm such a goose and betrayed such a suspicious excitement
ئینەی تاوام دڵتم بەرئارد.	I took out your heart as well as I could	I couldn't seem to have done enough.
گرد کەسی و گەڕەکەکەنێ خراپتەر بی.	every face in the neighbourhood worsting	that everybody was heartily sick of everything and the whole pack.
بە چرپە واتش شازادەکە وتەن، و بەرەکەش داپۆ.	reported in a whisper that the prince was sleeping, and hastily closed the door.	pointing to the princess, and shut the door.
بەرۆ دەنگەدەنگیو بی.	there was a scuffling outside	outside was a voil of quiet.
ئەشیێ هیچم دەربارەو ئایی بە کەس نەواتێ.	I was to say nothing about him to anyone.	I shouldn't have told anyone anything about it.
پاکتەرا جە ئاوەکی.	clearer than the water.	with water than most.
ئانە گرد نەبی.	that wasn't all	that was not enough.
سەرەم سوڕمەن ڕەنگای گەمژەش کەردیبوو.	I wondered if she was making a fool of me.	whose pale cheeks became slightly flushed
دیناریو نیا باخەڵمەنێ و هیچیش نیا کەروش.	I haven't a cent in my pockets, and nothing to do.	he has not taken a position in his pocket, and nothing more to do.
پێشوازیم چا دەرفەتەی کەرد.	I welcomed the opportunity.	I welcomed the opportunity.
مەتاوو ڕاکە بیزوە.	I can't find the way.	I can't find my way out.
کورەکێ فرە مەژغوڵ بی.	he was very busy.	his son was very busy.
دوورۆ مەزنێ مەکریوی.	not noticeable at a distance	that extends far out of most people's way.
من ئارۆنا نەک سەوای.	I'm alive to day, but to morrow	I'm not going to mention any names today.
دەربارەو شێواز و هەرمانکەردەی خەڵکی.	about the way people work	about the old man's business, and the old man's business.
بی وەرمی کەردەبیناش زۆمی.	I was a zombie of sleeplessness.	so we had a view of the water, a partial view of my neighbor's lawn.
کڵاوەکەش فڕەدا سەرومیزەکی.	threw his hat on the table	he threw the hat on the washstand.
فرە بەناوبانگ بی.	she was also very popular.	I wasn't very popular.
کەسیوی تەرم بی چەمەڕوام کەری.	I had someone else waiting for me.	you'll be waiting for me another self, you see.
پسو ئانەی پڕیوەنێ یاوابو بە قەراریو.	as though he had suddenly reached a decision	as if he had reached a decision
پڕیوەنێ تۆنو دەنگیش فاڕا.	suddenly changing his tone	suddenly changing his tone
من ویرما.	I do remember.	I remembered him.
ئاویش فرە فرە مانیابی.	she was also very tired.	she is so very tired.
پەنجەرەکۆ تەماشەو بەری کەروو.	I look out of the window	I stare out of the window
داواو چاییم کەرد.	I asked her for tea	I ordered tea.
من بە هیچ نۆعیو بازرگانیوی گۆرە نیەنا.	I'm not a top businesswoman at all.	I am not a big businesswoman at all.
گرد چیویوت جە کۆمەڵگا ور گیرد و ویت هیچت نەبەخشا.	receiving everything from society and giving nothing in return.	that you should take in any other person's idea, and keep yourself shut.
فرە جدی بی.	she had become very serious	it was hardly possible.
پسو تو ماچی فرە وشکا.	so very dry, as you say.	you say it's a doggone shame!
متاوو یاردیشا دەو.	I can help them.	it can be helped.
بوەکێ نمازو هەناسە دەی، لییکەکەش بسڕە.	I'll tell the truth.	I don't want a new career!
من هەر نازانینی کە ئامان.	I did not even know he had come.	I only know what might have been coming.
مەرەنجیوم وەڵتەر وینابووم.	I don't suppose I have ever seen her before.	I wish I had seen you before
تاتەکێ بە قەلەقیۆ پەرساش.	the father asked anxiously.	the father asked anxiously.
هیچ مەبەستیوم نیا جە ئامام جگە چە یاریدای داو ئایی.	I have come here with no object except to help him.	I don't mean any of them but to help him.
دماتەر فکرشا جە گۆشتە دزیاکە کەردۆ.	next they thought of the stolen meat	they nextctedctedctedctedcted loathing.
قەرارمدا بلو ئاگێ.	I decided to go overthere.	I am going to go for and tell him.
بەڵام ویش ڕاگیرکەرد.	but she stopped herself.	but he restrained himself.
وردەکاریەکیم باخەڵمەنێ بەر ئارد.	I took from my pocket one last detail.	I took from my pocket a detail.
من تاکە کەس نەبینی.	I wasn't the only one.	I wasn't the only one.
پڕیوەنێ دنیا تاریک بی و وادەمێ دەسش پەنەکەرد و دەنگی وارانی بەلێزمە زیاش کەرد.	the day had grown dark very suddenly, and now there was thick thunder and the sound of rain had swelled.	the world was full of dark and pensive sound and the soft, wet sound of rain had swelled.
ڕاگریت مەکەرو.	I will not hinder you.	I'll narrowly keep you.
ئیشارەتم پێ ڕەسمەکەی کەرد.	I pointed at the picture.	I paced it at the pictures.
بە خەجاڵەتیوە ئامابەرەو	he stomped out looking embarrassed.	that he was timidly coming back.
هۆشتا پا کاریوە بۆ کە کەردێش	observe what you do.	straining through the lens furnished by a purely sectarian creed.
ماچی جە ژنەوتەو دەنگ و وێشا تەرسێنێ	as if they were afraid to hear the sound of their own voices.	they felt as though they had been frightened of hearing their own voice.
پاسە دیار بێ هیچ وەختیە نەگوزەریان	like no time at all had passed.	they seemed to be on not so intimate terms.
دیمیە ویکلەنە جە وەرم هۆر ئێستا	I woke up in a small room.	I dream of him for a week.
یەکڕا دڵش نەوەش کەوت	suddenly her heart was sick.	one of the first things settled in the patient
من تاوێنا هەر چیویە تەحەموڵ کەروو	I could have borne any thing.	I can bear anything.
من تاوو شمە پسەەو کتێویە وەنوووە	I can read you like a book.	I can give you book like a book.
هەشتەهاش جە دەس دا	she lost her appetite	he lost his habit.
ئاخرشەو، بێ واتەی کەلیمیە	finally without saying a word	she ended by saying that if she didn't she would kill her.
زەنگەکە ڕایە تەری دریانە	the bell rang once more	while the bell rang somewhere else
ئاڐ کۆمیاوە سەرش و دیش کە ئاڐە وتێنە	he bent over her and saw that she was asleep.	he looked up and saw her say something
تەنیا ڕام ئانە بێ کە زاڵ بوو ملوو وێمەرە	I just had to get over myself.	I just wasn't capable of letting her go.
سەرەش نیان سەروو شانەو شووە تێر بیەکەیشەو	her head on the shoulder of her satiated husband.	or she lay her head on the shoulder of her own bed
دیش کە ئاڐێ یەکڕایی شکەشا کەردەو و چەودمای واق مەنەیرە	he saw a sudden doubt in them, and then astonishment.	he saw that they had been mutually guilty in any case.
گردوو نۆکەرەکاش واق مەنێبێنێرە	all his attendants were in the same state of amazement.	that everybody was heartily sick of everything.
گاهەز تاوو کەشتیەکەی گێڵنوو وە پەی ساحیوەکەیش	I might return the vessel to her captain.	I may be able to ship off my black vassals
فکر نەکەرێناوە چیگەنە وینووت بۆنەو ئانەیوە کەمیە پەشێویانێ	but I so little expected your visit that it has somewhat overcome me	I didn't see you in here because you was so worried.
بە جۆریە سەیر و سەمەرە مارکەوتەرە سەر و زەمینی	miraculously the snake slumped to the floor	in her despair, she began to suffer badly from that flu that probably hadn't really been a flu.
ئەڐاش دوێ کەڕەتێ یاردیش دا	his mother helped him out twice	her mother had helped two or four times
بە یەکڕایی فکریە ئاما مەژگشەرە	when suddenly the idea occurred to him	that he had not thought lately
وەلێ ئاڐە کەم قوێ بێ پەی جوڵیایوە	but she was too weak to move.	but she had not had enough strength to move.
وەڵترەری فرەتەر جە چیویە بێ کە قەرار بێ هۆرش گێرۆ	was already more than she was meant to carry.	he was still more disappointed than he would normally have been.
فکرش کەرد کە خاستەرەن چیویە نەواچۆ و بۆنەو ئینەیوە گرد چێوش حاشا کەرد	he thought it best to say nothing and so for the timebeing had denied everything	therefore she thought it better to avoid and so on account of all accidental turnings of the wind.
بازدێ با مۆڵەتش دریۆ کە سەروو ژیوای، ئازادی و سامان و مەردمیرە زاڵ بۆ!	let slip an opportunity put into his hands that would have made him absolute master of the lives, the liberties, and the fortunes of his people!	then it was give him a kingdom, to live, and to sink from doing well!
خۆزگەی زانایام قەرارەن چە ئێحساسیەم بۆ	I wished I knew what I was supposed to be feeling.	I wish I knew how I felt about that.
ئا پیا کە بە تازەیی لوا چانەی مشۆ کە شۆخ بۆ	that is, the gentleman who has just gone appears to have an immoderate sense of humour.	the man who had just gone to bed, and who had just gone to bed with him.
عانیە لوایمێ گرد و ئا چێواشە پەی شی کەرداوە	all of which he explained to me as we went along.	when we've gone through telling them all about it.
ئەگەر زوو نەیاوایا ئاگە، جلەکاش پیس کەرێ	if she didn't get there soon she was going to stain her dress.	if he didn't get there soon she was going to stain her dress.
سەرەم تەکان داو وەروو لەرزای وێم بۆنەو ئانەیوە کە ئارۆ فرەش نەمەنەبێ دێر کەروو، گێرت	I shook my head and repressed a shudder at the thought of how close I had been to being too late today.	I shook my head and raised my knees to kiss so much that I was not far away.
من بێ تۆ نەتاوێنا ئینیشا گردی ویاروو	I I just couldn't have gone through all this without you.	I couldn't see them that way, without seeing them.
دەنگشەرە دیار بێ کە هۆشش هەن پوەشە	his voice promised that he would take care of her	in her tone she muttered, voice high and fake innocent.
نیشانە مڐۆ کە دوانزە سەرئاشپەزێ ماتڵ و دەسوور و ئاڐێ نێ	implying that a dozen chefs awaited her orders there.	show him that she had twelve upper teachers to her.
ئەڐام کە هۆشش بێ، ڕیک ژنەوتش و بە ناڕاحەتیوە هوشیارە بێ	which my mother, being on the watch, heard distinctly, and was sadly alarmed at.	my mother, seeing him so well, and being in a straitjacket
من لوێنا پەی لایش و گرد لایەوە چەنیش بێنا	I'd have gone to see her and gone about with her everywhere.	I passed on there, and he disappeared.
بە یەکڕایی تەقەو چێر و بەرەی ئاما	when suddenly was heard a hurried knocking at the door below.	leaping into the room, he knocked.
جە حاڵیەنە کە سەر و سینەو بابەیشە و پاڵ کەوتێبێ، بە جوڵەو سەرەی واتش بەڵێ	but she made an affirmative sign with her head as she lay on her father's breast	in a fascinating but decorous d'shabill'.
چۆرچەمش یەکجار ئارام بێ	his face was quite composed.	then his face was suddenly quiet.
چوون شۆنەو ونێ دیار بێ	for there was traces of blood	for, from the consequent presence there of an indefinite, conditional
من چیویەم پەی واتەی بە شمە هەن	I have something to tell you.	I have something to tell you.
شۆنیشەرە ئێ و ئاواتێش بە تەمامی بە دی ئارێ	she would come in search of him and meet his wishes unreservedly.	he has become intensely interested in looking after it.
مدرابێرە و بە وردی چەمش بڕیەبێ ئی سەرەیە	so stood leaning over with eyes attentively fixed on this head.	his stopped and watched the bottle clandestinely.
کەمیە چەولاتەرەو ماتڵ بی	but lingered at a little distance	remained silent for some time.
ئی کەلیما و واتەی ئاڐیشا، ئا چێوە کە گەرەکش بێ واچۆ، واچێ	that these words and they alone expressed what he wanted to say	of trying to penetrate the full significance of the words.
ئاواتوازەنا دلی بووڵێنە کەمیە تڵات ئێستەبۆوە	let us hope you have found some gold among the ashes.	I hope he found your in the cupboard his father.
هەم دووبارە ئاڐەم جیا ئاستە، ئاڐەیچ بە شێویە ناحەز پەشتەو بەرەکەیش وست	I then quitted her again, and she drew the bolt in one of her worst, most peevish humours.	I left her with the same unperturbed keenness of eye and the same high natural color.
هەمیشە چاگەنە بێ، سەر و مێزیە میقلەیوە	which was always there, upon a little table	it was always there, to top of it and managed to pin it to the ground.
گۆچانەکێش ئاردە بەرەو کە بە شێویە سێحراوی بەرەکەی قوڵف کەرۆ	took out his wand to magically lock it.	his pounding with the flat of his hand on her bedroom door.
واڵەکێش پەی کۆگەی لوابێ و چکۆنە	as to where she had gone or was now.	her sister had gone to her and checked it.
جە زەخم و لەگەنیش کۆم بێ	so bent was he by the wound in his hip.	hes out of his pain.
من ئا کەسەنا کە خراو جۆریە بێ ملاحێزە بیەنا	I'm the one who was horribly careless.	I was the monster that dwells in somewhere.
هۆشش شیەبێوە ئا ئەسەرە کە وەڵتەر سەرشەو نیابێشەرە	but he had completely forgotten the impression it had made on him in old days.	she was now filled with amazement at the effect she had never known before.
زوو جیاش ئاستێ و لوا دلێ ئۆتاقەکەیش تا چێوەکاش هۆر گێرۆ	but soon gave it up and went to her room to pack her own things.	hastily left and went into his room to get his things.
فکرش کەردەو کە چننە سەختەن کە ئەڐاو بابە زیندێ با وەلێ نەشناساش	he imagined how it must feel to have parents still living but unable to recognize you.	thinking that it was so difficult for him to know the meaning of his parents would have been known to him
بە ئێحترام و موحێبەتەو تێکەڵ بیەبێ	was tempered with respect and affection.	moreored and kindly indulgent.
واتش پەنە خەڵک یاردی بابەیەت دانشا و لواینێ شۆنەو شوەکەیتەرە	told her that her father was assisted by the people, and gone in search of her husband.	he told them that he would receive them there, and that they would come to the rescue of the father.
مژە گێرتەبێشەرە و تەنیاییە گول کە نەتاوێ چەنەس بەر بشۆ زاڵ بیەبێ سەرشەرە	it was as though a fog had fallen upon him and wrapped him in a dreary solitude from which there was no escape.	she could not get over it alone in her mind
وەختیە دیشا چننە جە فکرە شێتانەکاش حەز کەرۆ	when they saw how wedded he was to his crazy ideas	save how she would love the idea of losing her.
پسەو کەسیە کە بە قسەکەردەی عادەتش نیەن	as one unaccustomed to speaking	as one unaccustomed to speaking
بە دڵنیایی وە عەجیبتەرین چێو بێ	would certainly have been a most astonishing object	I am sure there was something the best of them all.
توتەکەم نەڐیەبێ چا ڕۆوە کە لەمسم کەردەبێ	I hadn't seen my wolf in person since that day I'd touched him	I saw my dog not on the day I was having.
یاوا بە یەرەمین کەسی واتش پەنە چیشش گەرەک بیەن	then passing on to the third he asked him what he had asked the others	on the third, he told her what he wanted.
من فکرم کەرد شمە مشۆ زاندێ ئاڐ کۆگەرە ملۆ	I just thought you should know the direction he's headed.	I thought you'd better find out.
زانێ کە وەنیارەکە تیرەش واردێبێ	knew that the student had been shot.	now declared that he had suspicions of the snowball.
گۆشش نەڐا چوون لەزەتش بێ پەیش	she let it pass because it was pleasing to her.	she didn't understand, for she had a great wish to do it.
ڕووبە دما گنۆ ملوو سەننەڵیەکەیشەرە	falling back in his chair	bending her body as a sign that she returned to her sit down on the chair
وەختیە باشیش کەردە پۆرەشەرە، هەستیە وەشش دی دلێشەنە کە کەستەر نەبێش	yet when she put her arms around him she could sense a faint echo of some intensity quite missing in the others.	turning round, he felt a deep affectionation that he had not known before.
یەکڕا زەربیە تێژ واردش بە پەشتیم و هۆرگێلانێوە	when I felt a sudden sharp poke in my rear, and turning round	for I smote a blow on my back, and wrestled away.
حەتمەن عانوو نیشتەیرە هەواپەیماکەی کەوە بیەناوە	I must have bruised my ribs when the plane came in.	for no doubt he does not feel inclined in his personal attention when he hasn't got a principle in him to make him more afraid of doing the wrong thing by others than of getting his own toes pinched.
حەگەر قسەکاش پا لەحنە دەسش پەنە کەردەبێ، درێژە دایا	that if he continued the conversation in the same tone in which he had begun it	as if the conversation ended at a point as far from the beginning as some recent sparring between them.
جە حاڵیەنە کە ئاڐێ چیلاوچەولامەو بێنێ، جە دەشتێ ویەردا	I crossed the field with them flanking me.	while they, too, sank from the earth.
دڵسۆزانە گۆش مڐۆ پەنەشا	always lent them a sympathetic ear.	but ashamed of heart he would not refuse them his own pastor.
هیچیە دەسمەو نەبێ کە خیاڵم خجڵیۆ	I had not the smallest indication on which to let my imagination work.	I have no idea that you will suppose me.
چی موقەدەرەنە هامدەردیشا کەرد هەرچن کەم	who sympathized but little in the event	at this very moment, though indeed my friend believed I might have done so
وەشبین بێنا بە وەختیە گول کە مەی	the kind of vision I'd had of the bad time that's coming	I've got to keep pace with him, catching at my breath, tears very near the surface
بە چنگ گێرتیە کە وەختەبێ دەس کەروو گرەوای	with a grip that almost made me cry out	I burst into a tear that lasted me from time to time.
سەروو چوارپایەو پەشتەو مێزەکەیش نیشتەرە	sinking into his desk chair	four had been seated at the breakfast table.
ئاڐ مشۆ بووسۆ، چارەش نیەن	he needed to sleep, he had to	he should bide that time, and not be hurried away in a suttee.
ئاڐ نەتاواش وەروو خوایش گێرۆ	though he couldn't suppress a thin lipped smile.	for he was incapable of taking her than of heaven.
چێوهایەش بە من وات	told me things.	why didn't you tell me?
پسەو ئینەیە بێ کە مەردەی چڕا	it was to invite death	then it seemed that he looked upon death with the same features and in the same style as that
ئیسە، وشەویسم، ئێمە شەڕ کەرمێ	now, my dear, we have the duel.	I'm afraid we were having a quarrel now, my words
یاوانێ دلێ و هێزم چەنەش سانا	I reached in and stole power from him.	I came to a sudden desperate yearning to get off with her.
گۆشە گیری پەی هەر دویشا ڕاسی چێوەکا بێ	that loneliness which was for both of them the truth about things.	attention to each other was the same cause of action as the most important public event
شوەکەش جواوش داوە	her husband countered.	replied her husband
چوونکە دلێ ڕاو باشگاینە عاقل بیەبێ	for he was become wise in the way of clubs.	because he had other things to think of.
ئاخرش یاوایمێ یانەو ئا کەسە فەقیریە	until we came to the poor person's house	we ended up in the house.
هەرچن ئاڐ ئەننە ئەدەبش بێ کە نەتاوێ ئاشکرا واچۆش	though he was too courteous to speak openly	though he was so good that he was unable to say anything definite
ئی چێویچشە پاڐی فامنابێ	a fact which she had impressed upon him.	it had been a narrow escape
قەبووڵ کەردەی نەسێحەتیە خاسی کە پاڐی کریابێ	acceptance of the good advice that had been offered to him	acknowledge herself grossly mistaken and mis judging in all her ideas on one subject
لاش دا تا زەربە بڐۆ ئینەیە	swerved to hit it.	gave him a good blow with the flat side of it
دیای دوەم ڕاش بە پیایە بی کە مرای مرێ	her second glance was at the dying man	I had a man who was apparently on his deathbed
پیایە کە مەردەبێ یا ژەنیە کە وێڵە کریایبێ	the man who had died or the woman he had left behind.	the man who had died or the woman he had left behind.
قەرار بێ ئیدامە بڐەی	that you were to go on.	it was not difficult for me to guess that it was to see her that you had gone
وەختیە نەتیجەش گێرتەبێ	when he had concluded.	but he had to take great heed to keep his tears
ناخوداکە کەمیە دڵەوەرێز بۆ	that her captain begins to feel a little anxious.	that the captain was much less popular
چیویە جە دەروونمەنە کەوت جوڵە	something kind of moved inside me.	her father was moving.
هۆمێڐش بێ پیایە چەمش پەنە گنۆ	hoping that they would meet hers	in the hope of again looking on the face of the man.
من تەنیا هۆشمەن کە چەنی پەرساشاوە جە شاهێڐەکا	I only remember how they began examining the witness.	I'm just a friend of the rabbits and witnesses.
فرە دڵنیا بێنا کە تووتەکەم چاگەنە بیەن	I was so sure that my wolf had been there.	I was sure your dog was there.
یەواشیە لاوناشەو تا بووسۆ	sang to it softly, to lull it to sleep.	he dashing slowly to hit it to stop.
حەز کەرێ چی ئۆتاقیە بنیشۆرە و بڐیۆ ژەنایەرە کە	had liked sitting in this room to watch the ladies who	was inclined to think of the number of those sitting room and watched the ladies who
گرەوای و دۆعا کەردەی	weeping and praying	uttering a whimpering yet clear cry and prayer.
ئەڐاش دمانیمەڕۆیە بە پێشنیاریە فرە عەجیب ئاما لاش	his mother came to him one afternoon with a very peculiar proposition for her.	his mother asked again, with a very strange suggestion.
