source	reference	translation
بؽشتر ز هزار رۊبل ز پیللسوݩ ز دئسل هو گوڌشت بی.	more than one thousand rubles of their money had passed through his hands.	had been drenched in the potion for more than a thousand rubles
وا حڌۊڌ ده سال گوڌشته بۊ ز مۉسڤی که شوݩ ڤه شون یکؽ ز دورگلوم قڌم زیڌوم.	it must be quite ten years since I walked side by side with one of my girls.	I was almost ten years old when I first showed that I was very nervous
غلوه بیمار بی که ترسته بۊ دڌۊسه دۊس داشته بۊ.	too sick to love his sister.	seemed sick of the sight of you.
پیائی نه دیڌ که ز درتا طڤقه دوم هی إنیَشت ڤه در، طئرؽ که تا سینس دیار بی.	descried a man looking out of a door, breast high, on the second story.	The man who had arrived at the front door on the pretext that he had not had time to dream anything.
یو که هو قرار بی رئیس بۊ.	that he was to be a boss!	who was to chief.
چیؽ که مؽن ئی دوینا سیم مقڌس‌تر هڌه، یعنؽ دام.	that is most sacred to me in the world, namely, by my mother	That's what he wanted to do with these two cordlessly.
درجا وَیڌ مؽن تۊ	burst into the room	He got out of the room.
اوسو که اؽبۊ بگوی گشت لؽوه وابیڌومه	when I am almost crazy.	when I was told to go into all that
چندؽ زی إری پیا خیف	how you do gallop on, my good man!	How cuff-nosed.
فقط خۊ بنیَر ڤه هو تا بڤینی که راس إگوم	only look at her well and thou wilt see I am telling the truth.	I'd merely been making a pretext to come into the shop.
منی ئی فرگ نه تی خوم کردوم که مو هی إمیروم	as if'the thought passed through my mind'I were dying too.	I thought you did it myself, if you had anything to say to me.
وا گیزی نیَشتوم سر ڤه بالا	I looked up in confusion.	I put the phone down sadly.
نترئس بی که هو نه ز بؽ حالی و بؽ نائی دراره.	had failed to rouse him from his lethargy.	she was in no mood to leave him alone.
ٱر هونوݩ بخون رن، مو نتروم حرفی زنوم	I can't say nothin' if they want to go	If you read that, I won't know what I'm saying.
اؽما هو نه مؽن هونه ول کردیم	we had left him behind us	We're going to have to get out of this anyway!
ولؽ جوریَت نڌاره که حرفسه تموم کونه.	but hasn't the heart to finish.	but he hadn't been able to do it the way he said.
بؽ هو که نفسؽ چاق کونه	without even taking a breath.	without a sniff and a snicker of a missing picnicker.
وا ئی غال‌بلیل مو حتی‌ نتروم صڌای خاگ نه بیَشنوم.	I won't even be able to hear the egg over this lot.	And I can't even hear a little gasp.
حتی من سند پیری هم وا فرگل کله‌پرته خوس ٱنگال بی	not even with the most desperate act of her old age	I'd thought of that old man, too, if you had anything to say to him.
گاشڌ رنڳوم چی پۊشنوم إسپؽڌ وابیڌه بی.	I am sure I must have been as white as my gown.	I must remember what I've been thinking about.
زس تشکر که سیس.	thanked him for it.	I appreciate your coming.
و بؽ هیچ تفیلؽ لغڌی زیڌ سر رونس	needlessly kicking it in the groin	without any scene from which she did not return with the same unperturbed keenness of eye and the same high natural color.
خو چطۉ تری مو نه بۊئشخؽ؟	so how can you forgive?	How could he have borne my sister?
مو هیچ چی نه ٱماڌه نکردوم بی.	I haven't prepared anything.	I'd never thought so much about it.
مو هم مؽن دوینا ڤه شوئرت باورنکردنی رسستوم.	that I have won incredible fame throughout the universe	I'm sure you'll find me in a world of beyond belief.
غلوه ز اؽسا مڌمۊن هڌوم	banker, advancing towards him with the check.	I've been thinking about it all the time.
ز روشتی که هو مو نه تهله‌خار إکرد بڌوم إؽویڌ.	I hated the way he teased me	the way he used to convey these strange events to me
لازوم هڌه که مو‌ نه ڤه دئوتی تو دئوت کونه.	he ought to invite me to your wedding	I need you to give me a twitch
اؽما هم قڌم ڤه ڤڌم ڤه دینس إریم.	so, at her own pace, we will follow her.	we had shoved off and given way.
یونوݩ جوندارلی اۉره‌ئی‌بر بیڌن که ری آڌوم تسلط داشتن	fearful beasts which were above man.	They gathered around and looked at each other with the same unperturbed keenness of eye and the same high natural color.
یه پا متده ڤه زمین، هو نه گرئڌ.	a foot from the ground he caught it	He leaned his foot against the ground and stood up.
سی که هنی شرۊع نکردنه ڤه خار کردنت؟	since they haven't begun to worry you?	has been telling me what forces are being collected against him!
مر یو که ڤه مو قۉل بڌه که ز حرفل مو نرنجه	unless he would give me his word and honour that he would not be offended	he was morosely gratified by the consciousness of it.
ڤه گشت هونوݩ مَهَت داڌه وابیڌه بی.	they were all helped	'Cause he's got all your faculties as well as ever.
وا سی گوڌردنؽڌن زنده‌یی روِن ڤه دریا	should take to the sea for a livelihood!	as if to plunge it into the sea.
هو کوپؽ شیر و دۉرین نون‌ نه وورڌاشت	he withdrew the cup of milk and the plate of bread.	brought him a mug full of milk and pepper.
که شاه اؽسا هڌیه داڌس ڤه هو.	which your emperor presented hiM	that the king was master of it.
عباسه کشی‌ بی ری سرس	her robes pulled up over her head.	I've got all my faculties as well as ever I had in my life.
اؽما اؽویڌیم و تو نه اینیَشتیم	we'd come and watch you.	We tried to drive him before me and you were there.
یو عجله‌ی اؽما نه بؽشتر إکرد	this increased our haste	And he hurriedly pursued us.
ٱفسرؽ که ویڌ ڤه هونس تا زس یه ملکه راس کونه	the officer who came to get her at her house to make her a queen	the officer delegated to the queen's chair
إگوم: نۉنوم و نوفتومه إخارنوم	I don't know, I say, rubbing my nose.	I say, stop up and see what I'll do.
ٱر ز نهاتر تصمیم إگرئڌ که واقعیت نه ڤه هونوݩ إلقا کونه	if beforehand he chose to impress on them the fact	If he decided to adhere to the truth, he would be condemned.
مو درخاس آزاڌی کرڌوم	I demanded my release.	I asked for my freedom.
سی که هو هرگش ئی دۉربال نبی	because he was hardly every around	'Cause he's not around anymore.
هو درجا نیَشت ڤه إمضا	she immediately looked at the signature.	He's not in a relationship anymore.
مرگوڌوم تروم ٱنجومس بڌوم	I thought I could pull through.	I told her I'd be crazy and stupid myself.
نه کارشناسله نه إخوم نه هم إخوم که بیام بوینومت	I do not wish for experts, not I, nor to go to see you.	I'm not an expert myself, but I must have been.
طئری که هو اینیَره ڤه هو نه خشوم نیا	I don't like the way he looks at her.	in the same way that he did not forgive her his disgrace.
ڤه گشتن نۉاومڌانس ڤه دینس، مؽن آسمونل و زمین ٱڌامه داڌ.	for whom she continued her hopeless search in heaven and on earth	before going down she went into the room where the icons hung
ولؽ یو درجا ترسلومه بیار که.	but it instantly awoke my fears.	but I've got a throbbing heart.
په هو ڤه شڌت زس شکت ٱوی بی	then he was sick to death of it	whereupon the question was asked whether there were any such doubt in his heart.
چن صڌ متر ڤه بال دوئن جَئڌه بجه و واس، نفس‌نفس‌زن	run about a hundred yards down the road and stop, panting.	half of the young lady's head was shaved and she pulled the switch.
هونوݩ ڤه بال جاگه‌ی مشخص وابیڌه هَلمت بوردن.	they raced to the point.	They arrived at a certain spot on the island.
مو سۊری همه ایبۊم، اؽچو	I'll miss everyone here.	I've got all my faculties as well as ever, ah!
هنی هم گمونوم که ڤه هو ضربه خرد بی.	yet it seemed he had only tapped it.	still I think he was in the beat.
فندک برقی نه که یه هفته بی تیس ڤه دینس بی نه اٛستَیڌ.	bought the electric cigar lighter whichhe had coveted for a week.	a large box of ours under his arm, with a thin back mustache.
چه چیی واقعا یه دیسه‌یی این هو بی؟	what did really once belong to him	What was really the sensation that he had been looking for?
گورس جۊر بت ٱۉی راس وابیڌه بی	her prow was fashioned like a swan	Maybe it was a straightforward bridge.
مراؽگوڌوم مو اٛتفاق موهمؽ نبیڌوم	I supposed I was not a major event.	I told her I'd never seen anything like it before.
سیکه ٱسپ هاکی وَیڌ نهنڳ در.	for the gray horse came to the door	It was a bit of a shock.
جایؽ که گشت گورهان مؽن اۉ مله کردن بی.	where the whole regiment had bathed in the same water!	instead of crowding them over.
هو چنوݩ وا دیانت هڌه که ایسو پۊمزه اۉلاڌ داره	he's so bloody religious that she's got fifteen kids now	he had some other feelings towards women than towards grouse and foxes
مو مطمئنا دونستومس سی که کشش ز بین‌ رهڌ بی	I knew it for sure because the pull was gone.	I was sure he was attracted to her.
ٱشنؽڌن حرفل عاقلونه همیشه خورڤَئت‌کوننده هڌ.	it's always pleasant to hear words of wisdom.	he always seemed surprised at what he heard from everyone with reasonable arguments.
اوسو هو نه ز مزگش وند ڤه در	then he dropped her out of his mind	then he drew out his black knife
گاشڌ سی یو نه که مو بؽش ز حڌ ز تو خشوم إوَیڌ	I suppose it's because I loved you too much.	Maybe you're the reason I'm hungry for your hair.
سی خۉسیڌن لوئڌ وابیڌه بی	he was undressing to go to bed	had been drenched in the potion
چنوݩ زئلس ره بی که گشت صڌاسه ز دئس داڌ بی.	for the fright was so great, that she had quite lost her voice	so profound was the sensation that everyone had lost their sympathy.
یه دوئڌر جڤون و خیف که تازه رئڌ بی من ده ساله‌یی	a pretty young princess just turned of ten.	I was only young and happy when she arrived.
وا وه فرگ جا گرئڌن خوتوݩ بۊین.	you must begin to think of settling down.	you would think enough of yourself.
مو صڌمه وه تو نؽزنوم	I will not harm you.	I told her I couldn't see you.
نه چنوݩ راعت که فرگ إکردوم	nor as comfortable, I am thinking	I've been thinking about it now.
که هر وِی وانومه‌یل خوت نه نۉنسته بۊی تو نه خلق‌خندون إکونن	who plague you if you don't know your lessons	That's why I didn't tell you that everyone laughed.
وا تعجڤ واساڌن	stopped in surprise.	Except for the sense of wonder how people can be found in the world.
فقط عشق هڌه که تره اؽما نه ز ئی دَکادکۊن نجات بڌه	only love will get us through this	It's only love that we've been saved from going round the bend.
مو همؽشه ز صحوت کردن وا دهاتی‌یل خوروَئت إبۊم و خَشحال إبۊم که هونوݩ‌ نه وه حقسوݩ برسونوم	I like talking to the peasants, and am always glad to do them justice.	I was always glad to get out of this anyway, and I was glad to get it back.
ز سَئڌی ٱولی، هونوݩ ره بوردن که او دالۊ	since that first transmission they had found out that the old woman	From the top of the road, they only noticed that she was there.
نوم‌ هر آڌوم لۊئتؽ که بیس سال‌ نهاتر إترستوم وه ویروم یاروم.	remember every fool's name as well as I could twenty years ago.	I'm not going anywhere with a fox who's around six years ago.
رفتارس آروم و خیف بی	his demeanor easy and prepossessing.	It was so tractable and pleasant.
همسو که وا او دئس دیَرس پنڳ وند مؽن ریس	while she scratched his face with the other.	who was to approach him in the most dark and mysterious way
مو بِئتر ز هر کس دیَرؽ دونوم که تو خوت تری خوته زفت کونؽ.	I know better than anyone that you can look after yourself	I know better than anyone to fuck up your sister.
مو ڤه دئسی، مۉسڤ چاس، بؽشتر ز حڌ معمۊل قڌم زیڌوم	I deliberately walked further than usual in my lunch hour	I was thinking about it, my dear Ghanaians, just before the beginning of my struggle.
غیرا اۉرل و آسموݩ چیی نه نؽترئس بوؽنه.	could see nothing but the clouds and sky.	He was not afraid of anything else and didn't want to go.
چنوݩ ظوئر، که هیچ کلیچؽ نتره هو نه‌ واڌاره.	so hot that no fingers can hold it.	so insidious is the repetition of any key.
پورؽ ڤه إحساسل باقی دی، هۊش نؽوند.	little concerned about the feelings of others.	the other was full of sensation, and she did not want to leave it.
إتفاق قاڤل توجهؽ بی	was a remarkable coincidence.	I was looking at this unexpected circumstance
پیاکه پای مورد بی.	the man being stark dead.	had been on tiptoe.
مو خوم همیسو إڤورگردوم	I myself shall turn back at once.	I myself have returned always.
زهلوم إره حق وا تو بۊ.	I am afraid you are right.	I think it was your turn.
جۊر‌ مۉسڤؽ که ڤه دین تصاڌف، مردوم تی ڤه ره دویندور هڌن	as it might be after an accident, when people are waiting for the doctor.	I HAVE to get out of this in some way!
إخوم یه چی وت بڌوم نه‌ چیی زت بئسونوم	I want to give you things, not take things away from you.	I've got something to get out of you.
هو مؽن حموم زندونی وابیڌه بی و چیی نَئَشنؽڌ.	she was locked in the bathroom and did not hear anything.	he had been in his prison and had not heard anything.
ولؽ پروژه ز نۊ هی ٱنجوم‌ ایۉبیڌ	but the project was under way again.	but the drawing plan was drawn to fruition.
ٱمرۊ صحو، همسو که‌ ویڌوم‌ ڤه در 5 دلار ٱنعام داڌومس	I tipped him five dollars when I came out this morning.	That's right, I only had the fifty-five dollar reward.
گاشڌ هو مۉسڤؽ رسیڌه بۊ‌ که مو ز دفتروم کردوم ڤه در	it may have arrived since I left my office	Maybe he's the person in charge who's in charge of my office.
ولؽ سی که شاڌی و اۉش و بۉش مؽن دللسوݩ بی	but because gaiety and mirth were in their hearts	but all in a somewhat decayed condition
مو ڤه زؽنه‌ ستینوم ملحق ایبۊم	I shall rejoin my dear wife.	I was suspended for a while after paying for the animal's support.
ولؽ هو وا ویر بگره که عقل خو‌‌ نه قوۊل کونه.	but he must also learn to accept his brain.	but he seemed to have lost his sanity.
پولیس ڤه کئله‌ی هونوݩ هڌه و ممکنه هر ڌقؽقه بجورسوݩ	the police were in pursuit and might even find them there at any minute.	the cops are on the way, and they can't stop him.
هر‌‌ کسؽ خشباش هو‌ نه إگو، إگوی غیر مستقؽم ڤه اؽما‌ إنتقاڌ‌إکونه	any one who admires him passes an oblique criticism on ourselves.	if they pursued a perfect friendship, they only noticed the ugly word.
خو‌ نه پَئن که بی تِی تش و پوشتسه کرد بی ورس.	spreading himself before the fire with his back towards it	nigh to the man who was apt to doze over your neck and knees.
هونوݩ وا جۊراڤلسوݩ، ڤه پردۊف ز پله‌یل رئڌن بالا	they sprinted in their socks up the marble staircase	They got up stairs without any fuss about where they were.
په هو اوچو خو نه واپۊشَند	so he lay in hiding there.	in spite of her very slight weight gain she began to suffer badly from too much fluid in the tissues of her body
مو ویڌومه تا مردوم نه رَئنیۉتؽ کونوم	I got the call to lead people	I was waiting to try to work up to it.
هو نترست ز نۊ نغارنه	she could not help bursting out again	he could not escape his humiliation.
ٱر هم ڤه هو صڌمه‌یی زیڌوم، شکایتؽ نکه.	if I hurt him, he didn't complain.	if you complained of me anyway.
هو، کور زومبسته نه گشت ز ری صندلؽ واراس که و مؽن هوا واڌاشتس	she lifted the helpless boy clean out of his chair and held him aloft.	he sank, throwing back his veil on the divan, and stared at it, as if he were in the air.
ولؽ مو تا ایسو تو نه نیڌوم بی	but I never saw you.	I'd never thought so much about it before.
خَشکؽ که ترسته بیڌومه وه تو بگوڌومه ولؽ نتروم.	I wisht I could tell you so you'd know, but I can't.	I tried to fuck up what he was telling you, but I'm damned if I sympathize.
نۉنئس که هو در مۉرڌ چه کسؽ صحوت إکونه.	he didn't know who she was talking about	he could not help imagining that he had been deceived
مو ننیَشتوم وه‌ کپر.	I did not look at the cottage.	I couldn't see.
سی ٱنگال وۉبیڌن وا یکولؽ ز خطرل جۊراجۊر	to engage in many perils of various sorts	they were hunters and hunters alike, in spite of the perils of his jaw.
گچ نه داڌ وه هو و واسا.	gave her the chalk, and stood up.	He asked, and he went.
سی که مطمئنوم که دؽنداتر حس بِئترؽ نسبت ڤه مو ڌاری.	because I am sure that you will have a kindlier feeling towards me later on.	I'm sure you'll feel worse than me again.
یه‌ناگه ڤه رفتار قڌیمی خوس ڤورگشت	abruptly resuming his old manner	he suddenly began to recover his good conduct
وایه‌مندوم حس مکونؽن که مو سر قۉر دوینا هی إوَربازوم، ڤه إصطلاح	I hope you don't feel that I'm dancing on the grave of the world, so to speak.	I felt like I couldn't help imagining that I had lost my talent for lying.
ولؽ هو هرگش تی خوس نگوڌ بی که ژاره.	but he had never felt poor	But he didn't always feel like he was alive.
یه بڌبختؽ گپؽ تفاق وسته.	a great misfortune has happened	a poor scrubby midshipman as I am.
تِی خوم نؽگوم که رزگوم.	I don't feel sharp	I tell you I'm not going anywhere.
هو یکولؽ زؽتر ره بورد بی که	he had long ere this realised that	he had added in a tone between jest and earnest.
لڤاسل هو یکولؽ کوئنه و نازک وابیڌه بی و هرگش گرم نبیڌه بی.	his clothing was old and worn thin, and it never had been very warm.	his arms large and slender, and he was never warm.
دروازه‌یل هونوݩ سی شۉ بَئسه بیڌن.	their gate was shut for the night.	They got out of the way and got through the gate.
مو جۊر یه مۉیی هڌوم ڤه در ز اۉ.	I am a fish out of water.	I pushed the door and came in.
راسه که هونوݩ ڤه طئر لیشی اوچو وستن بی ڤه دام	it is true that they were fatally hemmed in there.	the chances that may come to us on the way.
ولؽ سی جواڤ ڤه سوئال سوم که ره نبوردوم زس، گوڌ.	but in reply to the third question which he did not understand said	but I have to get to the answer.
نتروم بئلومس رِوه.	I can't let it go!	I can't help myself and I know it.
هو وا نورفت اۊ چیؽ نه که مر إگو عشقه نه ڤه ویر ٱورد	with loathing she thought of what she meant by that love.	he memorized what he had said to his lover
گاشڌ تو خوت هم وابۊی ڤه یکؽ دی	you yourself might have become a different person.	Maybe you were one and the other.
هو بۊ نه ٱشنؽڌ.	he caught the smell.	He had heard it.
وا هو که، خیفی، تیپ و إرتڤاطل هونواڌه‌ییس، اؽچو.	despite his looks and charm and family connections here	who, if indeed peculiar and virtuous
هو وا تیه‌لس ڤه زندونؽ إشار که.	he indicated the prisoner with his eyes.	He has been in a prison for ten years.
هو یه‌ناگه شرۊع که ڤه ور زیڌن تمیس.	she suddenly commenced chattering fluently.	realized with a shock that he was overpowered
هو هرگش هو نه چؽنوݩ تشوؽق نکه‌ بی.	never had she admired her so much!	who was not sober enough.
هم پیایؽ که ری کارتۊن نشئس بی هم پیاڌ وابیڌ.	while another man, who had been seated on the box, dismounted too	also followed by the man opposite the square
لف، وا شڌت و گشت و پاک ریسس مؽن سروم.	in full heavy swing the torrent poured over me.	I turn around, bewildered and cleaned.
کلومه مو اوشتبا هڌه.	my word is error.	I got promoted.
چنوݩ، بیس و‌ شَش کتاڤ نوشت بی.	so had scratched out twenty six volumes.	He wrote his first book and started looking for a way to do something useful.
هو وا بؽ ٱڌڤی هندست.	she laughed impertinently.	He was waiting for a minute.
مو رئڌوم‌ من مغازه شراڤ فورۊشی اؽچو.	I walked into the wine shop here	I went to the guest room to find an honour!
هیچ وت نیبۊ	no harm can befall you	There was nothing left to eat of him.
خَل وابیڌن یه‌ناگه‌یی باعث ضربه خردن باییس وابیڌ.	a sudden tilt struck her arm up roughly	the loss of a sum of money becomes almost immaterial
یه جۊرایی ز ئی کوتۊله خشوم اؽوَیڌ.	I kind of admired the littlecuss	I woke up like a cloak trailing along the coat.
ولؽ صحاڤ هونه بؽشتر هۊش إوند ڤه کار خوس تا باقی دی!	but the landlord, who minded his own affairs more than other people's	But they're doing their jobs for the rest of their lives.
گمونوم ٱمرۊ ڤه سختی آڌوم ترسته بۊ میره‌یی بئتر ز هو بجۊره.	a better husband one would think could hardly be found nowadays	I think I've been through this before, trying to get a bit out of her.
در خزمتتوݩ هڌوم.	I am at your command.	I've got your coat.
سی هو تۉضیح داڌوم بی که پِته نه وا مستقؽم بڌه ڤه خوم.	explained to him that, my bill was to be rendered to me personally.	I was persuaded that my father was going to be a straightforward man.
ولؽ هو هیچ شاڌی ڤه تی نَیڌ	but he felt no joy.	But he didn't get a chance to do anything about it.
ئی چَمَکورۊ، خَڤر رۊز هڌه.	this funeral is the news of the day.	This way and that, and very important.
هو زۊر که ڤه دئس کورس و فشارس دا.	she pressed her son's hand	pushed her hand, pushed her hand.
ٱمرۊ حلس إکونوم	I'll settle it to day.	I'll get out of this anyway!
شرم نه مؽن سِیل کردنس بنه ڤه گِل	quench the shame in her own.	feeling completely torn by the consciousness of it.
غلوه سۊری داردۊنل وابیڌوم بی.	I missed the woods so much.	I'd hand 'em something much better.
کسؽ که کولمات باهنده نه جَرتؽڌ و إشکندس.	who wrung off the bird's neck	He pushed the door and opened it.
هو گوڌ: چه چی‌یل بلاجوی تفاق ایوفته!	said he, what queer things do happen!	he said, what a jumble!
وا ڤه قانۊنل هو إحترام بلوم.	I have to respect his rules.	to whom I shall make such excuses that she will be led to approve of my delay
سی که مؽن تاقس کارؽ داره که وا همی صحو ٱنجوم وابۊ.	because he has some work at his desk that must be done this morning.	'Cause he's got something to do with him always.
نه هوندا تو سۉئیله و ورورۊ	not so thickheaded or talkative as you are.	before going down she went into the room where the icons hung
نیخوم‌ که تی خوت بگوی که مو زئله‌در هڌوم.	I don't want you to think I am a coward	I don't need to tell you that I've been locked up.
سی که ایسو تعطیلات تموم وابی بی.	for now the holidays were over	'Cause there's no longer any old-fashioned firmness in his speech.
مو نؽخوم کسؽ نه بکوشوم و نیازؽ هم ڤس نڌاروم	I shan't murder anybody, and I've no need of it.	I don't need to kill anyone, and I don't need to tell you.
ز مۉسڤؽ که وا تو آشنا وابیڌوم	since I fell in with you.	I just meant to meet you.
خوس رئڌ تا نومسه ثفت کونه.	went himself to enter his name.	she rose as soon as day dawned.
جواڤس یو بی: ز ٱول آرنڳ خشوم إوَیڌ.	I liked the overture, was his answer.	I have to get out of this anyway!
مؽن واسگَه مندیر اؽما بیڌن.	were waiting for us upon the platform.	had caused irreparable damage to the furniture
مؽن هموچو که جر وابی بی.	at the very place where the battle was fought.	That's what he wanted to do.
مو هو نه ڤه خۊؤی دونئسوم همچونوݩ که‌ همیسو دونومس.	I knew it quite as well as I know it now.	I know he's in a relationship with her always.
فرگؽ زَیڌ ڤه سرس.	an idea struck her.	It seemed like an idea from head to foot.
که ز ری هو، تیله جوۊن هنی هم ڤه داس وابَئسه بی‌.	by which the young cub seemed still tethered to its dam.	who was still young, was hanging from the carriage.
فقط ڤه دلوم‌ آگائه که زنده‌یی طۊلانؽ‌تری‌ مؽن ره دۉری.	I only believe that you have long life before you.	I only wish someone else's life had been a little longer.
ولؽ ز زؽر در نیَشتوم	but I looked through the keyhole	but I'm damned if I sympathize.
تعجڤ کردوم که سی کرت آخر، چه کسؽ ڤس گو بی خه دۊسس داره.	I wondered when the last time someone had told him they loved him was.	I wondered who'd come to his rescue.
کارس تموم وابی بی.	her job was gone!	It was a busy end.
تا سی دو‌ کورس، بئترؽن‌ إمکانل وانوم نهاڌن نه بنه‌ تحت إختیار.	in order to give his two boys the best education possible.	they got to the woodpile that was in front of my tree, and slipped in behind it, and so they had the bulge on the men again.
علفل نمڌار تیار زؽر سا قئله	damp grass right in the shadow of the castle.	he was unwilling to leave it untranslated
چیؽ که تو هیچ زس نۉنی ولؽ مو دونوم.	that you know nothing about, but I do.	You won't have anything to do with me.
ولؽ تو یه کلوم ز ئی نامه نه وازگۊ مکو	but do not breathe a word of this letter	But you have to get a bit out of this letter.
بؽ یو که بنیَرن ڤه یکدو	not looking at one another.	without thinking beyond the immediate cause
هی پلرڌ إکونوم‌ که شؽواتؽ‌ ز اۊ پیا ڤه دئس بیاروم	I'm trying to get a picture of the man himself.	I could see the footsteps in which he walked.
یه ترَیتول تئنا زمؽنومه إستَیڌ	a single tractor took my land.	I've got a little bit of dust.
واقعا ٱئمیتؽ نیڌوم ڤه بچه‌ڌار وابیڌن	I didn't really care about having a baby.	I'm not really interested in seeing that kid.
هو نهاتر جئس بی ڤه بال‌ ماشی.	she was already running toward the car.	he was thinking about it.
مؽن هر چی ماڌی خردوم ڤه موشکل.	I am thwarted in every thing material.	I could do anything about it, if you had anything to say to him.
مڌمۊن سی وایه خیر و پلرڌؽ که سی هو داشتؽ.	for every wish and every endeavour to do her good.	it seemed to himthat everything was fine and pleasant.
خو نه یه طئرؽ نشوݩ إڌا منؽ ز هیچی خڤر نڌاشت.	pretending that she did not know the truth.	show it was no mere irresponsible venture of his hand
ولؽ همؽشه ڤه رۉجل تو گۊش إگروم.	but I'll always listen to your ideas.	but I'll always be in your turn turn bitten by the serpent.
سی که بیمار‌ زس نه راضی بی.	as the patient was dissatisfied with him.	'Cause he was sick of his sight.
هو پورس که آسؽ مله مؽن دریا سیس خۊؤه یا نه!	she asked if sea baths would do her any good	he asked if there were any accused of this crime in that sea!
ولؽ ز بیڌن وا هو‌ إحساس خۊؤی نؽکه.	but she felt ill at ease with her.	But he doesn't feel happy about it.
یکؽس ز وارو تا لم‌ ز نۊ راس وابی بی.	one was dismantled from top to bottom!	One of the doors was hanging from the pipe.
غلوه ز چی‌یل هنؽ وا سایل پۊشنؽڌه وابیڌن بی.	much was still hidden by the shadows.	Most of what he had just heard was a little too curious.
هو، خو‌ نه غرق من زهشتؽ دیڌ.	she let herself be saturated with a soft feeling of relaxation.	he, indeed, saw himself drowning in my life.
منؽ این خوسه.	as if it had been her own.	I am delighted.
پیایل درویڌن و کالسکه نه داڌن که هو ویرس واس بۊ.	the gentlemen jumped out, and the equipage was delivered to his care.	they got out heavily and gave way to the carriage which was broken
پلرڌ که، که هو نه واڌاره.	tried to stand him on it	He insisted he stay in the same attitude.
یه ٱورکوت مهلی کوئنه و پیرکنده کرد بی ڤه‌ ورس.	was wearing a very old and rather moldy looking tailcoat.	And he stood in the midst of his saddle, and took hold of the old saddle.
مو خوم بؽ وانومنؽگار ویر گرئڌوم.	I taught myself.	I took it very carefully in my arms.
ٱمرۊ إخوم پای خشحال بۊم.	to day I mean to be perfectly happy.	I was glad to get out there.
مو ڤه جا هو جواڤ إڌوم.	I will answer for him, count	I have answered him before me.
جۊر پیا کۊرؽ که گۊشس تیزتر اؽبۊ	like a blind man whose hearing becomes more acute.	as a man, who was apt to doze over the grave.
نه بگه فقط شک داشته بۊ که تقرؽبا مطمئن بی.	though he not only doubted but felt almost certain	it was only a doubt that he was almost certain.
زنده‌یی ئی بیس ماه گوڌشته تو چی رۊز سی مو رۊشنه.	your whole life during the past twenty months lies within my knowledge.	That's what you did with my hair for the last six months.
ولؽ گشت کارل منی خو وا خو ٱنجوم گرئڌن.	but it all got done as if of its own accord.	but all my achievements were his own.
فقط هم هو که إنؽ چارده سالس إکرڌ.	only one, who had just turned fourteen	He's only been here for fourteen years.
ڤه اؽسا گوڌوم بی که یه‌پاره‌ولایی نتروم شصخا خوم بوینونتوݩ	I have told you that I cannot receive you myself very often	I told her that if I hadn't had enough of her she'd have to go
ٱر نه گاشڌ کولماتوموݩ بشکه‌هه.	or we shall go breaking our necks	If you leave me, I'll eat my poison.
هنؽ هم إخوم درمۉرڌ هر چی بلاجوی بیَ	I still want to hear about anything odd.	he was like a man, always ready to disobey.
تی هَئنه نشئسوم بی.	I was sitting on the grass bank	I was looking for you again.
هو تئصیم گرئڌ که ڤه هو قۉل بڌه که مؽرس وۉبۊ.	he determined to pledge his word to her to become her husband	He held the theory that he had argued that it was a marriage of affection.
مو و بچه‌یلته ز ویرت مبر.	don't forget me and your children.	I and the baby died.
مطمئن بۊین که ز دؽدن هو خورڤئت إبۊم.	I assure you I shall be happy to see hiM	I'll let you know in advance that I'm going to lend you a massive attack.
وایه‌مندوم که یه می‌هونه خیف سی مو جوسته بۊی.	I hope you found me a nice pub	I thought someone was gonna bother you.
هو حتی یه کلومه هم نیَشنؽڌ.	she wouldn't hear a word.	he had never even heard a word.
مو ڤه هو، بؽشتر ز چیی که ترسته بۊئوم جبران کونوم بڌاکاروم.	I owe her more than I can ever repay.	I on purpose have to make up for the unwanted with the desirable.
هو نشئس بی ڤه گل و پایلسه وا دئس گرئڌ بی.	he sitting on the ground, with his feet in his hands.	he was suspended for a while after paying for the animal's support.
مو ڤه تخت هشار کردوم ولؽ ز بس لڤاس ریسه، جا نشئسن سرس نؽڌ.	I gesture to the bed, but it's covered with clothes.	I ascended to the bed, but sat down on the front steps with my knees.
پیاڌ، ز مؽنجا شَئر گوڌشت	went on foot through the town.	Come on, I'll get your coat.
سی خورڤئتی هو هر کارؽ إکونوم	I would do anything for his happiness!	I've got all my faculties as well as ever I had in my life.
هو ڤه دین یه واساڌن کوچیر، وا آهی جواڤ داڌ.	he rejoined with a sigh, after a short pause.	he answered in a tone between jest and earnest.
ولؽ رفتار هو قاڤل سرزنشت هڌه.	but his his behavior is reprehensible.	but his behavior was so violent.
ز مۉسڤؽ که کوچیر بیڌوم.	ever since I was a child.	I had the incivility to tear such clothes!
نه مهمه که بۉ و دات کۊچنو هڌن.	no matter what your parents were like.	It doesn't matter if you and your mother are in a relationship.
گمونوم بئتره که همؽچو واسوم که اوسو که کارومه تموم کونوم	I guess I'd better stop right here till I've finished.	I think I'm gonna have to get to the end of my job.
مردموݩ ز هو ڤورگشتن، إگوی وا یه دشمن مشترک ری ڤه ری بیڌن.	people turned away from him as from a common enemy.	people turned away, as if they were enemies in common.
