en_sentence	fa_sentence	translation	variety (Western Gilaki|Eastern Gilaki)	county	orthography	translator	5420
she said, her telephone voice typical of herself, brisk, rather masculine, standing no nonsense, and then not waiting for my answer.	امروز خیلی دلم هوایت را کرده بود و تصمیم گرفتم به تو تلفنی بکنم.	ایمرو می دیل پور تی هوایا بوکوده یو تصمیم بیگیفتم ترا تلفن بوکونم.	Western Gilaki	Rasht	Sarkhat	PF	
but it was so odd that it was not quite ugly.	اما عجیب آن بود که این مجموعه زشت نبود.	اما عجیب اَن بو کی اَ مجموعه، بدگیل نوبو.	Western Gilaki	Rasht	Sarkhat	PF	
the excited, alien face of that man, his bayonet hanging down, holding his breath	سیمای برافروخته و بیگانه این مرد که شمشیری را به طرف زمین نگه داشته	او مرداکه عجیب و عصبانی دیم، والاسته سر نیزه مره، اونه نفسا حبس بوکوده بو	Western Gilaki	Rasht	Sarkhat	PF	
he tried to imagine its effect on the head of his young friend.	سعی داشت تأثیر آن را دروجود دوست جوان خود در تصوّر آورد.	سعی داشتی اونه تاثیرا خو جوانه ریفئقه وجوده مئن به تصور باوره.	Western Gilaki	Rasht	Sarkhat	PF	
apologised for not having dinner ready, and suggested that madame, in the meantime, should look over her house.	از اینکه شام آماده نبود عذر خواست و به خانم تکلیف کرد که تا شام حاضر شود به شناسایی خانه خود بپردازد.	هنه خانی کی شام حاضیر نوبو عذر بخواست و خانما تکلیف بوکود تا شام حاضیر بوستنه زمات، خانه گردستنه جا، مشغول ببه.	Western Gilaki	Rasht	Sarkhat	PF	
I heard a very warm debate between two professors	میان دو تن از استادان بحثی بسیار گرم درگرفت	دو تا اوستا میان، پور بحث و جدل راه دکفت.	Western Gilaki	Rasht	Sarkhat	PF	
she suddenly recovered herself, and began to cry	ناگهان به خود آمد و پس از آن که چند قطره اشک دیگر فشاند	ایوارکی به خودش بامو و بازون چند چکّه ارسو فوکود.	Western Gilaki	Rasht	Sarkhat	PF	
the strange fascination some men have for utterly demanding labor.	فریفتگی عجیبی که بعضی از مردان به انجام کار دارند.	عجیبه توقایی کی بعضی مرداکان، سخته کارانه ره داریدی	Western Gilaki	Rasht	Sarkhat	PF	
you never told me what he did?	شما دو تا هیچ وقت به من نگفتین این پاتر چه کارمی کند.	شوما دو تا هیچ زمات مرا نوگفتید اَ پاتر چی کار کونه.	Western Gilaki	Rasht	Sarkhat	PF	
as if the burden sat askew, would not distribute itself so she could bear it properly.	انگار که بار درست روی شانه جا نگرفته تا بتواند بهتر آن را به دوش بکشد.	بخالی بار دوروست دوشه مئن جا نیگیفته تا بتانه بختر اونا بودوش فاکشه.	Western Gilaki	Rasht	Sarkhat	PF	
but do not meddle with what you do not understand	تو را چه کار به این کارها بگذار شوهرت اجرای تکلیف را به عمل آورد	ترا چی کار به اَ کاران، وَهل تی مرد، خو کارا بوکونه	Western Gilaki	Rasht	Sarkhat	PF	
it was anguish to him to abandon these miserable, condemned heads.	برای او رنج بزرگی بود که این سرهای بینوای محکوم رهسپار میدان اعدام شوند.	اونه ره پیلدانه عذاب بو کی اَ محکوم و بیچاره کله‌یان، اعدامه میدان طرف بیشید.	Western Gilaki	Rasht	Sarkhat	PF	
but he would have taken _in petto_ the first dictator who came along and swept away the red spectre.	ولی آماده بود اولین دیکتاتوری را که بیاید و شبح سرخ را جارو کند در آغوش بگیرد.	ولی حاضیر بو اولی دیکتاتوری کی بایه یو سورخه شبح یا جارو بوکونه، کشاگیره.	Western Gilaki	Rasht	Sarkhat	PF	
I rubbed another tear out of my eye before it could fall.	اشک دیگری را قبل از اینکه از چشمم بیفتد زدودم	ای تا ده ارسو یا پیشتر کی می چومه جا بکفه، پاکاکودم.	Western Gilaki	Rasht	Sarkhat	PF	
which might be regretted even by a philosopher	که حتی ممکن است فیلسوفی هم به خاطر از دادن آن حسرت بخورد	کی حتا مومکنه ای تا فیلسوف هم جه اون پیشمانابه	Western Gilaki	Rasht	Sarkhat	PF	
strange as it may seem to suppose	با وجود آنکه ناپلئون فرمان شروع جنگ را صادر کرده بود	هوطویی کی ناپلئون جنگه شوروع فرمانا صادر بوکوده بو	Western Gilaki	Rasht	Sarkhat	PF	
releasing her hold for the first time.	دخترک که برای نخستین بار دست او را ول کرده بود	کئورکی کی اولی دفا اونه دسا ولاکوده بو.	Western Gilaki	Rasht	Sarkhat	PF	
in the presence of her chief confidents could not forbear vowing revenge.	در برابر نزدیکان خود آشکارا گفته است که اندیشه انتقام در سر دارد.	خو نزدیکانه پیش، اشکار بوگفته کی اینتقامه فیکرا خو سر داره.	Western Gilaki	Rasht	Sarkhat	PF	
taking me up again in her hand, walked into the garden, where she set me down.	دوباره مرا بردست نهاد و به باغ برد و به زمین نهاد.	دووارده مرا خو دسه سر بنَا یو باغه مئن ببرد و زیمینه سر بنَا.	Western Gilaki	Rasht	Sarkhat	PF	
whether we remain united, or whether we part.	چه با هم باشیم و چه جدا زندگی کنیم.	چی کس کسه امره بییم و چی سیوا زندیگی بوکونیم.	Western Gilaki	Rasht	Sarkhat	PF	
so to propitiate the austere spirit of poetry	به دین سان روح سختگیر شعری را تسکین دهد	شعره سختگیره روح یا خوشحالاکودن.	Western Gilaki	Rasht	Sarkhat	PF	
which he did, holding his breath.	در حالی که نفس را در سینه حبس کرده بود به دروازه نزدیک شد.	هطو کی خو نفسَا سینه مئن حبس بوکوده بو، دروازه یا نزدیکابو.	Western Gilaki	Rasht	Sarkhat	PF	
it felt like I'd gone from being tied to the stake as I burned, to gripping that stake to hold myself in the fire.	انگار از گرفتار بودن در آتش گذشته و کنترل آتش را در دست گرفته بودم.	بخالی آتشه مئن دوچارابوستنه جا بوگذشتم و آتشه کنترلا به دس بیگیفته بوم.	Western Gilaki	Rasht	Sarkhat	PF	
if ye're feared o' muckying yer grand silk cloes, spread yer hankerchir o' t' top on't.	اگه میترسین پیرهن قشنگتون خراب بشه دستمالتون را بیندازین روی کیسه‌ها و اون وقت روش بنشینین.	اگه ترسیدی شیمی قشنگه پیرهن خرابابه، شیمی دسمالا تاودید کیسانه سر و بازون اونه سر بینیشینید.	Western Gilaki	Rasht	Sarkhat	PF	
could earn enough to rent a room for the three of them	بتواند پول اجاره اتاقی برای هر سه نفرشان را پرداخت کند	بتانه ای تا اوتاقه ایجاره یا هر سه نفره ره پرداخت بوکونه.	Western Gilaki	Rasht	Sarkhat	PF	
I didn't know he'd get here this quickly.	نمی دونستم با این سرعت خودش رو به اینجا می رسونه.	نانستیم اَ سورعته مره خودشا هیا فارسانه.	Western Gilaki	Rasht	Sarkhat	PF	
talk a little business with old friends	باید در مورد کار کوچکی با دوستان قدیمی صحبت کنیم	واستی ای تا کوجدانه کاره جا قدیمی ریفئقانه امره گب بزنم.	Western Gilaki	Rasht	Sarkhat	PF	
well tended and bordered with stone.	از آن خوب مراقبت و مرز آن با سنگ مشخص شده بود.	اونه جا خب موراقیبت و اونه مرز، سنگه امره موشخص بوبوسته بو.	Western Gilaki	Rasht	Sarkhat	PF	
raised it over his head, ready to strike.	بالای سرش نگه داشت که برای ضربه زدن آماده باشد.	خو سره جور بداشت کی ضربه زئنه واسی اماده ببه.	Western Gilaki	Rasht	Sarkhat	PF	
basin and spoon in hand	در حالی که پیاله و قاشقش را در دست داشت	هوطویی کی پیاله و قاشوقا به دس داشتی	Western Gilaki	Rasht	Sarkhat	PF	
but he seemed to think it hardly probable that your uncle would consent.	اما به نظر او عمویتان مشکل به این کار رضایت بدهد.	اما اونه نظره جا، شیمی عمو سخت به اَ کار رضایت بده.	Western Gilaki	Rasht	Sarkhat	PF	
in that moment, and for the moment, she was aware of a rift that showed in her certitude	در این لحظه روت متوجه شکافی شد که در اطمینانش پدید آمده بود	اَ لحظه مئن روت ای تا تَرَکَا متوجه بوبو کی اونه ایطمئنانه مئن پیدا بوبوسته بو	Western Gilaki	Rasht	Sarkhat	PF	
half fearing that she really shrank from speedy marriage.	از سوی دیگر ترس برش داشت که مبادا از ازدواج شتا بزده واهمه دارد.	اَ واهیلی امره کی ولکی واقین زوده ایزدواجه جا دوری بوکونه	Western Gilaki	Rasht	Sarkhat	PF	
among the things he said to him was that which will be told in the following chapter.	با نقل حکایتی سر او را گرم کند به ذکر آنچه که در فصل بعد خواهد آمد پرداخت.	او چیزانه میان کی اونا بوگفت، ایچّی نهابو کی بعدی فصله جا بوگفته خوایه بوستن.	Western Gilaki	Rasht	Sarkhat	PF	
it moved my darling to tears.	اگر بدانید آنقدر از شنیدن آن متأثر شد که به گریه افتاد.	اگه بدانید اونقد اونه ایشتاوستنه جا ناراحتابو کی به ونگ دکفت.	Western Gilaki	Rasht	Sarkhat	PF	
the contents consisting of a dozen gold pieces five or six five franc pieces and some smaller coin	تقریبا دوازده عدد مسکوک طلا و پنج شش عدد هم پول پنج فرانکی و قدری هم پول خورده دیگر داشت	تقریبن دوازده تا سکه طلا یو پنج شیش تا هم پنج فرانکی پول وایبچه یم پوله خورد داشتی	Western Gilaki	Rasht	Sarkhat	PF	
nd clutching at his head he ran downstairs.	سرش را با دو دست گرفت و از پلکان به پایین دوید.	خو کلّه یا دو تا دسه مئن بیگیفت و پیله‌کانه جا بیجیر بودووَست.	Western Gilaki	Rasht	Sarkhat	PF	
she shan't go home!	او حق ندارد پایش را از اینجا بیرون بگذارد!	اون حق ناره خو پایا جه هیا بیرون بنه!	Western Gilaki	Rasht	Sarkhat	PF	
for he did not hold that the baseness of the oppressed was any excuse for that of the oppressor.	زیرا به هیچ رو عقیده نداشت که پستی و زبونی مظلومان عذری برای رذالت ظالمان باشد.	چون اصلن عقیده ناشتی کی مظلومانه پستی یو بیچارگی، بونه‌ای ببه ظالمانه رذالته ره.	Western Gilaki	Rasht	Sarkhat	PF	
fifteen years ago there were not more than twenty eight of them.	پانزده سال قبل بیش از بیست و هشت تن نبودند.	پونزده سال پیشتر ویشتر جه بیست و هشت نفر نیبید.	Western Gilaki	Rasht	Sarkhat	PF	
that if the captain have a family, or any absorbing concernment of that sort	که اگر ناخدا زن و بچه یا بستگی دیگری از آن قبیل داشته باشد	کی اگه ناخودا، زن و زای یا کسی اونه مانستان داشته بی.	Western Gilaki	Rasht	Sarkhat	PF	
at least to come and ask it of us and not take it by force from the shepherds.	خود بیاید و از ما بخواهد نه اینکه به زور از چوپانان بستاند.	خوره بایه یو امی جا بخوایه، نه انکی بوزور چوپانانه جا فیگیره.	Western Gilaki	Rasht	Sarkhat	PF	
the party had the intention of rifling his room that night.	مرد قصد داشت که امشب او را در اتاقش لخت کند.	مردای قصد داشتی کی ایمشب اونا، اونه اوتاقه میان جان‌برانده بوکونه	Western Gilaki	Rasht	Sarkhat	PF	
able to come down to take this heavy burden of responsibility from my shoulders.	بتواند به آنجا بیاید و بار این مسئولیت سنگین را از دوش من بردارد.	بتانه اویا بایه یو اَ سنگینه مسئولیته بارَا جه می دوش اوسانه.	Western Gilaki	Rasht	Sarkhat	PF	
while the mob which, pouring out of the town, had spread itself all along the shore, howled and foamed at the foot of the building in front.	آن هم در شرایطی که جمع اوباش و اراذل سرازیر شده از شهر در سرتاسر ساحل پراکنده شده بودند و در مقابل ورودی ساختمان فریاد میکشیدند و از فرط خشم کف بر لب آورده بودند.	اونم وضعیتی کی اوباش و ارازیله جمع، سراجیرا بوستید جه شهر، تومامه ساحیله مئن پخشه پلا بید و ساختمانه ورودی پیش ایژگره کشئه‌ییدی یو جه خشمه جا کخ به لب باورده بید.	Western Gilaki	Rasht	Sarkhat	PF	
except the bachelor, who thought fit to accompany them half a league out of the village	فقط دانشجو از عزیمت ایشان باخبر بود و خواست که تا نیم فرسخی ده ایشان را بدرقه کند.	خالی دانشجو جه اوشانه شوئون واخب بویو خواستی کی تا دیهاته نیم فرسخی اَشانا بدرقه بوکونه	Western Gilaki	Rasht	Sarkhat	PF	
as what appeared to be a small, gray, feathery tennis ball collided with the side of his head.	چیزی شبیه به یک توپ تنیس کوچک خاکستری به یک طرف سر هری برخورد کرده بود.	ایچی ای تا کوجدانه خاکستری توپ تنیسه مانستان هری ای طرفه سرا برخورد بوکوده بو.	Western Gilaki	Rasht	Sarkhat	PF	
to be afraid that it was all a mistake and I'd made a fool of myself for nothing.	که نکند اشتباه کرده باشم و خودم را مسخره دیگران ساخته باشم.	کی نوکونه ساب بوکوده بیم و خودما کسانه ره رخشناگیفته بیم.	Western Gilaki	Rasht	Sarkhat	PF	
no other case was discovered despite constant vigilance.	با وجود نگرانی همگانی دیگر از بیماری جدید خبری نشد.	با انکی همه تان واهیلی داشتیدی ولی جه تازه مریضی خبری نوبوست.	Western Gilaki	Rasht	Sarkhat	PF	
by good fortune was not yet gone out of town.	از خوشبختی من او هنوز از شهر بیرون نرفته بود.	می باختاواری جا اون هنی جه شهر بیرون نوشو بو.	Western Gilaki	Rasht	Sarkhat	PF	
he must be very indifferent to social equipment.	گریفیث جوان یا به تجهیزات اجتماعی بی اعتناء است	جوانه گریفیث به ایجتماعی تجهیزان بی محلی کودی.	Western Gilaki	Rasht	Sarkhat	PF	
then he looked again through the keyhole.	سپس چشم خود را دوباره به سوراخ کلید گذاشت.	بازین خو چوما دووارده کیلیده سولاخه سر بنَا.	Western Gilaki	Rasht	Sarkhat	PF	
I don't believe I shall ever do much good as a painter.	من معتقد نیستم که بتوانم نقاش خوبی از آب دربیایم.	من معتقد نی‌یم کی بتانم خوروم نقاشی جه آب بیرون بایم.	Western Gilaki	Rasht	Sarkhat	PF	
likely very expensive and unfriendly to such an immoral adventure as this	در خصوص این مشکل نامشروع با او همدلی نکنند	اَ نامشروع موشکله جا اونه امره همدیلی نوکوند.	Western Gilaki	Rasht	Sarkhat	PF	
it's not everybody who has a house in which to come into the world	همه عالم که خونه ندارن تا یه جایی بدنیا بیان.	همه عالیم کی خانه ناریدی تا ای تا جا بودونیا بایید.	Western Gilaki	Rasht	Sarkhat	PF	
I climbed the stairs, three at a time, up to the third floor.	چند پله را یکی کرده و در عرض دو دقیقه خود را برابر اتاقش رساندم.	چنتا پیلکانا ای تا دو تا بوکودم و دو دقه مئن اونه اوتاقه پیش فاره‌سانم.	Western Gilaki	Rasht	Sarkhat	PF	
for a price, provide him with some worth while prescription or information.	با پرداخت پول نسخه یا دستوری برای حل این مسئله بگیرد.	نسخه پولا فادانه جا یا ای تا دستوره چاره یا اَ مسئله ره فیگیره.	Western Gilaki	Rasht	Sarkhat	PF	
admiring the set of her gown, envying the curl of her hair	از لباسش تعریف کرد و گفت موهایش چه فرِ قشنگی دارد.	خو لیباسه جا تعریف بوکود و بوگفت اون مو چی قشنگه گیرینجی داره	Western Gilaki	Rasht	Sarkhat	PF	
he probably but felt the agonizing bodily laceration, but nothing more.	که ساقش را از او برید شاید فقط شکاف بدنی جانکاه را حس کرده بود و بس.	خو پا اشپلا اونه جا وَاوِه ولکی خالی جانه پوردرده ترَکا حیس بوکوده بو یو تومام.	Western Gilaki	Rasht	Sarkhat	PF	
I shall tell you once we've finished checking it.	هر وقت بازرسی تموم شد خودم بهت خبر می دم.	هر زمات وارسی تومامابو خودم ترا خبر دهم.	Western Gilaki	Rasht	Sarkhat	PF	
the evil for him that goes to look for it	بد نصیب کسی باد که در پی آن است!	بدی کسی ره قسمت ببه کی اونه دونبال ایسَا.	Western Gilaki	Rasht	Sarkhat	PF	
because she imagined it contained some further favorable word about the afternoon.	زیرا تصور کرد کلاید پیام مساعدی درباره برنامه آن روز بعدازظهر به او داده است.	چون خیال بوکود کلاید خوروم پیغامی او روز ظهره پسی برنامه واستی اونا فادایه.	Western Gilaki	Rasht	Sarkhat	PF	
she consented to marry without reservation of property.	پذیرفت بدون هیچ قید و شرطی نسبت به دارائیش با بولسترود ازدواج کند.	قوبول بوکود بیدون قید و شرط نیسبت به خو دارایی بولستروده امره ایزدواج بوکونه.	Western Gilaki	Rasht	Sarkhat	PF	
let no one speak to her during the remainder of the day.	تا بقیه ساعات امروز نگذارید کسی با او حرف بزند.	تا الباخی ایمروزه ساعات ولانید کسی اونه امره گب بزنه.	Western Gilaki	Rasht	Sarkhat	PF	
I can't say the same for your two victims.	نمی تونم این جمله رو واسه اون دو تا قربانیت به گم!	نتانم اَ جومله یا تی او دوتا قوربانی ره بَگم.	Western Gilaki	Rasht	Sarkhat	PF	
who had carried off the prize of his virginity	همان زنی که جام پیروزی بکارت او را برنده شده بود.	کی خو باکرگی جایزه یا برنده بوبوسته بو.	Western Gilaki	Rasht	Sarkhat	PF	
but some dark doubt or care sits on him.	اما نوعی تردید یا دلواپسی او را تسخیر کرده.	اما ایجور شک یا واهیلی اونا تسخیر بوکوده.	Western Gilaki	Rasht	Sarkhat	PF	
if we do not know more than we have told you, as my comrade and I	که من و رفیقم بیش از آنچه من به شما گفتم چیزی ندانیم	کی من و می ریفئق ویشتر جه گبانی کی شمه را بوگفتم، ایچی ده نانیم.	Western Gilaki	Rasht	Sarkhat	PF	
I've known you since you were a baby.	از وقتی که تو یه بچه بودی می شناسمت.	جه زماتی کی ای تا زاک بی ترا شناسم.	Western Gilaki	Rasht	Sarkhat	PF	
if it were to last till morning.	حتی اگر این خاموشی تا مدت نامحدودی دوام یابد.	حتا اگه اَ خَاموشی پور زمات دوام باوره.	Western Gilaki	Rasht	Sarkhat	PF	
for it seems that a woman must needs be a mother in order to be venerable.	زیرا که ظاهرا یک زن برای آنکه قابل ستایش باشد لازم است که مادر باشد.	چون کی ظاهیرن ای تا زنای اگه بخوایه اونه جا تعریف بوکونید لازیمه کی مئار ببه.	Western Gilaki	Rasht	Sarkhat	PF	
was lost in the gloom above.	در میان تاریکی و ظلمات طبقه فوقانی ناپدید گشت.	تئریکی مئن و بوجوری اشکوبه ظولمات اویرابوست.	Western Gilaki	Rasht	Sarkhat	PF	
he showed her for the first time that she had a rival in his love.	همان موقع بود که استپلتن برای نخستین بار همسرش را از وجود رقیبی آگاه کرد.	او زمات بو کی استپلتن، اولی دفا خو همسرا جه ای تا رقیبه وجود واخبراکود.	Western Gilaki	Rasht	Sarkhat	PF	
the gates had been closed by order of the police, on account of the insurrection.	بر اثر احتیاطی که پلیس بدلیل شورش بکار برده بود درهای آهنین باغ بسته بود.	ائتیاطه جا کی پولیس شورشه واسی بکار ببرده بو، باغه آهینی دران دَوَسته بید.	Western Gilaki	Rasht	Sarkhat	PF	
she rose out of it with an angry screech	هدویگ با جیغ بلند و شکایت آمیزی از قفس بیرون پرید	هدویگ ای تا پیلدانه یو شکایت وازه ایژگره امره جه قفس بیرون بپرست.	Western Gilaki	Rasht	Sarkhat	PF	
in how far she was to blame for what had happened.	توجهی به گناه وی در حادثه روی داده داشته باشد.	توجهی به اونه گوناه کی تفاق دکفته، بداشته بی.	Western Gilaki	Rasht	Sarkhat	PF	
all the more as it will be quite enough to protect me from any chance blow of a stone.	از طرفی این برای حفاظت سر من از ضربات سنگ کافی خواهد بود.	جه ای طرف هن می کله حیفاضته ره جه سنگه ضربه‌یان وست خوایه بوستن.	Western Gilaki	Rasht	Sarkhat	PF	
he ate and drank what they gave him to eat and drink	از روی اطاعت آنچه را به خوردن و آشامیدن در کف او گذاشتند خورد و آشامید	ایطاعته جا هر چی اونه دسه میان بنایید بوخورد	Western Gilaki	Rasht	Sarkhat	PF	
my fingers large and chunky in comparison to hers.	انگشتانم در مقابل انگشتان او چاق و بزرگ است.	می انگوشتان اونه انگوشتانه پیش چاپاق و پیلدانه بو.	Western Gilaki	Rasht	Sarkhat	PF	
my desire to rise higher, to do more than others, insatiable.	میل به بلند پروازی و به کار کردن بیش از دیگران سیری ناپذیرست.	میل به بولندپروازی یو کار کودن ویشتر جه کسان سئرابوستن ناره.	Western Gilaki	Rasht	Sarkhat	PF	
JeanValjean perceived it by the way she dragged more	ژان وال ژان خستگی او را از آنجا که در اثناء راه رفتن	ژان والژان جه اونه قدم زئنه طور، بفهمسته	Western Gilaki	Rasht	Sarkhat	PF	
one of whose partners acted as company secretary and was also on the board.	که یکی از افراد آن سمت منشی و نیز عضویت هیئت مدیره را دارد.	کی ای تا جه اونه آدمان، منشی یو هم هیات مدیره عضویتا داره.	Western Gilaki	Rasht	Sarkhat	PF	
when retained for any object remote and blank in the pursuit	چون به خاطر شیئی یا موضوعی دور از دسترس و نامعلوم به کار گمارده شوند	چون ایچی یا مطلبه واستی، دور جه دس‌فارس و نامعلوم، کاره سر بنایید.	Western Gilaki	Rasht	Sarkhat	PF	
yet I lost all credit with him	با این همه قرب و منزلتی را که نزد او داشتم از دست دادم	ولی هر چی ارج و قورب کی اونه ور داشتیم جه دس بدام.	Western Gilaki	Rasht	Sarkhat	PF	
for there was no one the man in the flat in the 11th arrondissement hated more.	چون مردی که در طبقه یازدهم ساختمان سکونت داشت. از هیچ کس به اندازه‌ی شانون نفرت نداشت.	چون ای تا مردای کی عمارته یازدهمی اشکوبه جا زندگی کودی، جه هیکس، شانونه قایده جا بیزار نوبو.	Western Gilaki	Rasht	Sarkhat	PF	
for you're the one that's entitled to it most.	از اون اولیه کاری که یک ذره عقل و شعور توش با شه تو نکردی.	جه او اولی کار کی ای‌ذره عقله شعور اونه مئن بمانه، تو نوکودی.	Western Gilaki	Rasht	Sarkhat	PF	
stooping over and dili gently working away at the space between his legs.	ملاح خم شده با دقت آن قسمت از نیمکت را که میان پاهایش بود می کند.	مالا فچمست و دیقته جا او قسمت جه نیمکتا که اونه پایانه مئن نهابو، کانه.	Western Gilaki	Rasht	Sarkhat	PF	
grief and disappointment are hastening his death.	غصه و نومیدی مرگ وی را تسریع خواهد کرد.	غورصه یو ناامیدی، اونه مرگا پیش تاوده.	Western Gilaki	Rasht	Sarkhat	PF	
the kings and princes with whom he was dissatisfied	پادشاهان و شاهزادگانی را که از ایشان ناراضی بود توبیخ و سرزنش نمود.	پادشایان و شازدانا کی اوشانه جا ناراضی بو، توبیخ و شماتت بوکود.	Western Gilaki	Rasht	Sarkhat	PF	
effacing and unselfish and loving and brave she was good through and through.	مهربانی و فداکاری و بخشندگی و شجاعت و عشق ورزی که او واقعاً خوب بود.	مهربانی یو فیداکاری یو بخشندگی یو شوجاعت و توقایی کی اون واقین خب بو.	Western Gilaki	Rasht	Sarkhat	PF	
as though he was making an effort to be civil to the photographer	انگار سعی کرده بود در برابر عکاس مودب به نظر برسد	اینگاری حخسعی بوکوده بو عکاسه پیش مودب به نظر برسه.	Western Gilaki	Rasht	Sarkhat	PF	
they are for my sister, who has quite a different complexion.	مال خواهرم هستند که رنگ پوستش کاملاً با من فرق دارد.	اوشان می خواخوره شینیدی کی اونه پوسته رنگ امبست، می امره توفیر داره	Western Gilaki	Rasht	Sarkhat	PF	
I remember they counted backward so they'd do it at the same time.	یادمه برعکس می شمردن تا با هم تو یه زمان انجامش بدن.	مرا خاطره، وارو ایشماردیدی تا ایجایی ای تا زماته مئن، او کارا بوکونید.	Western Gilaki	Rasht	Sarkhat	PF	
so bewildered him with fine words	چنان با این بیان زیبا اوئرسپرگ را دوره کردند	ای‌جور قشنگ گبانه امره اوئرسپرگا دوره بوکودید.	Western Gilaki	Rasht	Sarkhat	PF	
I was glad our rooms were in the east wing.	تا حدی خوشحال بودم که خوابگاه ما در سمت مخالف دریا قرار دارد.	تا حدی خوشحال بوم کی امی خوابگاه دریا مخالفه طرف نهه یه.	Western Gilaki	Rasht	Sarkhat	PF	
to whom she belonged heart and soul.	که از جان و دل به او تعلق داشت.	کی جانه دیله جا اونه شین بو.	Western Gilaki	Rasht	Sarkhat	PF	
it must have been held up in the post.	نامه حتما در پست گیر کرده و به همین دلیل تأخیر دارد.	کاغذ حتمن پوستخانه مئن گیر بوکوده بو یو هنه واستی تاخیر داره.	Western Gilaki	Rasht	Sarkhat	PF	
I can't be a preacher no more.	ولی من دیگه نمی‌تونم کشیش بشم.	ولی من ده نتانم کشیش ببم.	Western Gilaki	Rasht	Sarkhat	PF	
I explained that in my first report to your associates.	من این امر را در اولین گزارشم برای شرکای شما توضیح دادم.	من اَ مطلبا می اولی گوزارشه مئن شیمی شریکانه ره توضیح بدام.	Western Gilaki	Rasht	Sarkhat	PF	
my interest has been diverted elsewhere.	صرفاً به این یکی ذوق و شوق پیدا کردم.	خالی به اَی تا، ذوق و شوق پیدا کودم.	Western Gilaki	Rasht	Sarkhat	PF	
dimly I could remember the passage as it used to be	آنجا را در گذشته به طور مبهمی به یاد آوردم.	اویا یا دامیشکه جا، گونگ طوری بخاطر باوردم.	Western Gilaki	Rasht	Sarkhat	PF	
I would not be bound to go two miles in it for fifty thousand pounds.	به من حتی پنجاه هزار پوند هم بدهند حاضر نیستم دو مایل با آن بروم.	مرا حتا پنجاه هیزار پوند هم فادید حاضیر نی‌یم دو مایل اونه امره بشم.	Western Gilaki	Rasht	Sarkhat	PF	
against the fatal effects of the poison	شما را به زهر آموخته کرد که مزاج بر زهر دیگری مقاومت نماید.	شمه را به زهر اموخته بو کی مزاج ای تا ده زهر جا تاب باوره.	Western Gilaki	Rasht	Sarkhat	PF	
as you've plenty of money of your own	شما اکنون به اندازهٔ کافی در خانه پول دارید.	هسا شوما باقایده خانه مئن پول داریدی.	Western Gilaki	Rasht	Sarkhat	PF	
but at that moment I was incapable of reflecting and was all eagerness for revenge.	اما در آن هنگام عقل و استدلال را از دست داده و تشنهٔ انتقام بودم.	اما او زمات عقل و ایستدلالا جه دس بدابوم و اینتقامه ره تشتا بوم.	Western Gilaki	Rasht	Sarkhat	PF	
cranked up, and drove off.	بلافاصله ماشین را روشن کرده و به راه افتادیم.	بیلافاصله ماشینا روشیناکودم و راه دکفتیم.	Western Gilaki	Rasht	Sarkhat	PF	
I have a single wish, and my whole being and faculties are yearning to attain it.	من اکنون تنها یک آرزو دارم و تمام وجود و حواسم خواهان آن است که بدان آرزو دست یابم.	من هسا خالی ای تا ناجه دارم، می جان و حواس خوایه کی او ناجه یا فاره‌سم.	Western Gilaki	Rasht	Sarkhat	PF	
I wonder that he keeps that reminder of his sufferings about him!	عجب است که این یادگار دوران نابسامانی را هنوز نزد خود نگه داشته است!	عجیبه کی هنی اَ بی سره‌سامانی یادیگاریا خو ور بداشته یه.	Western Gilaki	Rasht	Sarkhat	PF	
you give her an autographed picture.	فقط امضا و دست خط خودتان را به او بدهید	خالی شیمی ایمضا یو دسخطا اونا فادید.	Western Gilaki	Rasht	Sarkhat	PF	
the hill bare and dark	کوهستان تیره و خالی از هر نوع سبزه و گیاه بود	کوهستان تاریک و خالی جه هر جور سبزه یو گیاه بو	Western Gilaki	Rasht	Sarkhat	PF	
my father and mother and my sister, and my mother cried when she looked at it.	پدرم و مادرم و خواهرم آمده بودند و وقتی چشم مادرم به آن افتاد گریه کرد.	می پئر و مئار و خواخور باموبید و وختی می مئاره چوم اونا دکفته، ونگ بوکود.	Western Gilaki	Rasht	Sarkhat	PF	
I grew seriously disturbed in the conflict of rumour	با شنیدن این اخبار ضد و نقیض شدیدا دلواپس شدم.	اَ ضد و نقیض خبرانه جا پور واهیلابوستم.	Western Gilaki	Rasht	Sarkhat	PF	
the violin played for her alone.	ولی صدای ویلون فقط برای اوست و بس.	ولی ویلونه صدا خالی اونه شینه یو وست.	Western Gilaki	Rasht	Sarkhat	PF	
turning his handsome, good natured face to her.	منشی چهره پر مهرش را به سوی دالی گردند.	منشی خو مهربان دیما دالی ور بچرخانه.	Western Gilaki	Rasht	Sarkhat	PF	
so found the cage empty and the bird escaped.	در نتیجه دریافت که مرغ از قفس پریده است.	نتیجه جا بفهمست کی مرغ جه قفس بپرسته یه.	Western Gilaki	Rasht	Sarkhat	PF	
with these words he advanced to receive the three village lasses	سانکو پس از گفتن این سخنان به استقبال آن سه زن دهاتی شتافت	سانکو اَ گبانه گوفتنه پسی، او سه تا دیهاتی زناکانه پیشواز بوشو	Western Gilaki	Rasht	Sarkhat	PF	
