en_sentence	fa_sentence	translation	variety (Hawraman Takht|Lhon|Jawaru)	county	orthography	translator	7794
somebody was dead	یک نفر کشته شده	یۆ مەردەن	Lhon	Biyare	Hawrami	HHH	
where she expected to find his answer.	که جواب نامه را در کجا پنهان کند.	چا یاگینە کە چەمەڕوانە بؽ جوابەکەیش ورگؽرۆ	Lhon	Biyare	Hawrami	HHH	
met to enter upon a painful conversation	باید صحبتی غمناک نماییم.	چاوپێکەوتن کەرۆ پەی ئانەی بلۆ دلؽگفتوگیێ پەڕ جە ئؽشؽ	Lhon	Biyare	Hawrami	HHH	
to hand a glass of water without looking	بی نگاه کردن لیوان آبی را به دست دیگری بدهی.	پەی ئانەی پەرداخێ ئاوی دەی بەبؽ ئانەی تەماشە کەرؽ	Lhon	Biyare	Hawrami	HHH	
but and always will be, pseudo healers, wise women, homeopaths, and allopaths.	بلکه به همان سببی که همیشه طبیبان و جادوگران و هومئوپاتهای مشهور در جهان وجود خواهند داشت	بەڵام دایمە چارەسەرکەرؽ ساختؽ و ژەنی ژؽرؽ ئاڵو گۆڕؽ و چارەسەرؽ پزیشکیؽ دوبارؽ هەنؽ	Lhon	Biyare	Hawrami	HHH	
I havent got a single skeleton left to hide from you	اکنون دیگر چیزی از تو پنهان ندارم.	یەک ئؽسکە پەیکەرم نەمەنەن کە چەنەت شاروە	Lhon	Biyare	Hawrami	HHH	
I don't mean confessing.	منظورم اعتراف نیست.	مەبەستم داننیاپۆرەی نەبؽ	Lhon	Biyare	Hawrami	HHH	
they examined all, talked of everything till to the end of dinner.	درباره هر چیزی بحث کردند و تا پایان شام از هر دری سخن گفتند.	گردشا تاقیؽ کەردێ و قسؽشا سەروو گرد چؽوێ کەردؽ تا ئاخیر و نانو وؽرەگای	Lhon	Biyare	Hawrami	HHH	
some from her own common sense.	برخی ازآنها رادرخواب دیده بودو به برخی دیگر با تفکر پی برده بود.	باعزێشا جە ژیری وؽشاوە	Lhon	Biyare	Hawrami	HHH	
I speak to you	با تو حرف زدم	من قسؽ چەنی تۆ کەروو	Lhon	Biyare	Hawrami	HHH	
therefore whether we would or no, he took it to treasure it.	بنابراین چه بخواهیم و چه نخواهیم آن را به عنوان جواهری بی بدل برداشت.	وەرو ئانەی ئەگەر گەرەکما بۆ یا نا ئاﮆ بەردش پەی گەنجینەی پەیش	Lhon	Biyare	Hawrami	HHH	
then he sat down again.	بعد به جای خود نشست	دمای دیسان نیشتەراوە	Lhon	Biyare	Hawrami	HHH	
they shook hands again.	دوباره با هم دست دادند.	دیسان تەوقەشا کەرد	Lhon	Biyare	Hawrami	HHH	
a frightfully grand woman!	یک اعجوبهء واقعی!	ژەنێ گەورؽ ترسناکە	Lhon	Biyare	Hawrami	HHH	
her blood turning to ice water.	عرق سردی به پشتش نشست.	ونەکؽش بای بۆ بە سەهۆڵاوە	Lhon	Biyare	Hawrami	HHH	
the nickname, he said, was an inheritance from his respected father.	ضمناتوضیح داد که نام مستعارش از پدرش به وی به ارث رسیده است.	ئاﮆ واتش نازنامەکە هینۆ تاتەی بەڕێزیش بؽ	Lhon	Biyare	Hawrami	HHH	
he says he's lost one eye for good	اون میگه یکی از چشمهاشو ازدست داده	ئاﮆ ماچۆ چەمێش جە دەسدان پەی هەمیشەیی	Lhon	Biyare	Hawrami	HHH	
I as brought him up porochially	من که او را در نوانخانه و به خرج شهرداری بزرگ کردم	پسە ئانەی کە بە نا شەرعی پەروەردەم کەردەبۆ	Lhon	Biyare	Hawrami	HHH	
I'm not nervous	من عصبانی نیستم.	من نیگەرانە نیەنا	Lhon	Biyare	Hawrami	HHH	
to recover my breath and loss of spirits.	نفسی تازه کنم و نیروی از دست رفته را بازیابم.	پەی ئانەی هەناسەم باروە و ڕۆحەکام بەدەس باروە	Lhon	Biyare	Hawrami	HHH	
that old woman murdered in our district.	در بخش ما پیرزنی را کشتند.	ئا ژەنە پیرؽ کە ناوچەکەو ئؽمەنە کوشیاینە	Lhon	Biyare	Hawrami	HHH	
much less properly spoken with him.	حتی به ندرت به طور مناسب با او حرف زده بودم.	فرە کەم بە شؽوێ خاس قسؽش چەنی کەرد	Lhon	Biyare	Hawrami	HHH	
I couldn't see.	من دیگر او را ندیدم.	نەتاوام وینوش	Lhon	Biyare	Hawrami	HHH	
I sort of set it free without meaning to	منم بدون هیچ منظوری آزادش کردم.	بەجرێ ئازادش کەروو بەبؽ ئانەی مەبەستم ب	Lhon	Biyare	Hawrami	HHH	
they're on their way west already	همین الان دارن به طرف غرب میان.	ئاﮆؽ ئینای ڕاوە پەی خۆرئاوای	Lhon	Biyare	Hawrami	HHH	
I'm against them	من با این چیزها مخالفم	من دژوو ئاﮆیشانا	Lhon	Biyare	Hawrami	HHH	
induces me to hope	مرا امیدوار ساخت	هانو من مڵۆ پەی هیوای	Lhon	Biyare	Hawrami	HHH	
I don't see why you should.	واقعا ضرورتی ندارد.	مەزانو چی پێویستا کەریش	Lhon	Biyare	Hawrami	HHH	
but it was a menacing accident.	اما تصادفی تهدیدآمیز بود.	بەڵام ئانە ڕوداوێ ترسناک بؽ	Lhon	Biyare	Hawrami	HHH	
touched the glass with it	الماس را مالید به شیشه	دەسش دا پەرداخەکەی	Lhon	Biyare	Hawrami	HHH	
I am no man's servant!	نوکر هیچ کس نیستم!	من خزمەتکارو کەسی نیەنا	Lhon	Biyare	Hawrami	HHH	
from there sent the nation a call to general war.	از آنجا مردم را برای خیزش عمومی فراخواند	چاگۆ بانگەوازێ نەتەوەیش کیانا پەی جەنگو عامؽ	Lhon	Biyare	Hawrami	HHH	
never knowing he suffered.	هیچ گاه نداند که رنج کشیده است.	هەرگیز نەزاناش کە عەزیەتش کؽشان	Lhon	Biyare	Hawrami	HHH	
her soul lives in the body of this demon.	روح خبیث او به جسد این حرامزاده منتقل شده است.	ڕۆحو ئاﮆی دلؽ ئی شایەتەینە ژیوۆ	Lhon	Biyare	Hawrami	HHH	
but a short time only had elapsed when a noise he heard behind him awoke him	پهلوان هنوز چند لحظه چشم بر هم ننهاده بود که ناگاه از صدایی که پشت سر خود شنید از خواب پرید.	بەڵام ماوێوە فرە تؽپەڕ بیەبؽ کە دەنگێ پەشتیشۆ ئاما و ورش ئؽزناوە	Lhon	Biyare	Hawrami	HHH	
I don't believe you!	به تو اعتماد ندارم!	باوەڕ بە تۆ مەکەرو	Lhon	Biyare	Hawrami	HHH	
to ask him what he had said.	تا از او سؤال کند چه گفته است.	پەی ئانەی پرسیارەش کەرونە بزانو چؽشش واتەن	Lhon	Biyare	Hawrami	HHH	
I walked down street a ways and stopped.	منم کمی توی کوچه پایین رفتم و ایستادم.	کۆڵانێنە لوانؽ مدرانؽ	Lhon	Biyare	Hawrami	HHH	
expected guest whose place was always ready awaiting him.	جای او همیشه معین و خالی بوهاست پذیرایی کردند.	مؽمانؽ چەمەڕوان کریای کە یاگؽشا دایمە حازرەنە چەمەڕوانیشا کەرد	Lhon	Biyare	Hawrami	HHH	
ran at once to aid them.	به یاری ایشان شتافت.	یەکسەر ڕەما پەی یارمەتیدایشا	Lhon	Biyare	Hawrami	HHH	
took the side of the workers.	در جوار کارگران اعتصابی ایستاد.	لایەنگری و کرؽکارەکاش کەرد	Lhon	Biyare	Hawrami	HHH	
in the ardour of this discovery	در تب و تاب این کشف بود	جە جۆش و خڕۆشی ئی ئؽستەوەیە	Lhon	Biyare	Hawrami	HHH	
hundreds of homes resounding with their footsteps.	صدها خانه با خاک یکسان شده بود.	سەدان یانؽ بە هەنگاوەکاشا دەنگشا داوە	Lhon	Biyare	Hawrami	HHH	
but the first charm was gone out of their enjoyment.	اما اکنون دیگر اثری از آن شور و جذبه اولیه نبود.	بەڵام جادووەو یەکەمؽ وەشیێ ئاﮆیشانە لوا	Lhon	Biyare	Hawrami	HHH	
during a party game	در یک میهمانی رسمی	کاتو یاری حەفلەکەینە	Lhon	Biyare	Hawrami	HHH	
as if it contained other worlds.	انگار دنیای دیگری در آن کمد جا داده شده بود.	پسە ئانەی کە جیهانێ تەرش چەنە بۆ	Lhon	Biyare	Hawrami	HHH	
for the king will not be willing to give me his daughter in marriage unless he is first thoroughly satisfied on this point	تا پادشاه از اصل و نسب من مطمئن نشود دخترش را به من نخواهد داد	وەرو ئانەی پاشا حازر نییا کناچەکؽ وؽش دۆ بە من پەی زەواجی تا سەرەتا پی خاڵا ڕازی نەبوو	Lhon	Biyare	Hawrami	HHH	
I've a great mind to go over and tell the old gentleman so!	من عقیده دارم که باید رفت و این را به آن آقای پیر گفت!	من مەژگێ عالم هەن پەی ئانەی بلو بە پیا پیرەکەی واچو	Lhon	Biyare	Hawrami	HHH	
these last two years somiserably between these crushing walls.	این دو سال فلاکت بار آخر هم که میان دیوارهای خردکننده زندان گذشته بود.	ئی دووە ساڵەو وەڵینیما بە ناوەشی بەسەر بەرد بەینو ئی دیوارانە	Lhon	Biyare	Hawrami	HHH	
addressing the letter in a disguised hand.	هنگام نوشتن آدرس روی پاکت دستخط خود را تغییر بدهد.	ئاڕاستە کەردەو نامەکەی بە دەسێ شاراوە	Lhon	Biyare	Hawrami	HHH	
then strode swiftly across to the table	گری گوری بشاش بسوی میز رفت	دمای بە خؽرای پەی لا مؽزەکؽ ڕەما	Lhon	Biyare	Hawrami	HHH	
but at least his eyes had lost that awful dead fish look.	ولی انگار خاطرات وحشتناکی از آنجا داشت.	بە لایەنی کەمۆ چەمەکؽش ئا سیما ترسناکو ماساوەکؽشا جە دەس دابؽ	Lhon	Biyare	Hawrami	HHH	
I tested the elastic band, struggling to force it to remain solid as I stretched it away from me.	من با نوار لاستیکی درون ذهنم در کشمکش بودم تا دوباره از من دور شود.	من لاسؽقەکەم تاقیکەردۆ هەوڵم دا بە ڕەقی بازوشۆ کاتێ جە وؽم دوورم وستۆ	Lhon	Biyare	Hawrami	HHH	
sent him starting up from the bench.	بر استی او را از نیمکت پراند.	جە کورسی یەدەگیۆ دەسش پەنە کەرد	Lhon	Biyare	Hawrami	HHH	
I am afraid you must have had a shocking walk.	لابد آمدن این همه راه به رایتان سخت بوده	تەرسو کە لوا ڕاڕەیت شۆکێنەر بۆ	Lhon	Biyare	Hawrami	HHH	
that gave me a chance to truly compose and resolve myself.	این فرصتی به من داد تا افکارم را دوباره سرو سامان دهم.	چانسێس دەنؽ پەنە کە ویم خاس کەروو و وؽم چارەسەر کەرو	Lhon	Biyare	Hawrami	HHH	
lie at my full length in the temple.	سراپا بر روی زمین دراز بکشم.	بە تەمامی درؽژی من کیشیە	Lhon	Biyare	Hawrami	HHH	
I'd made up my mine 'bout what I's agwyne to do.	دی گه فکرامو جمع کرده بودم که میخ وام چیکار کنم.	من بڕیارو وؽمم دان سەرو ئانەی کە گەرەکما چؽش کەرو	Lhon	Biyare	Hawrami	HHH	
knocked three times on the castle door.	سه بار به در عظیم ضربه زد.	یەرؽ جارؽ تەقەش دا بەرەو قەڵاکؽ	Lhon	Biyare	Hawrami	HHH	
he answered, frowning.	اخم کرد و جواب داد.	بە گرژیۆ جوابش داوە	Lhon	Biyare	Hawrami	HHH	
he'd wrecked something very big this time	این دفعه چیز بزرگی را شکسته است	ئیجارە ئاﮆ چؽوێ فرە زلش ماڕا	Lhon	Biyare	Hawrami	HHH	
then put him back in the wild!	بعدش هم او نو یه جایی آزاد می کنه.	دمای گؽڵنەشۆ پەی دلؽ سروشتی	Lhon	Biyare	Hawrami	HHH	
so that it was palm up	سپس سرنگ را آماده کردم	کەواتە لەپو دەسیش بەرز کەردۆ	Lhon	Biyare	Hawrami	HHH	
so will have an end without a name	لاجرم پایان عمر ایشان نیز قرین ناکامی و گمنامی خواهد بود	کەواتە کۆتایێ بؽ نامەش هەن	Lhon	Biyare	Hawrami	HHH	
which seemed to magnify her own	از این حالتی که در اینجا مشاهده کرد بر اندوه خودش افزود.	پاسە بەرگنۆ کە هینۆ وؽش زل کەرۆ	Lhon	Biyare	Hawrami	HHH	
where no doubt he ordinarily had his station.	به طوری که مقصدش به درستی قابل تشخیص نبود	گومانش نەبؽ چەنە کە یاگؽ دایمی وؽش بؽ	Lhon	Biyare	Hawrami	HHH	
steps so rapid that they could hardly be his mother's.	این صدای پا چنان تند و سریع بود که هرگز به صدای پای مادرش شباهت نداشت.	هەنگامؽ ئننە سەرؽعؽ منیۆ کە زەحمەتا با بە هەنگامؽ ئەیایش	Lhon	Biyare	Hawrami	HHH	
that he had emptied the whole vocabulary into his frame	او هرچه لغت در قاموس زبان بوده روی آن چهارچوب ریخته	کە گرد وشەکؽش چوارچؽوەو وؽشەنە بەتاڵ کەردەبێ	Lhon	Biyare	Hawrami	HHH	
put your hearts in it!	از ته دل بخوانید!	دڵت بنیەرە دلؽشەنە	Lhon	Biyare	Hawrami	HHH	
there's enough of that sort of talk.	بس است هرچه گفتید.	ئا جۆرە قسە کەردەیە وەسؽن	Lhon	Biyare	Hawrami	HHH	
he was beside her.	او در کنارش بود.	پاڵشۆ بؽ	Lhon	Biyare	Hawrami	HHH	
you don't talk.	حرف هم نزنید.	ت قسؽ مەکەری	Lhon	Biyare	Hawrami	HHH	
you can fit into almost any society.	تقریباً با هر محیطی جور است.	تاوی نزیک و گرد کۆمەڵێنە ڕاش کەریۆ	Lhon	Biyare	Hawrami	HHH	
hand raised in the signal that everything was fine	دست بلند کرده بود که علامت بدهد اوضاع مرتب است	نیشانەکەنە دەسس بەرز کەردۆ کە گرد چؽو عالا	Lhon	Biyare	Hawrami	HHH	
thought that I ought to read something 'improving	معتقد بودند که باید چیزی بخوانم که باعث پیشرفتم بشود	پاسەمە زانا کە چؽوێ عالەتەر وانووە	Lhon	Biyare	Hawrami	HHH	
I chiefly wanted to know, to what cause, in art or in nature, it owed its several motions	غرض عمده من این بود که بدانم حرکات مختلف جزیره معلول کدام عوامل طبیعی یا مصنوعی است	بەشؽ وێ سەرەکی گەرەکم بؽ بزانوو بە چ هۆکارێ، هونەرەنە یا سروشتەنە، چن جوڵؽ وؽش قەرزار بییەن	Lhon	Biyare	Hawrami	HHH	
they were all quiet until the lay sister left the room.	تا زمانی که خواهر خدمت گذار اتاق را ترک کرد سکوت برقرار بود.	گرد بؽدەنگؽ بؽنؽ تا واڵە ئاساییەکی ئاما ژوور	Lhon	Biyare	Hawrami	HHH	
it had been decided that the marriage should take place within six weeks.	قرار گذاشتند عروسی شش هفته بعد صورت بگیرد.	بڕیار بؽ هاوسەرگؽیەکە ماوەو شؽش حەفتانە کریۆ	Lhon	Biyare	Hawrami	HHH	
I was so totally mortified	من حسابی تحقیر شدم.	من بە تەمامی شەرمەزارە بییا	Lhon	Biyare	Hawrami	HHH	
because he had other things to think of.	چون وقت آن را نداشت.	چونکە ئاﮆ چؽوێ تەری کەرێەە	Lhon	Biyare	Hawrami	HHH	
from whom he told him to take the carts.	دستور داده بود که درون ارابه از ایشان بگیرد نام برد.	کە پەنەش وات عەرەبانەکا لابەرە	Lhon	Biyare	Hawrami	HHH	
cracked it over his own head	به سر خودش کوبید	ماڕاش سەرەو وؽشەرە	Lhon	Biyare	Hawrami	HHH	
he said mournfully.	او با حالتی ماتم زده گفت	ئاﮆ بە خەمباریۆ واتش	Lhon	Biyare	Hawrami	HHH	
like a good brother, she answered demurely.	مثل یک برادر.	پسە برایێ عالی بە نەرمی جوابش داوە	Lhon	Biyare	Hawrami	HHH	
youre my friend.	تو دوست منی.	تۆ ڕەفیق و منەنی	Lhon	Biyare	Hawrami	HHH	
they're so thin skinned and chicken hearted.	پوستش ون ناز که و قلبش ون بی جون.	ئاﮆؽ فرە لاوازؽنؽ و دڵو کەرگؽشا هەن	Lhon	Biyare	Hawrami	HHH	
I thought'well, I thought maybe we could all go in town	من فکر کردم که خب شاید بتونیم تو شهر به مو نیم	ئەجؽمەنە خاسا، ئەجؽمەنە گردتا تاوؽندؽ بلدؽ پەی شارؽ	Lhon	Biyare	Hawrami	HHH	
they are none the less TRUE.	در عین حال حقیقت دارد!	ئاﮆ گردشا کەمتەر ڕاسؽ نیەنؽ	Lhon	Biyare	Hawrami	HHH	
his lance, which was leaning against a tree, was very long and stout	نیزه وی که به درختی تکیه داشت بسیار بلند و قطور بود	ڕمەکؽش کە پالش دابێ پۆ دارێویۆ فرە درؽژ و بەقووەت بؽ	Lhon	Biyare	Hawrami	HHH	
that ain't any use.	اون که فایده ندا ره.	ئانە هیچ سوودێش نییا	Lhon	Biyare	Hawrami	HHH	
look at my brothers.	برادرهایم را ببین.	تەماشەو براکام کەرە	Lhon	Biyare	Hawrami	HHH	
the irons, the irons!	شراعها را بلندتر کنید!	ئاسنەکؽ، ئاسنەکؽ!	Lhon	Biyare	Hawrami	HHH	
I mean to lodge to night at the inn that is beyond the hermitage	به گمانم امشب در کاروانسرایی که بالاتر از صومعه منزل کنم	مەبەستم ئانەن تا شەوؽ مەیخانەکەنە مەنووە کە ئینا پەشتەو دەروؽش خانەکەینە	Lhon	Biyare	Hawrami	HHH	
he had been ushered into the drawing room	به تالار راهنمایی شد	ئاوریابؽ پەی ژوورو نیشتەرەکەی	Lhon	Biyare	Hawrami	HHH	
I held the blackness of nonexistence at bay by inches.	تاریکی عدم وجود را چند سانتیمتر دور نگه داشته بودم.	من تاریکی نەبیەیم بە ئینج مدرنا	Lhon	Biyare	Hawrami	HHH	
it couldn't possibly be anyone else	بلافاصله او را شناخت	بە هیچ شؽوێ نەکریؽ یۆتەر بۆ	Lhon	Biyare	Hawrami	HHH	
I'll have to be going now, though,	ولی حالا دی گه باید راه بیفتم.	مشۆم ئیسە بلو	Lhon	Biyare	Hawrami	HHH	
temperature 45 degrees	دمای هوا 7 درجه.	پلەو گەرمای 45 پلؽ	Lhon	Biyare	Hawrami	HHH	
the whole stadium gave him a resounding, earsplitting roar.	صدای تشویق پرشور جمعیت ورزشگاه را به لرزه درآورد.	گردو یاریگاکەی هاوارێ بەقووەتشا کەرد	Lhon	Biyare	Hawrami	HHH	
only that mine were all of a colour.	جز آنکه مرقع من سراپا از یک رنگ بود.	بەس ئانەو من گرد ڕەنگێ بؽ	Lhon	Biyare	Hawrami	HHH	
he may have upset the case altogether.	شاید هم تمام کار را خراب کند.	ڕەنگە کەیسەکەش بە تەمامی تؽکدابۆ	Lhon	Biyare	Hawrami	HHH	
I like rudeness a great deal better than flattery.	من خشونت را خیلی بیشتر از تملق دوست دارم.	من فرە خاستەر حەزم جە بؽ ئەدەبییا تا ماستاوە کەردەی	Lhon	Biyare	Hawrami	HHH	
I have no money to pay my bill	من نت خواه همراه نداشتم تا اجرت مهمانخانه را بدهم	من زەڕم نییا تا حسابەکەیم دەو	Lhon	Biyare	Hawrami	HHH	
ther'll be an idiot short.	والا یک احمق تو دنیا کمتر می شه.	ئانە گەمژێ کوڵ ب	Lhon	Biyare	Hawrami	HHH	
remained silent for some time.	مدتی ساکت ماند	ماوێوە بؽ دەنگ بؽ	Lhon	Biyare	Hawrami	HHH	
but he said it as quietly and respectfully	اما لحنش موقع زدن این حرف آرام و مؤدبانه بود	بەڵام بە هؽمنی و ڕؽزۆ واتش	Lhon	Biyare	Hawrami	HHH	
until eventually I became so irritated that I decided to play the boor.	عاقبت خشم بر من مستولی شد و از جا در رفتم.	ئاخیرۆ ئننە توڕە بیا کە بڕیارم دا یاری کەرو	Lhon	Biyare	Hawrami	HHH	
I mean, I'd rather take my chances with the monsters.	منظورم ای نه که من ترجیح می دم شانسمو با هیولاها امتحان کنم.	مەبەستم ئانەن پەنەم خاسا چانسو وؽم چەنی دڕندەکا قۆزوەە	Lhon	Biyare	Hawrami	HHH	
was all ready to bolt out, at a moment's notice	تا به محض بلند شدن صدا بیرون بدود.	ساتێوە گرد حازرؽ بؽنؽ پەی بەرشیەی	Lhon	Biyare	Hawrami	HHH	
it depends what trees and what men.	این مسئله بستگی به نوع انسان و نوع درخت دارد.	ئانە پەیوەستا بە چ دارێو چ پیایێوە	Lhon	Biyare	Hawrami	HHH	
he abandoned all self respect.	همه عزت نفس خود را زیر پای بلانشافکنده بود.	وازش جە گرد ڕێزێ وؽش ئارد	Lhon	Biyare	Hawrami	HHH	
what a wonderful man he is!	چه آدم عجیبی است!	چ پیایێ ناوازەن	Lhon	Biyare	Hawrami	HHH	
for neither could row a boat or swim.	چون هیچ کدام نه با فن شنا آشنا بودند و نه با قایقرانی.	چونکە هیچکامشا نەتاواشا ساوڵ دانە و مەلؽ کەرا	Lhon	Biyare	Hawrami	HHH	
I can't tell why we should stay.	الن نیم ساعت هم بیشتر ماندیم و دیگر ماندمان لزومی ندارد.	مەتاوو واچوو کە چی مشۆم مەنۆوە	Lhon	Biyare	Hawrami	HHH	
because I think it is nice to be engaged.	چون به نظر من نامزدی خیلی خوب است	چونکە ئەجۆمەنە وەشا دەسگیراندار بی	Lhon	Biyare	Hawrami	HHH	
encountered the face of his interesting consort	خود را با شریک زندگی خویشتن روبرو دید.	ڕوبەڕو هامسەرە سەرنجڕاکێشەکریش بیۆ	Lhon	Biyare	Hawrami	HHH	
until they came into a large, low, vaulted chamber, crowded with prisoners of both sexes.	تا آنکه به اتاقی گنبندین و از مرد و زن انباشته داخل شدند.	هەتا یاوایمؽ ژوورێ گەورە و نزم و کەوانەیی کە پەڕ بؽ جە زیندانیؽ هەردووە ڕەگەزەکەی	Lhon	Biyare	Hawrami	HHH	
but they have all snub noses,	دماغهاشان کوتاه و سربالاست!	بەڵام گردشا لوتەشا چەق کؽشەنە	Lhon	Biyare	Hawrami	HHH	
that devil, that goes about there so busily, has firm flesh	مثلاً همین شیطان که این قدر در جنب و جوش است بر و رویی دارد به تروتازگی گل سرخ	ئا شەیتانە کە چانە سوڕیۆوە جسمێ پتەوش هەن	Lhon	Biyare	Hawrami	HHH	
he pointed to a chubby boy with curly hair	به پسرکی خپله با موهای مجعّد اشاره کرد.	ئاﮆ ئاماژەش پەی کوڕێ کەرد کە قژؽ لولؽش بؽنؽ	Lhon	Biyare	Hawrami	HHH	
did her best to fathom the noble art of prose composition as these masters practised it.	نهایت سعی خود را به خرج داد تا به عمق شریف نثری که این استادان آزموده بودند راه یابد.	گرد هەوڵێ وؽش دا پەی یاوانەی جە هونەرو بەرزو داڕشتنو پەخشونؽ پا شیوەیە کە ئی مامۆسایؽ ڕاهێنانس پەی کەرؽنؽ	Lhon	Biyare	Hawrami	HHH	
that he watched his opportunity	در نتیجه مترصد فرصت نشست	کە چەمدیری دەرفەتەکەی کەرؽ	Lhon	Biyare	Hawrami	HHH	
she slipped her hand into her breast	نا تالیا دست در سینهٔ خود برد	دەسؽش وستؽ دلؽ سینەیش	Lhon	Biyare	Hawrami	HHH	
after dinner I'll come back	وقتی ناهار خود را خوردم باز خواهم گشت	دماو نانو ویرەگای گیڵوە	Lhon	Biyare	Hawrami	HHH	
the village was behind them.	دهکده را پشت سر گذاشته بودند.	لادەگاکؽ پەشتیشاوە بؽ	Lhon	Biyare	Hawrami	HHH	
the shock is yet to be given which shall waken it.	برای بیدار کردنش باید یک ضربه ناگهانی به آن وارد بشود.	هیشتای شۆکەکە نەکریان کە وەرەمەنە ورشبؽزنۆ	Lhon	Biyare	Hawrami	HHH	
as though it were heavy.	همچون چیز سنگینی	پسە ئانەی قورس ب	Lhon	Biyare	Hawrami	HHH	
taking the four reals	این بگفت و چهار رئال پول را از من گرفت	بەردەو چوار ڕیاڵەکەی	Lhon	Biyare	Hawrami	HHH	
because it has awakened and has begun to beat again	زیرا دوباره بیدار شد و شروع به تپیدن کرد	چونکە بە ئاگا ئاماوەو دەسش بە داوەنەی کەرد	Lhon	Biyare	Hawrami	HHH	
on my account!	به خاطر من!	سەرو حسابو من	Lhon	Biyare	Hawrami	HHH	
I do want it.	اما من خواستار آنم.	من ئینەم گەرەکا	Lhon	Biyare	Hawrami	HHH	
but this time stuck to my purpose and set myself	لیکن این بار در انجام دادن تصمیم خود پافشاری کردم	بەڵام ئی جارە بە مەبەستو وؽمۆ گیر بیا و وؽم نیارە	Lhon	Biyare	Hawrami	HHH	
of how he had gone to work, been promoted	که چگونه در لیکرگس به سر کار رفته و چندی بعد ارتقاء مقام یافته بود.	کە چەنی لوا پەی هەرمانؽ پلەکەش بەرز کریاوە	Lhon	Biyare	Hawrami	HHH	
I reckon she was so mad he wouldn't give her loads of horrible stuff about me	حتماً اون اسکی تر بدذات وقتی دیده هاگ رید حاضر نیست پشت سر من دری و ری به گه خیلی عصبانی شده	ئەجۆمەنە ئننە توڕە بؽ کە چؽوێ فرە خراپش سەرو من نەڵا	Lhon	Biyare	Hawrami	HHH	
was even more glad than they were when the sittings were over	با این همه از اتمام کار بسیار مسرور شد.	تەنانەت فرەتەر دڵوەش بؽ چانەی کە نیشتەرەکؽ تەمامیؽ	Lhon	Biyare	Hawrami	HHH	
but he did not like to be questioned while he was reading	اما آقای گارت دوست نداشت هنگام خواندن نامه از او چیزی بپرسند	بەڵام حەزش نەکەرد کاتو واناوەینە پرسیارەش کریۆنە	Lhon	Biyare	Hawrami	HHH	
but there was nothing there but dark, solid stone.	اما بر روی سقف سنگی تاریک اتاق هیچ چیز نبود.	بەڵام هیچ چؽوێ چاگە نەبؽ بؽجگە توەنی تاریکؽ و پتەوؽ	Lhon	Biyare	Hawrami	HHH	
I confess I had my suspicions, but it was only yesterday afternoon they were at once resolved into certainty.	باید اعتراف کنم که از ابتدا به شما شک داشتم اما فقط دیروز بعدازظهر بود که شک من مبدل به یقین شد.	دان بنیەو پانەیرە کە گومانەم بؽ، بەس هیزی دما نیمەڕۆ بؽ کە یەکسەر بە دڵنیای چارەسەر بؽ	Lhon	Biyare	Hawrami	HHH	
she could not but flatter herself that it had been the occasion of much present enjoyment to both	باز اِما به خودش دل خوشی داد که به هر حال کلی باعث رضایت و شادی آن دو نفر شده	کناچەکی نەتاواش بەڵام پاسە ویش بەرویست کە موناسەبەکێ وەش بیەن پێ هەردویشا.	Lhon	Biyare	Hawrami	SKH	
her head covered	چیزی روی سرش انداخته بود	سەرەش پوژنابیرێ.	Lhon	Biyare	Hawrami	SKH	
whom I have the honor of conversing so pleasantly, instead of being in the ambulance with that maniac's bullet in my body?	که من به جای اینکه با گلوله این دیوانه در بهداری افتاده باشم با چه کسی این گفتگوی مطبوع را دادم.	پەنەوەشحاڵەنا کە چیگە ئی گفتوگۆیەم بی جیاتی چن ئا شیتەیێ بوو تەقەم وەنە کەرۆ.	Lhon	Biyare	Hawrami	SKH	
but decided not to.	ولی تصمیم گرفت که این کار را نکند.	قەرارش دا کە ئا هەرمانیێ نەکەرۆ.	Lhon	Biyare	Hawrami	SKH	
you know, I'm not your boss.	یعنی من که رئیس تو نیستم.	تو مزانی، من گۆرەو تو نیەنا.	Lhon	Biyare	Hawrami	SKH	
I never was whipped in school.	من تا حالا توی مدرسه شلاق نخوردم.	هەرگیز مەکتەبەنێ دارم ندریان وەنێ.	Lhon	Biyare	Hawrami	SKH	
I shut off the engine and got out.	موتور را خاموش کردم و پیاده شدم.	مەکینەکەم کوشناوەو لوانی.	Lhon	Biyare	Hawrami	SKH	
NOW are you satisfied?	همین برای شما کافی است.	ئیسە ڕازیەنی؟	Lhon	Biyare	Hawrami	SKH	
your sister thinks so as well as I.	خواهرت هم موافق است.	واڵەکیشت پسو من ویر کەرۆوە.	Lhon	Biyare	Hawrami	SKH	
but he mustn't catch it yet	ولی هنوز وقت گرفتن آن فرا نرسیده بود.	هەڵای مەبوو گیروش.	Lhon	Biyare	Hawrami	SKH	
always patient and in fact is the merchant's confidante.	همیشه صبور و در حقیقت محرم بازرگان است.	گرد کاتیو دانگیرو ویشەرەێ ئانە متمانەو بازرگانەکەیا.	Lhon	Biyare	Hawrami	SKH	
I think not sire	اعلیحضرتا تا این را هم گمان ندارم	من هەمان ڕام نیا گۆرەم.	Lhon	Biyare	Hawrami	SKH	
