Em diçin!	We're going!
Pug, bi min divê tu dev ji karê xeratîyê berdî û ji bo karê dikanê werî alîkarîya min.	Pug, I think you should quit your carpentry job and come help me with the shop.
Niha jî daristanekê xeyal bikin. Daristaneka bisêr û bihewz, bikeskesor û bi yûnîkornan!	Now imagine a forest. A big forest with a pond, unicorns and unicorns!
Ez te dibînim, Pug.	I see you, Pug.
Ez ji pirtûkên ku pirsên mezin dikin hez…	I love books that ask big questions…
(helkehelk) Silav Pug. Silav Seg.	(helkehelk) Hi Pug. Hello Seg.
Pereperoka Zimrûdî eferîdeyeka pir kêmpeyda ye û ew li van deran tê dîtin… divê ez wê bibînim.	The Emerald Butterfly is a very rare creature and it can be found around here...I have to find it.
Em êdî nikarin bi xwendinê herin malê.	We can no longer go home to study.
Ev şahê me yê zalim, xweperest, qure û hêrsok e.	This is our cruel, selfish, arrogant and angry king.
Xelekek û xelekek. Xelekek û çarçikek. Xêzikek û xêzikeka din. Oxx çi xweş! Va em çêbûn!	A circle and a circle. A circle and a square. A line and another line. Oxx how nice! Here we are born!
Ew ne tiştekî xweş bû, Tîna.	It wasn't nice, Tina.
Na, em sosîs in.	No, we are sausages.
Cinawir hat!	The beast has arrived!
Îcar me biskiwît danîbû ku…	So, we have put the biscuit that...
Rêbera Dapîra Pug ya Cihên Herî Baş yên Kampê ye.	Grandma Pug's Guide to the Best Camping Spots.
Tiştekî ji almasan hêjatir heye.	There is something more precious than diamonds.
Pênc hezar sal berîya ku hûn ji dayîk bûne.	Five thousand years before you were born.
Cira wan çiqas ne xweş e, ne?	How unpleasant they are, isn't it?
Min digot qey ev keştî e.	I thought it was a ship.
Bijî! Pir xweş e!	Live! A lot of fun!
Ev pêlav…	This shoe…
Dema lîstikê ye!	It's game time!
Gelekî xweş bû, Lî û Bela. Me gelek tişt diîtin ku me heta niha qet nedîtibûn.	It was very nice, Li and Bela. We saw many things that we had never seen before.
Ew tiştekê pir baş e.	It's a very good thing.
Pisîka meraqdar, tu dixwazî di vê lêgerînê da alî me bikî?	Curious cat, do you want to help us in this search?
Silav!	Hi there!
Dîyar e ku wan li wir baraneka baş xwarîye.	It is clear that they have had a good rain there.
Na. Eev ji sedî sed tiştek e. Xwe bitirsîne.	Are you here. Eev is one hundred percent something. Don't scare yourself.
Wîîî! Pirtûk çû ku derê?	Whoa! Where did the book go?
Ah baş e. Em ji meşê hez dikin.	Ah ok. We love walking.
Li min bibore, Pug. Lê tu dikarî bibî yekem Pugê ku li Cemsera Bakur tiştekê taybet kirîye.	I'm sorry, Pug. But you can be the first Pug to do something special in North Jemsera.
Me li hev kir!	We agreed!
Lewra te xwast ku em bitirsin û ji vir birevin.	So you wanted us to be afraid and run away from here.
Û ev jî hevalên min Seg û Pug in.	And these are my friends Seg and Pug.
Peh Beg. Tu li ser masîyên sêld tiştekî dizanî?	Peh Beg. Do you know anything about shellfish?
Ev burger pir mezin in!	These burgers are huge!
Derî vekin! Ez sicûqan dixwazim.	Open the door! I want a baby.
Nexwe belkî tu bikarî ji bo lîstinê alîkarîya me bikî.	Or maybe you can help us to play.
Neqedîyaye.	Not finished.
pifkirin	whistling
Dîyar e ku Pug û Mişk dê rekora cîhanê ya razana li dikana pirtûkfiroşîyê bişikînin.	It is clear that Pug and Mouse will break the world record for sleeping in a bookstore.
Ez êdî natirsim!	I'm not afraid anymore!
Şovalyeyekê navdar.	A famous knight.
Li vê ecêb… Wan efnik girtîye!	This is amazing... They have closed the house!
Û… ew ji pirtûkan hez dike!	And… he loves books!
Oo. Hûn dê qencîyeka mezin bikin, Seg û Pug. Wa li wir e.	Oo. You will be doing a great favor, Seg and Pug. It's there.
Silav. Ez Seg im û ev jî Pug e. Em li Wumpusî digerin.	Hi there. I'm Seg and this is Pug. We are looking for Wumpusi.
Aqilek hat min! Ku em xwe bikin pisîk, em dikarin wan bigirin!	I got an idea! If we pretend to be cats, we can catch them!
Ez wê dibînim, Seg! Li asmanan şeklê nû heye.	I see it, Seg! There is a new shape in the skies.
Erê, pug . Min berfepenguena te jî eciband.	Yes, pug. I liked your blog too.
Yekî li vir gelek tişt îcad kirine.	Someone has invented a lot of things here.
Min heta niha tiştekê wekî we nedîtibû.	I have never seen anything like you.
Hêdî be! Raweste! Ez lê nanêrim!	Keep calm and! Stop! I don't look at it!
Kolik… Kenya…Aha. Kampkirin!	Colic...Kenya...Aha. Camping!
Ez Seg im û ev jî Pug e, ezbenî!	I'm Seg and this is Pug, sir!
Bernadim!	I don't give up!
Bi pepika min bigire!	Hold my baby!
Erê	Yes
Xwe amade bikin! Herin!	Get ready! Go!
Erê Pug. Rojnivîska min, me îro pirtûkeka li ser peravan xwend.	Yes Pug. My diary, we read a book about beaches today.
Tu dikarî bibînî, Pug. Xwe bigirin.	You can see, Pug. Hold on.
Wê xwe pir xweş danî ser erdê!	She put herself on the ground very well!
Keştîyên fezayî!	Spaceships!
Hewca nake?!	Don't you need it?!
Bi wî awayî me xatir ji parêzvanên Misira Antîk xwast – û ji Dapîra Pug.	That's how we said goodbye to the guardians of Ancient Egypt – and to Grandma Pug.
Wê berde û here!	Leave it and go!
Ez dê we xelas bikim!	I will save you!
Dibêje bê çima qutîya Dapîra Pug ya xwarinê li vir e?	Why is Grandma Pug's food box here?
Ew bi tenê goştê sorkirî dixwin û hûn dizanin ku ew ji bo we ne baş e.	They just eat fried meat and you know it's not good for you.
Em naxwazin wan mirovan bitirsînin.	We don't want to scare those people.
Em herin ser nêrdewanê, Pug.	Let's go up the ladder, Pug.
Pepikên min dibêjin em di xelekekê da digerin.	My parents say we are walking in a circle.
Çima tu êdî ne Splendînaya Gewre yî?	Why aren't you Giant Splendina anymore?
Komîkbûna ew kenandin!	It's comical!
Va yek jî li vir e. Ew kêfa çend fikrên nû xweş dike.	Here is one. He enjoys some new ideas.
Min jî dixwast ku tiştekê weha bikim!	I wanted to do something like that!
Ez wî dengî nas dikim.	I know that voice.
Xwe bigire Pug. Em dê te xelas bikin.	Hold on Pug. We will save you.
Min tiştek fam nekir.	I didn't understand anything.
Gelekî ecêb e Kutik, lê ew bi qasî yekem xêzefilmê bideng yê ku berî niha bi sed salî hatîye çêkirin û mişkekî tê da lîstîye, ne ecêb e!	Kutik is very strange, but it is not as strange as the first animated cartoon that was made a hundred years ago and starred a mouse!
Em hatin, Canîs! Em dê te ji ser wê darê daxin jêr! Hoop!	We came, Canis! We will take you down from that tree! Whoops!
Em herin ser nêrdewanê, Seg?	Shall we go up the ladder, Seg?
Wîî! Tu nikarî xwe ji wê derê berdî jêr. Tu xwe napengizînî. Tu têyî pengizandin!	He! You can't let yourself down from there. You don't stop yourself. You are welcome!
Hûn baş in, xortino?	How are you guys?
Çima dengê vê detektorê ewqasî xweş e?	Why does this detector sound so good?
Wî berî demeka dûr ev şikeft kifş kir û wî da ser vê rêya ku diçe Navenda Dinyayê!	He discovered this cave a long time ago and put him on this path to the Center of the Earth!
Rêwîtîyeka Arktîk dê sar be, lê dê xweş be. Ka were, Pug!	An Arctic trip will be cold, but it will be fun. Come on, Pug!
Mixabin ez dê nikaribim îro ji te ra pirtûkekê bixwînim, Pug.	Unfortunately I won't be able to read you a book today, Pug.
Û wan biavêjin!	And throw them away!
Ev dişibe giraveka qulqulî.	It looks like a floating island.
Di van rûpelan da hûn dê lezgintirîn, dirêjtirîn û baştirîn tiştên li dinyayê bibînin.	In these pages you will find the fastest, longest and best things in the world.
Lê binêrin!	But look!
Lê herî zêde û ji her tiştî bêhtir…	But most of all...
Ooo, xweş e… lê hinekî germ e.	Ooo, it's nice... but a little warm.
Ez makîneyekê… dibînim.	I see a machine...
Silav, Sed û Pug.	Hello, Sed and Pug.
Ez dê pasteyekê çêbikim, lê mişk di sênîyê da serê xwe dişon!	I will make a paste, but the mice wash their heads in the sink!
Aa, ew êdî ne stêr in, Seg. Ew êdî kevir in û li valahîya fezayê digerin. Lê dema ku ew nêzî dinyayê dibin, ew disincirin û mirov ji wan ra dibêjin…	Ah, they're not stars anymore, Seg. They are now rocks and are searching for the void of space. But when they approach the world, they laugh and people call them…
Di vê pirtûkê da çîroka yekî ku dixwaze were bibîranîn heye.	This book contains the story of someone who wants to be remembered.
Hingê ev beşa dinyayê çolek bûye – û niha jî ew çol e.	Then this part of the world was a desert - and it is still a desert.
Li vê ecêbê! Ez ne li bendê bûm ku em bikevin nava çîrokekê. Lê tê da endazyarî heye Pug, li wir binêre.	In this wonder! I didn't expect to get into a story. But there is engineering, Pug, look there.
Ez hertim tiştên kelecanî li rojnivîska xwe dinivîsim ku em li pirtûkxaneyê dixwînin.	I always write interesting things in my diary that we read in the library.
Hîn zû ye, Pug. Li gor çîrokê ev ne dema rast e.	It's too early, Pug. According to the story, this is not the right time.
Dimpilk … Dardarok Hih! Daristan	Dimpilk … Dardarok Hih! The forest
Ez hingî bi gotina rastîyan ra mijûl bûm ku ez hînî firê nebûm!	I was so busy telling the truth that I didn't learn to fly!
Bibore, min hişt ku ew birevin, Seg.	Sorry, I let them get away, Seg.
Pug, dîyar e ku em biçûk bûne.	Pug, it is obvious that we have become small.
Dawî	The end
Erê Seg. Lê niha jî ez dibêjim dayêê!	Yes Seg. But now I say mother!
Mezintirîn. Biçûktirîn. Ecêbtirîn. Yekem. Kî dizane, dibe ku rojekê hûn jî rastîyeka ecêb ya nû çêbikin!	The biggest The smallest The most amazing. First. Who knows, maybe one day you will create a new amazing reality!
Krîket? Nexwe ji ber wê yekê ew darik li peravê bûn – darikên krîketê.	Cricket? Or that's why those sticks were on the beach - cricket sticks.
Hiii! hih! Ha ha! Îcar ez bûm kaptan, planktonên li ser depî. Rahêjin bêrikan û wan bikişînin. Ez dixwazin kaşûna avê bikim!	Hiii! hi! Ha ha! So I became the captain, the plankton on the deck. Place the pockets and pull them. I want to drink water!
Biskiwîtên bi daran ve?	Biscuits with sticks?
Xweşmirovî … Guremirovî ..Aha! Fîlozofî.	Good people... Good people.. Aha! Philosophy.
Wîî! Min ew aciz kir!	He! I offended him!
Hebû tune bû. Şatoyeka Bixof hebû. Ji wê şatoyê ra digotin Şatoya Bixof, ji ber ku…	There was no. There was a scary castle. That castle was called Scary Castle, because...
Tu nikarî min bibînî, Seg.	You can't see me, Seg.
Wîî.. Tu çima wisa dikî, Seg?	He.. Why are you doing that, Seg?
Seg, te pênûsên rengandinê dîtine?	Seg, have you seen the crayons?
Lê eger tiştek wan rawestîne...	But if something stops them...
Em bi hev ra xêz bikim?	Shall we draw together?
E-ew çi bû?	What was that?
Ew hat bîra min jî, Pug.	I remembered that too, Pug.
Segî xwe ziwa kir.	The dog dried himself.
Tu piçekî dirêjtir bibî, temam e, Deyv.	You can be a little taller, that's it, Dave.
Va ye çar… û pênc…	Here's four... and five...
Ez biçûk im.	I am small.
Ez jî Profesor Asîmov im. Ez bi hatina we kêfxweş im. Min keştîya we nedît.	I am also Professor Asimov. I'm glad you came. I didn't see your boat.
Ev parçeyê pazilê yê winda ye, Pug!	This is the missing piece of puzzle, Pug!
Himm. Pirsên Mezin … Bersivên Hêsan … Aha! Neravekirî !	Hmm. Big Questions … Simple Answers … Aha! Unexplained!
Ev tişt dişibe kostumekê qesrî yan dişibe qutîyeka kolîyê?	Does this thing look like a palace costume or a suitcase?
Em herin ser nêrdewanê, mişkino?	Shall we go up the ladder, mouse?
Hingê tevahîya dinyayê plaj bûye!	Then the whole world is plagiarized!
Da ku çelengîya wî nîşan bide.	To show his bravery.
Tu jî hinekî şermok î, ne wisa? Wekî Kimîlê.	You're a little shy too, aren't you? Like Kimîl.
Tu dikarî ji kerema çîrokekê binivîsî ku ji me ra bibêje bê Wumpus çi ye?	Can you please write a story that tells us what it is without Wumpus?
Şahbanû Vîktorya! Majeste.	Queen Victoria! majesty
Pêşî ez xelekan xêz dikim. Paşê lakêşeyekê. Binêrin, hevalîkên min. Min ji we ra darek çêkir!	First I draw the circles. Then a drop. Look, my friends. I made a tree for you!
E-e-ew ajelê qerasa, bipirç û tirsnak çi ye, Seg?!!	W-w-what's that big, furry, scary eagle, Seg?!!
Pugê wênesaz!	Painter pug!
Ez dikarim dîsa li strana xwe ya nû bidim? bêguman, Seg.	Can I play my new song again? of course, Seg.
Xem nake, Pug.	Don't worry, Pug.
Segmar!	Segmar!
…ez ji pirtûkên ku pirsên mezin yên wekî…	...I like books that ask big questions like...
Ez nizanim, Kutik. Yekem labîrenta li dinyayê… nayê bîra min!	I don't know, Kutik. The first labyrinth in the world... I can't remember!
Min digot qey ew xerab e, ne leheng e.	I thought he was a villain, not a hero.
Û min xeyal kir ku ew tijî biskiwît e!	And I imagined it was full of biscuits!
Hûn bi xêr hatine ser Keştîya Nepenî.	Welcome to the Mystery Ship.
Kî korsaneka rind e?	Who is the cool pirate?
Roj baş, kampvanino. Hûn dixwazin herin kampê?	Good morning, campers. Do you want to go camping?
Nexwe mixabin hûn hatine şatoya şaş. Min hêvî dikir ku hûn dê bibin hevalên min. Lê dema ku hûn cinawir bibihîzin, hûn dê birevin.	Unfortunately, you have come to the wrong castle. I was hoping you would be my friends. But when you hear the monster, you will run.
Ez dê bibim yekem pugê li Cemserê!	I will be the first pug in Cemser!
Na. Ez nabe. Ez qirdik im.	Are you here. I can't. I'm a bitch.
Lihêf çi xweş in.	What are the benefits?
Oyyy! Ew ji bo min taybet e.	Oyyy! It is special for me.
Divê ez piçekê din jî pif bikim vî xanîyî. (pifkirin) Hew ma. Hii hiiih! Hew ma.	I have to give a little more to this house. (wheezing) Hew remained. Hii hiiih! He remained.
Aa! Wa li wir e!	Ah! It's there!
Bi pepika min bigire! Wîîîî!	Hold my baby! Whoa!
Te got Krakenê Kêmpeyda!!! Ew çi ye, Dapîra Pug?	You said the Little Kraken!!! What is it, Grandma Pug?
Ev der pir…	This place is very…
Hemû heta hetayê di nav xweşîyê da jîyan. Gurê Xerab jî tê da.	They all lived happily ever after. The Bad Wolf is also available.
Ew bi tenê lîstika mişkên pirtûkxaneyê bûye.	It has simply become a library mouse game.
Îcar ev burger mezin in yan biçûk?	So are these burgers big or small?
Ev demeka dirêj e ku kesek nehatîye. (kenîn) Em Segstêrk Yek wekî kesekî nahesibînin.	It has been a long time since no one came. (laughter) We don't think of the Triple Star as a person.
Mişkino, ez dê ji we ra pasteyekê çêbikim, hûn alî min nakin?	Mishkino, I'm going to make a cake for you, won't you help me?
Û ev fereka van e… û ev jî (helkehelk) fereka van e.	And this is the van... and this is also the van.
Erê – serhildan. serhildan çi ye?	Yes – rebellion. what is rebellion
Bibezin milê çepê!	Run to the left!
Ev şovalye qet nayê jibîrkirin!	This knight will never be forgotten!
Te qutîya xwarinê hiştîye. Em tirsîyan ku tu li van deran birçî bimînî.	You left the lunch box. We are afraid that you will starve in these places.
Û wê kir ku ez jî bixwazim gelek pirsan bikim!	And it made me want to ask a lot of questions too!
Seg, tu jî dikarî pirtûkê bixwînî.	Seg, you can read the book too.
Li min biborin.	Forgive me.
Seg? Seg! Min xwast ku ez hinekî bigerim, lê ez winda bûm.	What? seg! I wanted to look around a bit, but I was lost.
Wekî din di lîstikê da kî heye?	Who else is in the game?
Vafiroka min şikest.	My steamer is broken.
Hêvîdar im we bi Pirtûka Mezin ya Tiştanokan demeka xweş derbas kiribe û ew ji bo çêkirina pazilên we bi kêrî we were…	I hope you've had a great time with the Big Book of Crafts and find it useful for making your own cakes...
(kenîn) Pug, te û mişkên pirtûkxaneyê jî we îro têra xwe kêf kir?	(laughter) Pug, did you and the library mice have enough fun today?
Hiiii! Silav. Ez Seg im û ev jî Pug e.	Hiii! Hi there. I'm Seg and this is Pug.
Hii..Pug. Belkî li pirtûkxaneyê pirtûkeka li ser nivîsîna çîrokên biheyecan hebe.	Hii..Pug. Maybe the library has a book on writing thrillers.
Hebû tune bû, li dîyarekî robarek hebû û li ser wî robarî jî pirek hebû.	It was not there, there was a river in a valley and there was a bridge over that river.
Rast e.	Joint venture.
(kenîn) Binêre, Seg. Wan tu xêz kirîye.	(laughter) Look, Seg. They drew you.
Kevza avê!	Water fountain!
Nexwe ew hûn bûn!!!	It was you!!!
Rêbera Dapîra Pug ya ber bi Cihên Herî Veşarî ve ye.	Grandma Pug's Guide to the Most Secret Places.
Di asmanî da knek heye ku rasterast diçe dinyaya we.	There is a hole in the sky that goes directly to your world.
Şewqeya min tune ye.	I have no luck.
Wîî! Ç-çi cure ajelê mezin û xwîngerm dengekê wisa derdixe?	He! Wh-what kind of big, warm-blooded eagle makes a noise like that?
Min darek jî aciz kir.	I also disturbed a tree.
Nexwe divê tu bi tirsa xwe ra hevrû bibî. Em ji bo te şahîyeka derketina holê li der bixin?	Otherwise you have to face your fear. Shall we throw a coming out party for you?
Off! Off! Ez ne biskiwîteka rastîn im. Yên rastîn bi daran ve çêdibin!	Off! Off! I'm not a real cookie. Real ones come from trees!
Tu dikarî nexşeyê bixwînî?	Can you read the map?
Da ku em bibînin bê Wumpus çi ye.	Let's see what is without Wumpus.
Li vê seyranê mirov tune ne.	There are no people on this tour.
Em li erebeyê siwar bibin?	Shall we get in the car?
Ez dê pirtûkeka ku herî kêm bîst û heft macera tê da hene bînim!	I will bring a book with at least twenty-seven adventures!
Dapîra min e – Dapîra Pug!	It's my grandmother – Grandma Pug!
Tu baş î, Birêz Don Kînot?	How are you, Mr. Don Quinot?
Wîî! Ev çi diqewime, Seg?	He! What's going on, Seg?
Bidin dû min.	Follow me.
Li vir em gera xwe ya şevê diqedînin.	Here we end our night tour.
Ev rûpelê sor yê duyem e.	This is the second red page.
Ejdehayekê kedî.	Tame a dragon.
Ev tiştanoka duyem e. Li vir gelek tişt hene û divê hûn pênc ferên cotan bibînin.	This is the second item. There are many things here and you have to find five pairs of ferrets.
Li wir darek hebû. Dareka pir pîr bû. Nayê bîra min bê çend salî bû. Ew li ser girekî bû.	There was a tree there. The tree was very old. I don't remember how old he was. It was on a hill.
Zû rahêjin paraşûtekê û herin ba turbîna bayî.	Quickly put on a parachute and go to the wind turbine.
Ez ji te lava dikim, fanîyê kubar, dîsa bistrê. Guhên min bi dengê te mest dibin.	I'm begging you, my dear, sing again. My ears are mesmerized by your voice.
Gotinek heye – gotineka taybet – ji bo berfa zêde ya ku li serê çîyayekî kom dibe û dixwaze dakeve jêr.	There is a word - a special word - for a lot of snow that accumulates on top of a mountain and wants to come down.
Mifteya hejmar neh bide, Bez.	Give me key number nine, Bez.
Em dîsa hev bibînin li…	See you again in...
Te got milên zinaran?!... Na!	Did you say the shoulders of the rocks?!... No!
Kepçeya Mezin… Kepçeya Mezintir…	Big Bucket… Bigger Bucket…
Û tu tarîfên xwe çêdikî!	And you make your own tariffs!
Her bijî hevalino! bi kêr tê!	Long live friends! useful!
Em ji bo kupayê rahênanan dikin.	We are training for the cup.
Pirseka din ya newaze, Pug. Divê ez li ser wê hinekî bifikirim.	Another silly question, Pug. I'll have to think about it a bit.
Ez ji bêhna wan hez dikim.	I like their smell.
Waa? Baş e!	Wow? All right!
… ez ji pirtûkên ku qala dinyaya derve dikin hez -	... I like books about the outside world -
Plana te ya îgloyê jî bi kêr nehat, Seg.	Your igloo plan didn't work either, Seg.
Bi min wisa tê, yan ev der germ dibe?	Does that sound like me, or is it getting hot?
Te bihîst, Seg? Ez aqilmend im.	Did you hear that, Seg? I am intelligent.
Min digot qey tu ji serîşûştinê hez nakî?	I thought you don't like showering?
Bilî, berî ku tu biqîrî, Seg dixwaze ji te ra tiştekî bibêje.	But before you scream, Seg wants to tell you something.
Ooo! Ez vir dizanim. X cih nîşan dide.	Ooo! I know here. X indicates location.
Berî wê, min hewl da ku mezintirîn biskiwîta kûçikan çêbikim.	Before that, I tried to make the biggest dog biscuit.
Ev rûpelê zer yê sêyem e.	This is the third yellow page.
Ew pir pirtûkî xuya dikin Pug, bi min pirtûk nabin şewqe.	They look very bookish Pug, I don't like books.
Na. Ez tiştekî nabihîzim! Ew kî ne?	Are you here. I don't hear anything! Who are they?
Ka deqîqeyekê! Eger ez ne xelet bim, ma ev ne bambû ye?	Wait a minute! If I'm not mistaken, isn't this bamboo?
Navdarî… Muzîkkarî… Aha! Cihên Veşarî!	Fame… Music… Aha! Secret Places!
Jixwe tama min jî qet naşibe tama pelan.	I don't even like the taste of leaves.
Ev pir wekî pireka nû xweşik e!	This is pretty much like a new bridge!
Tu kepçeya herî jêhatî ya rojê yî. Na, ya hefteyê. Na, ya salê!	You are the most talented bucket of the day. No, of the week. No, of the year!
Li min bibore, min tu li wir nedîtî.	I'm sorry, I didn't see you there.
Dibêjin ew bipûrt in. Dibêjin ew wekî mirovan dimeşin. Dibêjin ew şopên ecêb li ser berfê dihêlin!	They say they are stupid. They say they walk like humans. They say they leave amazing footprints on the snow!
Laşê wî dişibe yê segan.	His body is like that of a dog.
We dizanî ku hûn jî rastîyeka ecêb in? Tu yekem Kutik î ku pirtûkxaneyekê dixebitînî û Pug yekem Kutik e ku deh hezar papyonên wî hene! Û Pehê Kund yekem car li xwe mikur tê… Ez winda bûm!	Did you know that you are also an amazing fact? You are the first Kutik to run a library and Pug is the first Kutik to have ten thousand bow ties! And Pehe Kund confesses for the first time... I'm lost!
Ez dê te xelas bikim, Pug!	I will save you, Pug!
Wê bide min!	Give it to me!
Ez ji bo rekora xwe ya nû dixebitim, Seg. Ez dê bibim yekem pugê ku li Cemsera Başûr li ser kaşkaşkê bi biskiwîtan canbazî kirîye!	I'm working on my new record, Seg. I'm going to be the first pug to compete with biscuits on the kashkash in South Jemsera!
Di çîroka wan da pastayên bikrema û gazoz hene?	Do they have ice cream and soda in their story?
Tiştekê… çawa?	Something... how?
Ev deh sal in ku tu li vir î. Tu xwe tenê his nakî?	You have been here for ten years. Don't you feel alone?
Dibe ku cihekê hinekî bêdengtir hebe, ne wisa?	Maybe somewhere a little quieter, right?
Hîyeroglîfên mizawir. Serê xwe xistine belayê.	Topical hieroglyphs. They put themselves in trouble.
Ez dê heta dehan bihejmêrim û li we bigerim.	I will count to ten and look for you.
Bûyera Kîvroşka Şîrîn ya windakirina gêzeran wisa ye.	Such is the case of Sweet Rabbit losing carrots.
Min gelek çîrokên wisa li hev anîne.	I have collected many such stories.
Navê wê Kîvroşka Şîrîn e, lê divê em bi çavekê biçûk lê nenêrin!	Its name is Sweet Rabbit, but we should not look down on it!
Sihet xweş, Pug.	Good luck, Pug.
Min ji wê pirtûkê pir hez kir. Ez êdî dizanim bê çima qalikên qepûşkan hene.	I really liked that book. I now know why there are caps.
Dozeka Dijwar ya ji bo Şerlok Holms e.	A Hard Case for Sherlock Holmes.
Ez dibêjim qey çareserî belkî li ber pozê te be, Seg… yan jî di bin te de! (kenîn)	I'm saying the solution might be right under your nose, Seg... or right under you! (laughter)
Seg, divê em bi awayekî alî wê bikin. Ji ber ku em dikarin tiştekê wisa bikin.	Seg, we have to help her somehow. Because we can do something like that.
Li dikana hejmar bîst û neh tiştên curbicur dixwin û ew ji bo tenduristîya me baş in.	There are twenty-nine different things to eat at the store and they are good for our health.
Eger tu bixwazî wan rûn bikî, va ye rûn. Ez hewl didim biqemirim.	If you want to oil them, here is the oil. I try to hide.
Dawî.	The end.
Cemsera çi?	Cemsera what?
Na lo! Qet xem nake.	Na lo! He doesn't care at all.
Pir balkêş e! Bi min em nêzî dawîya pirtûkê dibin.	Very interesting! I think we are nearing the end of the book.
Ev pirtûk di derbarê hînbûna xwedîkirina segan de ya û navê wê…	This book is about learning how to keep dogs and its name is…
Keştîyê bişon!	Wash the boat!
Wisa mezin e ku hemû ajel dikarin bi hev ra lê bijîn û bi hev ra bi kêfxweşî bilîzin.	It is so great that all the birds can live together and play happily together.
Seg… ez dizivirim, yan dinya li dora min dizivire?	Seg… am I spinning, or is the world spinning around me?
L-l-lê ez nikarim!	L-l-but I can't!
Li ser sifreya me seleteya kartolan û kevza deryayê, kulîçeyên mûz û ananasan û şîrê gûza hindê ya nûşikandî heye.	On our table we have potato and sea cucumber salad, banana and pineapple cookies and freshly squeezed coconut milk.
Ez ji pirtûkên ku…	I like books that...
Weyla! Nexwe here Canîsê hinekî dehf bide!	Wow! Then go push Canis a little!
Ez dê bi tenê temaşe bikim. Ez ne lîstikvanekê baş im û min garis anîye.	I will just watch. I'm not a good player and I don't care.
Tu dizanî bê em dê vî konî çawa bisekinînin, Dapîr Pug?	Do you know how we're going to put this tent up, Grandma Pug?
Beybûn?... Wekî ya li baxçeyekî?	Weather?... Like in a garden?
Ez dixwazim Kimîlê bibînim, Seg.	I want to see Kimil, Seg.
Gotina min.	My word.
Dişibe pîzaya bisalam, ji ber ku min xwe dilebitand.	It's like a healthy pizza, because I tried it.
Mişkên dikanê yên mizawir wisa kirîye, Seg! Ew biskiwîtên penîrî çêdikin.	That's what the shop mice in question did, Seg! They make cheese biscuits.
Prensesek dê hebe, ya bi navê Tîsbî.	There will be a princess named Tisbi.
Bila Pug te bi kar bîne û darekê xêz bike?	Let Pug use you to draw a tree?
Na. Eger em bikevin, ew dê me bigire.	Are you here. If we fall, he will catch us.
Oo! Xêr be, Pug.	Oh! Goodbye, Pug.
Min nedîtibû ku rovî li bajêr danûstanê dikin.	I had never seen foxes negotiating in the city.
Tu nebêje, ez dizanim, tu fîl î.	Don't say, I know, you are an elephant.
Li ser banê dinê, Seg!	On the other roof, Seg!
Bi min tiştek hate bîra wî ku ew dikare bike.	I remembered something he could do.
Ji ber ku zêr zêr e û elmas elmas e, lê hin tişt hene ku ji wan pir giranbuhatir in. Dawî.	Because gold is gold and diamonds are diamonds, but there are some things that are much more valuable. The end.
Şelp şelp şelp?!!	Shelp shelp shelp?!!
Zindî ye… lê min nedizanî.	It's alive... but I didn't know it.
Min ne bawer e ku ev nava hişê min be, Seg. Eger wisa bûya, dê biskiwîtên segan pir bûna.	I'm not sure if this is in my mind, Seg. If that were the case, there would be plenty of dog biscuits.
Wisa dixuye ku ew pir xemgîn e.	He seems to be very sad.
Ji roja ku min li daristanê piçek ji wî dîtîye, ez çîrokan dinivîsim.	I have been writing stories since the day I saw a little of him in the forest.
Wê xelas bike!	Save it!
Wisa dixuye ku Gez û Bezê problema ku li bajêr rû dabû çareser kirine.	It seems that Gez and Bez have solved the problem that happened in the city.
Abrakadabra!	Abracadabra!
Rast e, ez ji alîkirinê hez dikim!	That's right, I love to help!
Min ji te ra gotibû, eger tu şaşîyeka din bikî, tu dê beşdarî pêşbirka mezin ya sêhrbazîyê nebî!	I told you, if you make one more mistake, you won't be in the big magic contest!
Ez ji xwe ra çîrokan çêdikim.	I make up stories for myself.
Ez hîn heta wir nehatime.	I haven't gotten there yet.
Li min bibore. Min tu nedîtî…	Forgive me. I didn't see you...
Tu Kolînê li ser giravê yî!	You are Colin on the island!
Himm hii himm. Min ew ji cem xwe çêkirin.	Hmmm himm. I made them myself.
Hii… Dapîra Pug.	Hii… Grandma Pug.
Li vê ecêbê! Sêrbazek!	In this wonder! A wizard!
Em jê ra pirtûkan bibin?	Shall we go to the books?
Bêhna nepenîyekê tê.	It smells like a mystery.
Keskesorek.	A rainbow.
We dizanî ku bilindahîya mezintirîn turbîna bayê bi qasî ya bîst qatan e.	Did you know that the height of the largest wind turbine is about twenty stories.
Bijî!	Live!
Nexêr. Lê ez li ser dixebitim.	No. But I'm working on it.
Çiqas balkêş e. Li ser vî dîwarî nivîsek heye.	How interesting. There is an inscription on this wall.
Ez Pênûsa Bisêhr im û ez ji bo xêzkirinê me. Ez ji xêzkirinê hez dikim. Ez xêz dikim, xêz dikim, xêz dikim.	I am the Magic Pen and I am for drawing. I like drawing. I draw, draw, draw.
Ew ne ji bo min e, Seg. Ji bo planeka baş e!	It's not for me, Seg. It's a good plan!
